Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,0.034302,-1280.562134,-0.046758,-0.314964,-8.000079,0.152582,0.007773,-80.000793,-1280.562134,-8.000140,0.000000
0.300000,0.032410,-1280.562134,-0.046767,-0.314964,-8.000079,0.144165,0.007344,-80.000793,-1280.562134,-8.000140,0.000000
0.400000,0.034302,-1280.562134,-0.046806,-0.314963,-8.000071,0.152582,0.007773,-80.000702,-1280.562134,-7.997408,0.000000
0.500000,-0.021973,-1280.606567,-0.046780,-0.311948,-7.923486,-0.097739,-0.004979,-79.234863,-1280.606567,-7.912723,0.000000
0.600000,-0.033875,-1280.562134,-0.046823,-0.308638,-7.839417,-0.150681,-0.007676,-78.394165,-1280.562134,-7.828038,0.000000
0.700000,-0.002991,-1280.606567,-0.046849,-0.305306,-7.754766,-0.013303,-0.000678,-77.547668,-1280.606567,-7.743354,0.000000
0.800000,-0.039429,-1280.651001,-0.046845,-0.301971,-7.670056,-0.175388,-0.008935,-76.700562,-1280.651001,-7.658487,0.000000
0.900000,0.009705,-1280.695557,-0.046802,-0.298636,-7.585346,0.043168,0.002199,-75.853455,-1280.695557,-7.573802,0.000000
1.000000,-0.000000,-1280.651001,-0.046802,-0.295299,-7.500600,-0.000000,-0.000000,-75.006004,-1280.651001,-7.489119,0.000000
1.100000,-0.036865,-1280.695557,-0.046802,-0.291965,-7.415907,-0.163985,-0.008354,-74.159073,-1280.695557,-7.404434,0.000000
1.200000,0.023132,-1280.562134,-0.046836,-0.288633,-7.331266,0.102898,0.005242,-73.312660,-1280.562134,-7.319749,0.000000
1.300000,-0.018616,-1280.651001,-0.046823,-0.285294,-7.246477,-0.082807,-0.004218,-72.464775,-1280.651001,-7.235064,0.000000
1.400000,0.011169,-1280.651001,-0.046849,-0.281961,-7.161819,0.049684,0.002531,-71.618195,-1280.651001,-7.150380,0.000000
1.500000,0.003723,-1280.651001,-0.046819,-0.278625,-7.077082,0.016561,0.000844,-70.770821,-1280.651001,-7.065695,0.000000
1.600000,-0.027527,-1280.695557,-0.046819,-0.275289,-6.992346,-0.122446,-0.006238,-69.923462,-1280.695557,-6.980828,0.000000
1.700000,0.028320,-1280.562134,-0.046836,-0.271956,-6.907687,0.125975,0.006417,-69.076866,-1280.562134,-6.896144,0.000000
1.800000,-0.016357,-1280.695557,-0.046827,-0.268619,-6.822933,-0.072761,-0.003707,-68.229332,-1280.695557,-6.811460,0.000000
1.900000,0.001526,-1280.606567,-0.046832,-0.265286,-6.738266,0.006787,0.000346,-67.382660,-1280.606567,-6.726775,0.000000
2.000000,0.019775,-1280.651001,-0.046836,-0.261951,-6.653546,0.087965,0.004481,-66.535461,-1280.651001,-6.642090,0.000000
2.100000,-0.019348,-1280.562134,-0.046845,-0.258614,-6.568801,-0.086065,-0.004384,-65.688011,-1280.562134,-6.557406,0.000000
2.200000,0.009705,-1280.606567,-0.046840,-0.255282,-6.484151,0.043168,0.002199,-64.841515,-1280.606567,-6.472721,0.000000
2.300000,0.002258,-1280.606567,-0.046793,-0.251945,-6.399415,0.010045,0.000512,-63.994148,-1280.606567,-6.388037,0.000000
2.400000,-0.015991,-1280.562134,-0.046784,-0.248611,-6.314713,-0.071132,-0.003624,-63.147125,-1280.562134,-6.303352,0.000000
2.500000,0.033875,-1280.651001,-0.046849,-0.245278,-6.230054,0.150681,0.007676,-62.300541,-1280.651001,-6.218485,0.000000
2.600000,-0.010803,-1280.606567,-0.046840,-0.241940,-6.145283,-0.048055,-0.002448,-61.452831,-1280.606567,-6.133801,0.000000
2.700000,0.003357,-1280.606567,-0.046836,-0.238606,-6.060598,0.014932,0.000761,-60.605984,-1280.606567,-6.049116,0.000000
2.800000,0.019348,-1280.695557,-0.046836,-0.235272,-5.975914,0.086065,0.004384,-59.759136,-1280.695557,-5.964432,0.000000
2.900000,-0.020813,-1280.606567,-0.046793,-0.231936,-5.891177,-0.092581,-0.004716,-58.911770,-1280.606567,-5.879747,0.000000
3.000000,0.030579,-1280.651001,-0.046836,-0.228602,-5.806484,0.136020,0.006929,-58.064838,-1280.651001,-5.795063,0.000000
3.100000,-0.009277,-1280.651001,-0.046853,-0.225265,-5.721721,-0.041268,-0.002102,-57.217213,-1280.651001,-5.710378,0.000000
3.200000,0.005615,-1280.606567,-0.046845,-0.221931,-5.637045,0.024978,0.001272,-56.370449,-1280.606567,-5.625693,0.000000
3.300000,0.020874,-1280.606567,-0.046780,-0.218597,-5.552369,0.092852,0.004730,-55.523693,-1280.606567,-5.540826,0.000000
3.400000,-0.018982,-1280.651001,-0.046845,-0.215260,-5.467615,-0.084436,-0.004301,-54.676155,-1280.651001,-5.456142,0.000000
3.500000,0.009705,-1280.651001,-0.046797,-0.211927,-5.382948,0.043168,0.002199,-53.829479,-1280.651001,-5.371458,0.000000
3.600000,0.005249,-1280.695557,-0.046836,-0.208591,-5.298203,0.023349,0.001189,-52.982025,-1280.695557,-5.286773,0.000000
3.700000,-0.012268,-1280.606567,-0.046853,-0.205256,-5.213510,-0.054571,-0.002780,-52.135098,-1280.606567,-5.202088,0.000000
3.800000,0.038025,-1280.695557,-0.046814,-0.201922,-5.128816,0.169143,0.008617,-51.288162,-1280.695557,-5.117404,0.000000
3.900000,-0.012268,-1280.651001,-0.046806,-0.198585,-5.044071,-0.054571,-0.002780,-50.440708,-1280.651001,-5.032719,0.000000
4.000000,0.010803,-1280.651001,-0.046849,-0.195251,-4.959378,0.048055,0.002448,-49.593777,-1280.651001,-4.948034,0.000000
4.100000,0.020142,-1280.651001,-0.046784,-0.191916,-4.874659,0.089594,0.004564,-48.746586,-1280.651001,-4.863349,0.000000
4.200000,-0.015991,-1280.651001,-0.046823,-0.188581,-4.789956,-0.071132,-0.003624,-47.899563,-1280.651001,-4.778483,0.000000
4.300000,0.026428,-1280.651001,-0.046823,-0.185247,-4.705281,0.117559,0.005989,-47.052807,-1280.651001,-4.693799,0.000000
4.400000,-0.010437,-1280.739990,-0.046819,-0.181911,-4.620544,-0.046426,-0.002365,-46.205441,-1280.739990,-4.609114,0.000000
4.500000,-0.000732,-1280.695557,-0.046853,-0.178577,-4.535868,-0.003258,-0.000166,-45.358681,-1280.695557,-4.524429,0.000000
4.600000,0.031677,-1280.606567,-0.046802,-0.175242,-4.451140,0.140907,0.007178,-44.511402,-1280.606567,-4.439744,0.000000
4.700000,-0.015625,-1280.695557,-0.046827,-0.171906,-4.366412,-0.069503,-0.003541,-43.664124,-1280.695557,-4.355060,0.000000
4.800000,0.023865,-1280.739990,-0.046784,-0.168573,-4.281754,0.106156,0.005408,-42.817535,-1280.739990,-4.270375,0.000000
4.900000,0.013794,-1280.695557,-0.046797,-0.165237,-4.197017,0.061359,0.003126,-41.970169,-1280.695557,-4.185691,0.000000
5.000000,-0.008911,-1280.606567,-0.046806,-0.161902,-4.112315,-0.039639,-0.002019,-41.123150,-1280.606567,-4.101007,0.000000
5.100000,0.035034,-1280.695557,-0.046802,-0.158568,-4.027622,0.155840,0.007939,-40.276218,-1280.695557,-4.016140,0.000000
5.200000,-0.009644,-1280.695557,-0.046827,-0.155230,-3.942850,-0.042897,-0.002185,-39.428505,-1280.695557,-3.931455,0.000000
5.300000,0.012329,-1280.695557,-0.046832,-0.151897,-3.858183,0.054843,0.002794,-38.581829,-1280.695557,-3.846770,0.000000
5.400000,0.028687,-1280.695557,-0.046806,-0.148561,-3.773455,0.127604,0.006500,-37.734550,-1280.695557,-3.762086,0.000000
5.500000,-0.014526,-1280.651001,-0.046853,-0.145227,-3.688771,-0.064617,-0.003292,-36.887707,-1280.651001,-3.677401,0.000000
5.600000,0.036133,-1280.695557,-0.046836,-0.141893,-3.604086,0.160727,0.008188,-36.040859,-1280.695557,-3.592717,0.000000
5.700000,0.006348,-1280.695557,-0.046789,-0.138558,-3.519367,0.028236,0.001438,-35.193668,-1280.695557,-3.508032,0.000000
5.800000,-0.003723,-1280.739990,-0.046819,-0.135222,-3.434648,-0.016561,-0.000844,-34.346478,-1280.739990,-3.423347,0.000000
5.900000,0.036499,-1280.695557,-0.046853,-0.131889,-3.349972,0.162356,0.008271,-33.499714,-1280.695557,-3.338481,0.000000
6.000000,-0.006287,-1280.651001,-0.046814,-0.128552,-3.265226,-0.027964,-0.001425,-32.652264,-1280.651001,-3.253796,0.000000
6.100000,0.021606,-1280.695557,-0.046797,-0.125219,-3.180559,0.096110,0.004896,-31.805590,-1280.695557,-3.169111,0.000000
6.200000,0.009338,-1280.695557,-0.046810,-0.121883,-3.095822,0.041539,0.002116,-30.958223,-1280.695557,-3.084427,0.000000
6.300000,-0.004822,-1280.651001,-0.046819,-0.118549,-3.011146,-0.021448,-0.001093,-30.111462,-1280.651001,-2.999742,0.000000
6.400000,0.043213,-1280.651001,-0.046827,-0.115214,-2.926444,0.192221,0.009792,-29.264444,-1280.651001,-2.915058,0.000000
6.500000,-0.001465,-1280.606567,-0.046806,-0.111879,-2.841734,-0.006516,-0.000332,-28.417337,-1280.606567,-2.830373,0.000000
6.600000,0.011536,-1280.606567,-0.046827,-0.108544,-2.757023,0.051313,0.002614,-27.570230,-1280.606567,-2.745688,0.000000
6.700000,0.016418,-1280.651001,-0.046797,-0.105209,-2.672304,0.073033,0.003720,-26.723040,-1280.651001,-2.661004,0.000000
6.800000,-0.007812,-1280.651001,-0.046858,-0.101873,-2.587585,-0.034752,-0.001770,-25.875847,-1280.651001,-2.576137,0.000000
6.900000,0.043945,-1280.606567,-0.046793,-0.098539,-2.502900,0.195479,0.009958,-25.028999,-1280.606567,-2.491453,0.000000
7.000000,-0.004456,-1280.739990,-0.046845,-0.095205,-2.418198,-0.019819,-0.001010,-24.181982,-1280.739990,-2.406768,0.000000
7.100000,0.004883,-1280.695557,-0.046832,-0.091869,-2.333479,0.021720,0.001106,-23.334787,-1280.695557,-2.322083,0.000000
7.200000,0.033875,-1280.695557,-0.046866,-0.088535,-2.248777,0.150681,0.007676,-22.487768,-1280.695557,-2.237399,0.000000
7.300000,-0.005920,-1280.695557,-0.046806,-0.085198,-2.164040,-0.026335,-0.001342,-21.640402,-1280.695557,-2.152714,0.000000
7.400001,0.025696,-1280.695557,-0.046810,-0.081864,-2.079338,0.114301,0.005823,-20.793385,-1280.695557,-2.068030,0.000000
7.500000,0.019775,-1280.695557,-0.046823,-0.078529,-1.994628,0.087965,0.004481,-19.946278,-1280.695557,-1.983345,0.000000
7.600000,-0.011902,-1280.606567,-0.046832,-0.075194,-1.909917,-0.052942,-0.002697,-19.099171,-1280.606567,-1.898478,0.000000
7.700000,0.044678,-1280.695557,-0.046849,-0.071860,-1.825232,0.198736,0.010124,-18.252325,-1280.695557,-1.813794,0.000000
7.800000,-0.001465,-1280.695557,-0.046819,-0.068524,-1.740513,-0.006516,-0.000332,-17.405132,-1280.695557,-1.729109,0.000000
7.900001,0.010803,-1280.695557,-0.046819,-0.065189,-1.655794,0.048055,0.002448,-16.557940,-1280.695557,-1.644425,0.000000
8.000000,0.018250,-1280.695557,-0.046793,-0.061853,-1.571066,0.081178,0.004135,-15.710661,-1280.695557,-1.559740,0.000000
8.100000,-0.017090,-1280.651001,-0.046858,-0.058518,-1.486364,-0.076019,-0.003873,-14.863642,-1280.651001,-1.475055,0.000000
8.200001,0.032410,-1280.695557,-0.046823,-0.055184,-1.401662,0.144165,0.007344,-14.016623,-1280.695557,-1.390371,0.000000
8.300000,0.005615,-1280.695557,-0.046797,-0.051848,-1.316943,0.024978,0.001272,-13.169430,-1280.695557,-1.305686,0.000000
8.400001,0.009705,-1280.651001,-0.046849,-0.048513,-1.232224,0.043168,0.002199,-12.322236,-1280.651001,-1.221002,0.000000
8.500000,0.029419,-1280.695557,-0.046853,-0.045177,-1.147504,0.130862,0.006666,-11.475043,-1280.695557,-1.136135,0.000000
8.600000,0.254700,-1280.606567,-0.045150,-0.041843,-1.062802,1.132961,0.057716,-10.628025,-1280.606567,-1.051450,0.000000
8.700001,0.253235,-1280.651001,-0.042218,-0.039169,-0.994890,1.126445,0.057384,-9.948900,-1280.651001,-0.988620,0.000000
8.800000,0.367920,-1280.606567,-0.042240,-0.039372,-1.000059,1.636590,0.083372,-10.000587,-1280.606567,-0.999989,0.000000
8.810000,0.360840,-1280.606567,-0.042240,-0.039372,-1.000059,1.605096,0.081767,-10.000587,-1280.606567,-0.999989,0.000000
8.820001,0.362732,-1280.606567,-0.042227,-0.039372,-1.000059,1.613512,0.082196,-10.000587,-1280.606567,-0.999989,0.000000
8.830001,0.363464,-1280.606567,-0.042244,-0.039372,-1.000059,1.616770,0.082362,-10.000587,-1280.606567,-0.999989,0.000000
8.840000,0.362732,-1280.562134,-0.042231,-0.039372,-1.000059,1.613512,0.082196,-10.000587,-1280.562134,-0.999989,0.000000
8.850000,0.367187,-1280.695557,-0.042257,-0.039372,-1.000059,1.633332,0.083206,-10.000587,-1280.695557,-0.999989,0.000000
8.860001,0.358582,-1280.428711,-0.042244,-0.039372,-1.000059,1.595050,0.081256,-10.000587,-1280.428711,-0.999989,0.000000
8.870001,0.364563,-1280.651001,-0.042249,-0.039372,-1.000059,1.621657,0.082611,-10.000587,-1280.651001,-0.999989,0.000000
8.880000,0.370178,-1280.606567,-0.042261,-0.039372,-1.000059,1.646635,0.083884,-10.000587,-1280.606567,-0.999989,0.000000
8.890000,0.366821,-1280.562134,-0.042249,-0.039372,-1.000059,1.631703,0.083123,-10.000587,-1280.562134,-0.999989,0.000000
8.900001,0.377258,-1280.695557,-0.042231,-0.039372,-1.000059,1.678129,0.085488,-10.000587,-1280.695557,-0.999989,0.000000
8.910001,0.364929,-1280.517578,-0.042270,-0.039372,-1.000059,1.623286,0.082694,-10.000587,-1280.517578,-0.999989,0.000000
8.920000,0.360474,-1280.562134,-0.042249,-0.039372,-1.000059,1.603467,0.081684,-10.000587,-1280.562134,-0.999989,0.000000
8.930000,0.361938,-1280.606567,-0.042236,-0.039372,-1.000059,1.609983,0.082016,-10.000587,-1280.606567,-0.999989,0.000000
8.940001,0.370911,-1280.562134,-0.042257,-0.039372,-1.000059,1.649893,0.084050,-10.000587,-1280.562134,-0.999989,0.000000
8.950001,0.372742,-1280.651001,-0.042257,-0.039372,-1.000059,1.658038,0.084464,-10.000587,-1280.651001,-0.999989,0.000000
8.960000,0.363831,-1280.517578,-0.042244,-0.039372,-1.000059,1.618399,0.082445,-10.000587,-1280.517578,-0.999989,0.000000
8.970000,0.370544,-1280.651001,-0.042244,-0.039372,-1.000059,1.648264,0.083967,-10.000587,-1280.651001,-0.999989,0.000000
8.980000,0.372375,-1280.606567,-0.042249,-0.039372,-1.000059,1.656409,0.084381,-10.000587,-1280.606567,-0.999989,0.000000
8.990001,0.374634,-1280.517578,-0.042227,-0.039372,-1.000059,1.666454,0.084893,-10.000587,-1280.517578,-0.999989,0.000000
9.000000,0.367920,-1280.695557,-0.042249,-0.039372,-1.000059,1.636590,0.083372,-10.000587,-1280.695557,-0.999989,0.000000
9.010000,0.359375,-1280.562134,-0.042257,-0.039372,-1.000059,1.598580,0.081436,-10.000587,-1280.562134,-0.999989,0.000000
9.020000,0.362305,-1280.606567,-0.042261,-0.039372,-1.000059,1.611612,0.082099,-10.000587,-1280.606567,-0.999989,0.000000
9.030001,0.368652,-1280.606567,-0.042253,-0.039372,-1.000059,1.639848,0.083538,-10.000587,-1280.606567,-0.999989,0.000000
9.040000,0.359375,-1280.562134,-0.042253,-0.039372,-1.000059,1.598580,0.081436,-10.000587,-1280.562134,-0.999989,0.000000
9.050000,0.366821,-1280.695557,-0.042261,-0.039372,-1.000059,1.631703,0.083123,-10.000587,-1280.695557,-0.999989,0.000000
9.060000,0.372009,-1280.562134,-0.042210,-0.039372,-1.000059,1.654780,0.084299,-10.000587,-1280.562134,-0.999989,0.000000
9.070001,0.373901,-1280.651001,-0.042205,-0.039372,-1.000059,1.663196,0.084727,-10.000587,-1280.651001,-0.999989,0.000000
9.080001,0.367187,-1280.651001,-0.042227,-0.039372,-1.000059,1.633332,0.083206,-10.000587,-1280.651001,-0.999989,0.000000
9.090000,0.361938,-1280.562134,-0.042257,-0.039372,-1.000059,1.609983,0.082016,-10.000587,-1280.562134,-0.999989,0.000000
9.100000,0.375000,-1280.606567,-0.042244,-0.039372,-1.000059,1.668083,0.084976,-10.000587,-1280.606567,-0.999989,0.000000
9.110001,0.370178,-1280.562134,-0.042266,-0.039372,-1.000059,1.646635,0.083884,-10.000587,-1280.562134,-0.999989,0.000000
9.120001,0.376099,-1280.606567,-0.042231,-0.039372,-1.000059,1.672970,0.085225,-10.000587,-1280.606567,-0.999989,0.000000
9.130000,0.370911,-1280.651001,-0.042274,-0.039372,-1.000059,1.649893,0.084050,-10.000587,-1280.651001,-0.999989,0.000000
9.140000,0.366821,-1280.562134,-0.042240,-0.039372,-1.000059,1.631703,0.083123,-10.000587,-1280.562134,-1.000059,0.000000
9.150001,0.370178,-1280.562134,-0.042227,-0.039372,-1.000059,1.646635,0.083884,-10.000587,-1280.562134,-1.000059,0.000000
9.160001,0.367554,-1280.517578,-0.042223,-0.039372,-1.000059,1.634961,0.083289,-10.000587,-1280.517578,-1.000059,0.000000
9.170000,0.368286,-1280.606567,-0.042218,-0.039372,-1.000059,1.638219,0.083455,-10.000587,-1280.606567,-1.000059,0.000000
9.180000,0.359009,-1280.695557,-0.042227,-0.039372,-1.000059,1.596951,0.081353,-10.000587,-1280.695557,-1.000059,0.000000
9.190001,0.359375,-1280.473145,-0.042231,-0.039372,-1.000059,1.598580,0.081436,-10.000587,-1280.473145,-1.000059,0.000000
9.200001,0.370911,-1280.695557,-0.042261,-0.039372,-1.000059,1.649893,0.084050,-10.000587,-1280.695557,-1.000059,0.000000
9.210000,0.365662,-1280.562134,-0.042270,-0.039372,-1.000059,1.626544,0.082860,-10.000587,-1280.562134,-1.000059,0.000000
9.220000,0.366821,-1280.606567,-0.042253,-0.039372,-1.000059,1.631703,0.083123,-10.000587,-1280.606567,-1.000059,0.000000
9.230000,0.363831,-1280.695557,-0.042249,-0.039372,-1.000059,1.618399,0.082445,-10.000587,-1280.695557,-1.000059,0.000000
9.240001,0.361206,-1280.473145,-0.042253,-0.039372,-1.000059,1.606725,0.081850,-10.000587,-1280.473145,-1.000059,0.000000
9.250000,0.373108,-1280.651001,-0.042279,-0.039372,-1.000059,1.659667,0.084547,-10.000587,-1280.651001,-1.000059,0.000000
9.260000,0.372009,-1280.517578,-0.042279,-0.039372,-1.000059,1.654780,0.084299,-10.000587,-1280.517578,-1.000059,0.000000
9.270000,0.363831,-1280.562134,-0.042240,-0.039372,-1.000059,1.618399,0.082445,-10.000587,-1280.562134,-1.000059,0.000000
9.280001,0.359741,-1280.651001,-0.042240,-0.039372,-1.000059,1.600209,0.081519,-10.000587,-1280.651001,-1.000059,0.000000
9.290001,0.366028,-1280.562134,-0.042270,-0.039372,-1.000059,1.628173,0.082943,-10.000587,-1280.562134,-1.000059,0.000000
9.300000,0.372009,-1280.651001,-0.042249,-0.039372,-1.000059,1.654780,0.084299,-10.000587,-1280.651001,-1.000059,0.000000
9.310000,0.364197,-1280.606567,-0.042223,-0.039372,-1.000059,1.620028,0.082528,-10.000587,-1280.606567,-1.000059,0.000000
9.320001,0.367554,-1280.606567,-0.042227,-0.039372,-1.000059,1.634961,0.083289,-10.000587,-1280.606567,-1.000059,0.000000
9.330001,0.366455,-1280.651001,-0.042218,-0.039372,-1.000059,1.630074,0.083040,-10.000587,-1280.651001,-1.000059,0.000000
9.340000,0.365662,-1280.562134,-0.042205,-0.039372,-1.000059,1.626544,0.082860,-10.000587,-1280.562134,-1.000059,0.000000
9.350000,0.362732,-1280.695557,-0.042236,-0.039372,-1.000059,1.613512,0.082196,-10.000587,-1280.695557,-1.000059,0.000000
9.360001,0.363831,-1280.606567,-0.042283,-0.039372,-1.000059,1.618399,0.082445,-10.000587,-1280.606567,-1.000059,0.000000
9.370001,0.362732,-1280.651001,-0.042261,-0.039372,-1.000059,1.613512,0.082196,-10.000587,-1280.651001,-1.000059,0.000000
9.380000,0.351562,-1280.606567,-0.042270,-0.039372,-1.000059,1.563828,0.079665,-10.000587,-1280.606567,-1.000059,0.000000
9.390000,0.358582,-1280.517578,-0.042270,-0.039372,-1.000059,1.595050,0.081256,-10.000587,-1280.517578,-1.000059,0.000000
9.400001,0.364563,-1280.739990,-0.042257,-0.039372,-1.000059,1.621657,0.082611,-10.000587,-1280.739990,-1.000059,0.000000
9.410001,0.356384,-1280.606567,-0.042257,-0.039372,-1.000059,1.585276,0.080758,-10.000587,-1280.606567,-1.000059,0.000000
9.420000,0.373474,-1280.606567,-0.042249,-0.039372,-1.000059,1.661296,0.084630,-10.000587,-1280.606567,-1.000059,0.000000
9.430000,0.369019,-1280.651001,-0.042231,-0.039372,-1.000059,1.641477,0.083621,-10.000587,-1280.651001,-1.000059,0.000000
