Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.300000,-0.662445,-1189.109253,-0.009533,-0.314959,-7.999966,-2.946703,-0.150112,-79.999657,-1189.109253,-8.000122,0.000000
0.400000,-0.657242,-1189.153687,-0.009559,-0.314959,-7.999966,-2.923558,-0.148933,-79.999657,-1189.153687,-8.000122,0.000000
0.500000,-0.647186,-1189.198242,-0.009563,-0.312372,-7.934248,-2.878828,-0.146655,-79.342484,-1189.198242,-7.924180,0.000000
0.600000,-0.643829,-1189.198242,-0.009559,-0.309081,-7.850647,-2.863896,-0.145894,-78.506470,-1189.198242,-7.839495,0.000000
0.700000,-0.596909,-1189.109253,-0.009546,-0.305746,-7.765937,-2.655182,-0.135261,-77.659370,-1189.109253,-7.754810,0.000000
0.800000,-0.594681,-1189.153687,-0.009528,-0.302413,-7.681287,-2.645272,-0.134757,-76.812866,-1189.153687,-7.670125,0.000000
0.900000,-0.548874,-1189.153687,-0.009585,-0.299077,-7.596550,-2.441513,-0.124377,-75.965500,-1189.153687,-7.585258,0.000000
1.000000,-0.558182,-1189.109253,-0.009528,-0.295740,-7.511796,-2.482917,-0.126486,-75.117966,-1189.109253,-7.500574,0.000000
1.100000,-0.556320,-1189.109253,-0.009585,-0.292408,-7.427164,-2.474636,-0.126064,-74.271637,-1189.109253,-7.415890,0.000000
1.200000,-0.509781,-1189.153687,-0.009597,-0.289071,-7.342392,-2.267619,-0.115518,-73.423927,-1189.153687,-7.331205,0.000000
1.300000,-0.538818,-1189.153687,-0.009563,-0.285737,-7.257716,-2.396784,-0.122098,-72.577164,-1189.153687,-7.246521,0.000000
1.400000,-0.500839,-1189.109253,-0.009533,-0.282403,-7.173031,-2.227844,-0.113492,-71.730316,-1189.109253,-7.161836,0.000000
1.500000,-0.495636,-1189.153687,-0.009554,-0.279065,-7.088252,-2.204699,-0.112313,-70.882523,-1189.153687,-7.077151,0.000000
1.600000,-0.514618,-1189.153687,-0.009528,-0.275732,-7.003602,-2.289135,-0.116614,-70.036018,-1189.153687,-6.992467,0.000000
1.700000,-0.465088,-1189.153687,-0.009615,-0.272396,-6.918848,-2.068814,-0.105390,-69.188477,-1189.153687,-6.907600,0.000000
1.800000,-0.490051,-1189.064819,-0.009533,-0.269060,-6.834129,-2.179857,-0.111047,-68.341293,-1189.064819,-6.822915,0.000000
1.900000,-0.468445,-1189.153687,-0.009554,-0.265728,-6.749487,-2.083747,-0.106151,-67.494873,-1189.153687,-6.738231,0.000000
2.000000,-0.452438,-1189.109253,-0.009559,-0.262390,-6.664707,-2.012546,-0.102524,-66.647072,-1189.109253,-6.653546,0.000000
2.100000,-0.468079,-1189.153687,-0.009528,-0.259057,-6.580040,-2.082118,-0.106068,-65.800400,-1189.153687,-6.568861,0.000000
2.200000,-0.436798,-1189.109253,-0.009593,-0.255721,-6.495321,-1.942975,-0.098980,-64.953209,-1189.109253,-6.484177,0.000000
2.300000,-0.456161,-1189.153687,-0.009528,-0.252385,-6.410576,-2.029108,-0.103368,-64.105759,-1189.153687,-6.399493,0.000000
2.400000,-0.456161,-1189.109253,-0.009537,-0.249053,-6.325943,-2.029108,-0.103368,-63.259434,-1189.109253,-6.314808,0.000000
2.500000,-0.420776,-1189.153687,-0.009567,-0.245716,-6.241180,-1.871707,-0.095349,-62.411804,-1189.153687,-6.230123,0.000000
2.600000,-0.440140,-1189.153687,-0.009576,-0.242381,-6.156487,-1.957839,-0.099737,-61.564869,-1189.153687,-6.145257,0.000000
2.700000,-0.416687,-1189.198242,-0.009546,-0.239047,-6.071803,-1.853516,-0.094423,-60.718025,-1189.198242,-6.060572,0.000000
2.800000,-0.415573,-1189.109253,-0.009559,-0.235711,-5.987049,-1.848562,-0.094170,-59.870487,-1189.109253,-5.975887,0.000000
2.900000,-0.435303,-1189.064819,-0.009602,-0.232378,-5.902399,-1.936323,-0.098641,-59.023987,-1189.064819,-5.891203,0.000000
3.000000,-0.388763,-1189.109253,-0.009567,-0.229041,-5.817645,-1.729306,-0.088095,-58.176449,-1189.109253,-5.806518,0.000000
3.100000,-0.421524,-1189.064819,-0.009528,-0.225706,-5.732934,-1.875033,-0.095519,-57.329342,-1189.064819,-5.721833,0.000000
3.200000,-0.406265,-1189.153687,-0.009537,-0.222373,-5.648267,-1.807158,-0.092061,-56.482670,-1189.153687,-5.637149,0.000000
3.300000,-0.380188,-1189.109253,-0.009541,-0.219036,-5.563521,-1.691161,-0.086152,-55.635216,-1189.109253,-5.552464,0.000000
3.400000,-0.409241,-1189.242676,-0.009533,-0.215703,-5.478846,-1.820394,-0.092735,-54.788456,-1189.242676,-5.467598,0.000000
3.500000,-0.365677,-1189.153687,-0.009563,-0.212368,-5.394135,-1.626612,-0.082864,-53.941349,-1189.153687,-5.382913,0.000000
3.600000,-0.392853,-1189.153687,-0.009541,-0.209031,-5.309390,-1.747496,-0.089022,-53.093899,-1189.153687,-5.298228,0.000000
3.700000,-0.394714,-1189.109253,-0.009524,-0.205698,-5.224731,-1.755777,-0.089444,-52.247311,-1189.109253,-5.213544,0.000000
3.800000,-0.366409,-1189.198242,-0.009597,-0.202362,-5.139986,-1.629870,-0.083030,-51.399857,-1189.198242,-5.128859,0.000000
3.900000,-0.399551,-1189.153687,-0.009572,-0.199028,-5.055301,-1.777293,-0.090540,-50.553013,-1189.153687,-5.044175,0.000000
4.000000,-0.383179,-1189.153687,-0.009585,-0.195693,-4.970608,-1.704464,-0.086830,-49.706078,-1189.153687,-4.959490,0.000000
4.100000,-0.379074,-1189.153687,-0.009589,-0.192356,-4.885854,-1.686206,-0.085899,-48.858543,-1189.153687,-4.874806,0.000000
4.200000,-0.402908,-1189.153687,-0.009589,-0.189023,-4.801178,-1.792226,-0.091300,-48.011784,-1189.153687,-4.790121,0.000000
4.300000,-0.360825,-1189.109253,-0.009524,-0.185687,-4.716459,-1.605028,-0.081764,-47.164589,-1189.109253,-4.705254,0.000000
4.400000,-0.382050,-1189.153687,-0.009572,-0.182353,-4.631757,-1.699441,-0.086574,-46.317570,-1189.153687,-4.620570,0.000000
4.500000,-0.380188,-1189.109253,-0.009528,-0.179019,-4.547081,-1.691161,-0.086152,-45.470814,-1189.109253,-4.535885,0.000000
4.600000,-0.352264,-1189.153687,-0.009593,-0.175682,-4.462327,-1.566950,-0.079824,-44.623272,-1189.153687,-4.451200,0.000000
4.700000,-0.374237,-1189.153687,-0.009546,-0.172348,-4.377651,-1.664690,-0.084803,-43.776512,-1189.153687,-4.366516,0.000000
4.800000,-0.347794,-1189.198242,-0.009516,-0.169013,-4.292941,-1.547063,-0.078811,-42.929405,-1189.198242,-4.281831,0.000000
4.900000,-0.365677,-1189.198242,-0.009524,-0.165678,-4.208213,-1.626612,-0.082864,-42.082127,-1189.198242,-4.197147,0.000000
5.000000,-0.369400,-1189.064819,-0.009563,-0.162345,-4.123563,-1.643173,-0.083707,-41.235630,-1189.064819,-4.112462,0.000000
5.100000,-0.325455,-1189.109253,-0.009572,-0.159009,-4.038826,-1.447695,-0.073749,-40.388264,-1189.109253,-4.027778,0.000000
5.200000,-0.369766,-1189.198242,-0.009585,-0.155674,-3.954124,-1.644802,-0.083790,-39.541241,-1189.198242,-3.942911,0.000000
5.300000,-0.367538,-1189.153687,-0.009567,-0.152339,-3.869422,-1.634893,-0.083285,-38.694221,-1189.153687,-3.858226,0.000000
5.400000,-0.360825,-1189.153687,-0.009559,-0.149003,-3.784686,-1.605028,-0.081764,-37.846855,-1189.153687,-3.773542,0.000000
5.500000,-0.389130,-1189.109253,-0.009572,-0.145670,-3.700027,-1.730935,-0.088178,-37.000271,-1189.109253,-3.688857,0.000000
5.600000,-0.343704,-1189.153687,-0.009528,-0.142335,-3.615299,-1.528873,-0.077884,-36.152992,-1189.153687,-3.604173,0.000000
5.700000,-0.384659,-1189.153687,-0.009580,-0.139000,-3.530589,-1.711048,-0.087165,-35.305885,-1189.153687,-3.519488,0.000000
5.800000,-0.369766,-1189.198242,-0.009580,-0.135665,-3.445895,-1.644802,-0.083790,-34.458950,-1189.198242,-3.434803,0.000000
5.900000,-0.349655,-1189.109253,-0.009528,-0.132329,-3.361150,-1.555344,-0.079233,-33.611500,-1189.109253,-3.350119,0.000000
6.000000,-0.386520,-1189.153687,-0.009550,-0.128996,-3.276491,-1.719329,-0.087587,-32.764912,-1189.153687,-3.265252,0.000000
6.100000,-0.343704,-1189.153687,-0.009585,-0.125661,-3.191781,-1.528873,-0.077884,-31.917807,-1189.153687,-3.180568,0.000000
6.200000,-0.368652,-1189.242676,-0.009537,-0.122324,-3.107035,-1.639848,-0.083538,-31.070354,-1189.242676,-3.095883,0.000000
6.300000,-0.374603,-1189.198242,-0.009597,-0.118990,-3.022351,-1.666319,-0.084886,-30.223509,-1189.198242,-3.011198,0.000000
6.400000,-0.343323,-1189.153687,-0.009528,-0.115654,-2.937614,-1.527176,-0.077798,-29.376143,-1189.153687,-2.926514,0.000000
