Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.757034,-1289.102417,-0.022105,-0.314960,-7.999975,-3.367457,-0.171546,-79.999748,-1289.102417,-8.000001,0.000000
0.300000,-0.748108,-1289.102417,-0.022101,-0.314960,-7.999975,-3.327750,-0.169524,-79.999748,-1289.102417,-8.000001,0.000000
0.400000,-0.751083,-1289.146973,-0.022097,-0.314959,-7.999958,-3.340986,-0.170198,-79.999573,-1289.146973,-7.996541,0.000000
0.500000,-0.707520,-1289.102417,-0.022135,-0.311892,-7.922063,-3.147204,-0.160326,-79.220627,-1289.102417,-7.911856,0.000000
0.600000,-0.697830,-1289.146973,-0.022114,-0.308606,-7.838601,-3.104104,-0.158131,-78.386017,-1289.146973,-7.827171,0.000000
0.700000,-0.717560,-1289.146973,-0.022135,-0.305274,-7.753969,-3.191865,-0.162601,-77.539688,-1289.146973,-7.742486,0.000000
0.800000,-0.676605,-1289.102417,-0.022109,-0.301939,-7.669249,-3.009690,-0.153321,-76.692497,-1289.102417,-7.657802,0.000000
0.900000,-0.642715,-1289.102417,-0.022153,-0.298608,-7.584651,-2.858941,-0.145641,-75.846519,-1289.102417,-7.573117,0.000000
1.000000,-0.654266,-1289.102417,-0.022114,-0.295268,-7.499819,-2.910322,-0.148259,-74.998192,-1289.102417,-7.488433,0.000000
1.100000,-0.603622,-1289.102417,-0.022135,-0.291934,-7.415135,-2.685047,-0.136783,-74.151352,-1289.102417,-7.403566,0.000000
1.200000,-0.615906,-1289.102417,-0.022131,-0.288600,-7.330441,-2.739686,-0.139566,-73.304413,-1289.102417,-7.318882,0.000000
1.300000,-0.606598,-1289.191406,-0.022131,-0.285262,-7.245662,-2.698282,-0.137457,-72.456619,-1289.191406,-7.234197,0.000000
1.400000,-0.561539,-1289.146973,-0.022127,-0.281931,-7.161038,-2.497849,-0.127246,-71.610382,-1289.146973,-7.149512,0.000000
1.500000,-0.575317,-1289.102417,-0.022144,-0.278594,-7.076275,-2.559139,-0.130369,-70.762749,-1289.102417,-7.064828,0.000000
1.600000,-0.540314,-1289.102417,-0.022122,-0.275257,-6.991539,-2.403435,-0.122437,-69.915390,-1289.102417,-6.980143,0.000000
1.700000,-0.551483,-1289.102417,-0.022114,-0.271925,-6.906897,-2.453120,-0.124968,-69.068977,-1289.102417,-6.895459,0.000000
1.800000,-0.550751,-1289.102417,-0.022118,-0.268586,-6.822074,-2.449862,-0.124802,-68.220741,-1289.102417,-6.810774,0.000000
1.900000,-0.507172,-1289.146973,-0.022131,-0.265255,-6.737467,-2.256012,-0.114927,-67.374672,-1289.146973,-6.725907,0.000000
2.000000,-0.530258,-1289.102417,-0.022131,-0.261919,-6.652739,-2.358706,-0.120158,-66.527397,-1289.102417,-6.641222,0.000000
2.100000,-0.502701,-1289.102417,-0.022144,-0.258582,-6.567986,-2.236125,-0.113914,-65.679855,-1289.102417,-6.556539,0.000000
2.200000,-0.492279,-1289.146973,-0.022122,-0.255251,-6.483370,-2.189767,-0.111552,-64.833710,-1289.146973,-6.471854,0.000000
2.300000,-0.525421,-1289.146973,-0.022109,-0.251911,-6.398538,-2.337190,-0.119062,-63.985382,-1289.146973,-6.387169,0.000000
2.400000,-0.480743,-1289.102417,-0.022122,-0.248578,-6.313889,-2.138453,-0.108938,-63.138885,-1289.102417,-6.302485,0.000000
2.500000,-0.497116,-1289.102417,-0.022122,-0.245245,-6.229222,-2.211283,-0.112648,-62.292217,-1289.102417,-6.217800,0.000000
2.600000,-0.480362,-1289.146973,-0.022118,-0.241907,-6.144442,-2.136757,-0.108852,-61.444416,-1289.146973,-6.133116,0.000000
2.700000,-0.448715,-1289.057983,-0.022144,-0.238576,-6.059835,-1.995985,-0.101680,-60.598351,-1289.057983,-6.048431,0.000000
2.800000,-0.477020,-1289.146973,-0.022114,-0.235238,-5.975046,-2.121892,-0.108094,-59.750465,-1289.146973,-5.963564,0.000000
2.900000,-0.438660,-1289.102417,-0.022122,-0.231903,-5.890345,-1.951256,-0.099402,-58.903446,-1289.102417,-5.878880,0.000000
3.000000,-0.446106,-1289.146973,-0.022140,-0.228571,-5.805695,-1.984378,-0.101089,-58.056946,-1289.146973,-5.794195,0.000000
3.100000,-0.464355,-1289.102417,-0.022118,-0.225232,-5.720897,-2.065556,-0.105224,-57.208973,-1289.102417,-5.709510,0.000000
3.200000,-0.422653,-1289.146973,-0.022127,-0.221901,-5.636273,-1.880055,-0.095775,-56.362732,-1289.146973,-5.624826,0.000000
3.300000,-0.465469,-1289.146973,-0.022118,-0.218565,-5.551545,-2.070511,-0.105477,-55.515453,-1289.146973,-5.540142,0.000000
3.400000,-0.438293,-1289.146973,-0.022127,-0.215229,-5.466809,-1.949627,-0.099319,-54.668087,-1289.146973,-5.455457,0.000000
3.500000,-0.420044,-1289.146973,-0.022109,-0.211898,-5.382202,-1.868449,-0.095183,-53.822025,-1289.146973,-5.370772,0.000000
3.600000,-0.459885,-1289.102417,-0.022109,-0.208559,-5.297387,-2.045669,-0.104211,-52.973873,-1289.102417,-5.285905,0.000000
3.700000,-0.415573,-1289.102417,-0.022105,-0.205226,-5.212746,-1.848562,-0.094170,-52.127460,-1289.102417,-5.201221,0.000000
3.800000,-0.427490,-1289.102417,-0.022118,-0.201892,-5.128062,-1.901572,-0.096871,-51.280617,-1289.102417,-5.116536,0.000000
3.900000,-0.429352,-1289.102417,-0.022127,-0.198553,-5.043255,-1.909852,-0.097293,-50.432556,-1289.102417,-5.031852,0.000000
4.000000,-0.393234,-1289.102417,-0.022131,-0.195223,-4.958666,-1.749193,-0.089108,-49.586666,-1289.102417,-4.947167,0.000000
4.100000,-0.424881,-1289.146973,-0.022131,-0.191885,-4.873878,-1.889965,-0.096279,-48.738777,-1289.146973,-4.862483,0.000000
4.200000,-0.397324,-1289.102417,-0.022118,-0.188550,-4.789167,-1.767384,-0.090035,-47.891674,-1289.102417,-4.777798,0.000000
4.300000,-0.399933,-1289.191406,-0.022109,-0.185218,-4.704543,-1.778990,-0.090626,-47.045433,-1289.191406,-4.693113,0.000000
4.400000,-0.422653,-1289.102417,-0.022122,-0.181880,-4.619746,-1.880055,-0.095775,-46.197460,-1289.102417,-4.608428,0.000000
4.500000,-0.376846,-1289.102417,-0.022114,-0.178548,-4.535131,-1.676296,-0.085395,-45.351307,-1289.102417,-4.523562,0.000000
4.600000,-0.417068,-1289.057983,-0.022109,-0.175213,-4.450411,-1.855213,-0.094509,-44.504116,-1289.057983,-4.438878,0.000000
4.700000,-0.396576,-1289.057983,-0.022131,-0.171877,-4.365675,-1.764058,-0.089865,-43.656750,-1289.057983,-4.354193,0.000000
4.800000,-0.383179,-1289.102417,-0.022144,-0.168545,-4.281034,-1.704464,-0.086830,-42.810337,-1289.102417,-4.269508,0.000000
4.900000,-0.423386,-1289.102417,-0.022122,-0.165208,-4.196289,-1.883313,-0.095941,-41.962883,-1289.102417,-4.184824,0.000000
5.000000,-0.364929,-1289.146973,-0.022131,-0.161874,-4.111595,-1.623286,-0.082694,-41.115955,-1289.146973,-4.100139,0.000000
5.100000,-0.389130,-1289.102417,-0.022127,-0.158539,-4.026902,-1.730935,-0.088178,-40.269020,-1289.102417,-4.015454,0.000000
5.200000,-0.397324,-1289.102417,-0.022122,-0.155202,-3.942122,-1.767384,-0.090035,-39.421219,-1289.102417,-3.930770,0.000000
5.300000,-0.360458,-1289.013428,-0.022122,-0.151870,-3.857507,-1.603399,-0.081681,-38.575066,-1289.013428,-3.846085,0.000000
5.400000,-0.412216,-1289.102417,-0.022135,-0.148533,-3.772735,-1.833629,-0.093410,-37.727352,-1289.102417,-3.761219,0.000000
5.500000,-0.361206,-1289.146973,-0.022118,-0.145197,-3.688016,-1.606725,-0.081850,-36.880161,-1289.146973,-3.676534,0.000000
5.600000,-0.377594,-1289.146973,-0.022140,-0.141866,-3.603392,-1.679622,-0.085564,-36.033920,-1289.146973,-3.591849,0.000000
5.700000,-0.391739,-1289.102417,-0.022144,-0.138527,-3.518595,-1.742542,-0.088769,-35.185951,-1289.102417,-3.507165,0.000000
5.800000,-0.338486,-1289.102417,-0.022127,-0.135195,-3.433945,-1.505660,-0.076702,-34.339447,-1289.102417,-3.422480,0.000000
5.900000,-0.383545,-1289.057983,-0.022131,-0.131859,-3.349217,-1.706093,-0.086913,-33.492168,-1289.057983,-3.337795,0.000000
6.000000,-0.362701,-1289.013428,-0.022135,-0.128522,-3.264463,-1.613376,-0.082189,-32.644627,-1289.013428,-3.253111,0.000000
6.100000,-0.362320,-1289.146973,-0.022157,-0.125191,-3.179856,-1.611680,-0.082103,-31.798565,-1289.146973,-3.168427,0.000000
6.200000,-0.430099,-1289.146973,-0.022097,-0.121855,-3.095111,-1.913178,-0.097462,-30.951113,-1289.146973,-3.083560,0.000000
6.300000,-0.384293,-1289.146973,-0.022118,-0.118520,-3.010401,-1.709419,-0.087082,-30.104006,-1289.146973,-2.998875,0.000000
6.400000,-0.394348,-1289.146973,-0.022144,-0.115186,-2.925733,-1.754148,-0.089361,-29.257334,-1289.146973,-2.914191,0.000000
6.500000,-0.404770,-1289.102417,-0.022122,-0.111848,-2.840945,-1.800506,-0.091722,-28.409449,-1289.102417,-2.829506,0.000000
6.600000,-0.374985,-1289.146973,-0.022153,-0.108517,-2.756321,-1.668015,-0.084973,-27.563208,-1289.146973,-2.744822,0.000000
6.700000,-0.421906,-1289.102417,-0.022131,-0.105179,-2.671550,-1.876729,-0.095605,-26.715496,-1289.102417,-2.660137,0.000000
6.800000,-0.376099,-1289.102417,-0.022135,-0.101844,-2.586830,-1.672970,-0.085225,-25.868303,-1289.102417,-2.575452,0.000000
6.900000,-0.376480,-1289.146973,-0.022144,-0.098510,-2.502163,-1.674667,-0.085312,-25.021629,-1289.146973,-2.490768,0.000000
7.000000,-0.394714,-1289.146973,-0.022122,-0.095173,-2.417392,-1.755777,-0.089444,-24.173918,-1289.146973,-2.406083,0.000000
7.100000,-0.360458,-1289.146973,-0.022127,-0.091842,-2.332777,-1.603399,-0.081681,-23.327765,-1289.146973,-2.321216,0.000000
7.200000,-0.401794,-1289.191406,-0.022122,-0.088506,-2.248057,-1.787271,-0.091048,-22.480574,-1289.191406,-2.236532,0.000000
7.300000,-0.380936,-1289.057983,-0.022127,-0.085170,-2.163312,-1.694486,-0.086321,-21.633120,-1289.057983,-2.151847,0.000000
7.400001,-0.366043,-1289.146973,-0.022153,-0.081838,-2.078679,-1.628241,-0.082947,-20.786795,-1289.146973,-2.067163,0.000000
7.500000,-0.400299,-1289.146973,-0.022122,-0.078500,-1.993908,-1.780619,-0.090709,-19.939079,-1289.146973,-1.982478,0.000000
7.600000,-0.364182,-1289.146973,-0.022140,-0.075167,-1.909232,-1.619960,-0.082525,-19.092321,-1289.146973,-1.897793,0.000000
7.700000,-0.382431,-1289.146973,-0.022135,-0.071833,-1.824548,-1.701138,-0.086660,-18.245476,-1289.146973,-1.813109,0.000000
7.800000,-0.379456,-1289.102417,-0.022135,-0.068494,-1.739759,-1.687903,-0.085986,-17.397589,-1289.102417,-1.728424,0.000000
7.900001,-0.346680,-1289.146973,-0.022144,-0.065164,-1.655169,-1.542108,-0.078559,-16.551695,-1289.146973,-1.643557,0.000000
8.000000,-0.395462,-1289.057983,-0.022122,-0.061827,-1.570398,-1.759103,-0.089613,-15.703983,-1289.057983,-1.558873,0.000000
8.100000,-0.354126,-1289.102417,-0.022131,-0.058492,-1.485688,-1.575231,-0.080246,-14.856876,-1289.102417,-1.474188,0.000000
8.200001,-0.371262,-1289.146973,-0.022122,-0.055159,-1.401046,-1.651454,-0.084129,-14.010465,-1289.146973,-1.389504,0.000000
8.300000,-0.393600,-1289.057983,-0.022109,-0.051821,-1.316249,-1.750822,-0.089191,-13.162492,-1289.057983,-1.304819,0.000000
8.400001,-0.343338,-1289.013428,-0.022127,-0.048489,-1.231608,-1.527244,-0.077802,-12.316079,-1289.013428,-1.220134,0.000000
8.500000,-0.390625,-1289.102417,-0.022135,-0.045152,-1.146863,-1.737587,-0.088517,-11.468626,-1289.102417,-1.135450,0.000000
8.600000,-0.367905,-1289.146973,-0.022148,-0.041816,-1.062126,-1.636522,-0.083368,-10.621261,-1289.146973,-1.050765,0.000000
8.700001,-0.401428,-1289.146973,-0.022131,-0.039146,-0.994318,-1.785642,-0.090965,-9.943176,-1289.146973,-0.999998,0.000000
8.800000,-0.333282,-1289.102417,-0.022079,-0.039372,-1.000041,-1.482515,-0.075523,-10.000414,-1289.102417,-0.999998,0.000000
8.810000,-0.337753,-1289.235840,-0.022101,-0.039372,-1.000059,-1.502402,-0.076536,-10.000587,-1289.235840,-0.999998,0.000000
8.820001,-0.332535,-1289.102417,-0.022097,-0.039372,-1.000050,-1.479189,-0.075353,-10.000500,-1289.102417,-0.999998,0.000000
8.830001,-0.335144,-1289.191406,-0.022114,-0.039372,-1.000059,-1.490795,-0.075945,-10.000587,-1289.191406,-0.999998,0.000000
8.840000,-0.340347,-1289.191406,-0.022092,-0.039372,-1.000059,-1.513940,-0.077124,-10.000587,-1289.191406,-0.999998,0.000000
8.850000,-0.335892,-1289.146973,-0.022118,-0.039372,-1.000059,-1.494121,-0.076114,-10.000587,-1289.146973,-0.999998,0.000000
8.860001,-0.333649,-1289.280396,-0.022101,-0.039372,-1.000059,-1.484143,-0.075606,-10.000587,-1289.280396,-0.999998,0.000000
8.870001,-0.338120,-1289.102417,-0.022101,-0.039372,-1.000059,-1.504031,-0.076619,-10.000587,-1289.102417,-0.999998,0.000000
8.880000,-0.335510,-1289.191406,-0.022079,-0.039372,-1.000059,-1.492424,-0.076028,-10.000587,-1289.191406,-0.999998,0.000000
8.890000,-0.345200,-1289.235840,-0.022097,-0.039372,-1.000059,-1.535524,-0.078223,-10.000587,-1289.235840,-0.999998,0.000000
8.900001,-0.339615,-1289.146973,-0.022079,-0.039372,-1.000059,-1.510682,-0.076958,-10.000587,-1289.146973,-0.999998,0.000000
8.910001,-0.337372,-1289.146973,-0.022088,-0.039372,-1.000059,-1.500705,-0.076450,-10.000587,-1289.146973,-0.999998,0.000000
8.920000,-0.339981,-1289.102417,-0.022114,-0.039372,-1.000059,-1.512311,-0.077041,-10.000587,-1289.102417,-0.999998,0.000000
8.930000,-0.335892,-1289.146973,-0.022079,-0.039372,-1.000059,-1.494121,-0.076114,-10.000587,-1289.146973,-0.999998,0.000000
8.940001,-0.331039,-1289.191406,-0.022109,-0.039372,-1.000059,-1.472537,-0.075015,-10.000587,-1289.191406,-0.999998,0.000000
8.950001,-0.332901,-1289.102417,-0.022097,-0.039372,-1.000059,-1.480818,-0.075436,-10.000587,-1289.102417,-0.999998,0.000000
8.960000,-0.333282,-1289.235840,-0.022097,-0.039372,-1.000059,-1.482515,-0.075523,-10.000587,-1289.235840,-0.999998,0.000000
8.970000,-0.328064,-1289.102417,-0.022109,-0.039372,-1.000059,-1.459301,-0.074340,-10.000587,-1289.102417,-0.999998,0.000000
8.980000,-0.335144,-1289.146973,-0.022084,-0.039372,-1.000059,-1.490795,-0.075945,-10.000587,-1289.146973,-0.999998,0.000000
8.990001,-0.334763,-1289.235840,-0.022088,-0.039372,-1.000059,-1.489098,-0.075858,-10.000587,-1289.235840,-0.999998,0.000000
9.000000,-0.331787,-1289.057983,-0.022097,-0.039372,-1.000059,-1.475863,-0.075184,-10.000587,-1289.057983,-0.999998,0.000000
9.010000,-0.340729,-1289.235840,-0.022114,-0.039372,-1.000059,-1.515637,-0.077210,-10.000587,-1289.235840,-0.999998,0.000000
9.020000,-0.335144,-1289.102417,-0.022101,-0.039372,-1.000059,-1.490795,-0.075945,-10.000587,-1289.102417,-0.999998,0.000000
9.030001,-0.333282,-1289.191406,-0.022101,-0.039372,-1.000059,-1.482515,-0.075523,-10.000587,-1289.191406,-0.999998,0.000000
9.040000,-0.335510,-1289.191406,-0.022118,-0.039372,-1.000059,-1.492424,-0.076028,-10.000587,-1289.191406,-0.999981,0.000000
9.050000,-0.335510,-1289.102417,-0.022127,-0.039372,-1.000059,-1.492424,-0.076028,-10.000587,-1289.102417,-0.999807,0.000000
9.060000,-0.336258,-1289.191406,-0.022079,-0.039372,-1.000041,-1.495750,-0.076197,-10.000414,-1289.191406,-0.999651,0.000000
9.070001,-0.309067,-1289.102417,-0.022114,-0.039371,-1.000033,-1.374798,-0.070036,-10.000326,-1289.102417,-0.999478,0.000000
9.080001,-0.337372,-1289.146973,-0.022084,-0.039371,-1.000033,-1.500705,-0.076450,-10.000326,-1289.146973,-0.999322,0.000000
9.090000,-0.337006,-1289.191406,-0.022097,-0.039370,-0.999998,-1.499076,-0.076367,-9.999980,-1289.191406,-0.999148,0.000000
9.100000,-0.330292,-1289.102417,-0.022105,-0.039368,-0.999946,-1.469211,-0.074845,-9.999459,-1289.102417,-0.998975,0.000000
9.110001,-0.330292,-1289.191406,-0.022114,-0.039365,-0.999868,-1.469211,-0.074845,-9.998679,-1289.191406,-0.998819,0.000000
9.120001,-0.355255,-1289.146973,-0.022084,-0.039359,-0.999720,-1.580254,-0.080502,-9.997205,-1289.146973,-0.998645,0.000000
9.130000,-0.358231,-1289.146973,-0.022097,-0.039352,-0.999530,-1.593489,-0.081176,-9.995296,-1289.146973,-0.998489,0.000000
9.140000,-0.364563,-1289.191406,-0.022092,-0.039343,-0.999313,-1.621657,-0.082611,-9.993129,-1289.191406,-0.998316,0.000000
9.150001,-0.360458,-1289.102417,-0.022109,-0.039334,-0.999096,-1.603399,-0.081681,-9.990961,-1289.102417,-0.998142,0.000000
9.160001,-0.336624,-1289.235840,-0.022084,-0.039327,-0.998914,-1.497379,-0.076280,-9.989140,-1289.235840,-0.997986,0.000000
