Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.790176,-1206.145508,-0.022066,-0.314966,-8.000139,-3.514880,-0.179057,-80.001396,-1206.145508,-8.000139,0.000000
0.300000,-0.818848,-1206.234375,-0.022088,-0.314966,-8.000139,-3.642416,-0.185554,-80.001396,-1206.234375,-8.000139,0.000000
0.400000,-0.742889,-1206.189941,-0.022105,-0.312424,-7.935574,-3.304537,-0.168341,-79.355743,-1206.189941,-7.925836,0.000000
0.500000,-0.796509,-1206.189941,-0.022105,-0.309154,-7.852520,-3.543048,-0.180491,-78.525200,-1206.189941,-7.841151,0.000000
0.600000,-0.701920,-1206.189941,-0.022092,-0.305826,-7.767992,-3.122294,-0.159057,-77.679916,-1206.189941,-7.756466,0.000000
0.700000,-0.729477,-1206.145508,-0.022114,-0.302491,-7.683264,-3.244875,-0.165302,-76.832642,-1206.145508,-7.671782,0.000000
0.800000,-0.683304,-1206.234375,-0.022131,-0.299155,-7.598545,-3.039487,-0.154839,-75.985443,-1206.234375,-7.587097,0.000000
0.900000,-0.649796,-1206.145508,-0.022127,-0.295818,-7.513782,-2.890435,-0.147246,-75.137817,-1206.145508,-7.502413,0.000000
1.000000,-0.691132,-1206.100952,-0.022114,-0.292482,-7.429036,-3.074307,-0.156613,-74.290367,-1206.100952,-7.417728,0.000000
1.100000,-0.607346,-1206.145508,-0.022140,-0.289147,-7.344335,-2.701608,-0.137626,-73.443352,-1206.145508,-7.332861,0.000000
1.200000,-0.625595,-1206.145508,-0.022118,-0.285812,-7.259615,-2.782786,-0.141762,-72.596153,-1206.145508,-7.248177,0.000000
1.300000,-0.633789,-1206.145508,-0.022109,-0.282476,-7.174896,-2.819235,-0.143619,-71.748962,-1206.145508,-7.163492,0.000000
1.400000,-0.567505,-1206.189941,-0.022092,-0.279143,-7.090220,-2.524388,-0.128598,-70.902199,-1206.189941,-7.078807,0.000000
1.500000,-0.606598,-1206.189941,-0.022088,-0.275805,-7.005449,-2.698282,-0.137457,-70.054489,-1206.189941,-6.994123,0.000000
1.600000,-0.560791,-1206.234375,-0.022122,-0.272471,-6.920755,-2.494523,-0.127077,-69.207550,-1206.234375,-6.909439,0.000000
1.700000,-0.569733,-1206.189941,-0.022122,-0.269138,-6.836105,-2.534297,-0.129103,-68.361053,-1206.189941,-6.824754,0.000000
1.800000,-0.579041,-1206.189941,-0.022118,-0.265803,-6.751404,-2.575701,-0.131212,-67.514038,-1206.189941,-6.740069,0.000000
1.900000,-0.521698,-1206.189941,-0.022109,-0.262469,-6.666702,-2.320629,-0.118218,-66.667015,-1206.189941,-6.655385,0.000000
2.000000,-0.557816,-1206.145508,-0.022118,-0.259135,-6.582035,-2.481287,-0.126403,-65.820343,-1206.145508,-6.570518,0.000000
2.100000,-0.528778,-1206.145508,-0.022101,-0.255798,-6.497263,-2.352122,-0.119823,-64.972633,-1206.145508,-6.485834,0.000000
2.200000,-0.508667,-1206.189941,-0.022118,-0.252464,-6.412579,-2.262664,-0.115266,-64.125786,-1206.189941,-6.401149,0.000000
2.300000,-0.545151,-1206.234375,-0.022109,-0.249129,-6.327868,-2.424952,-0.123533,-63.278687,-1206.234375,-6.316464,0.000000
2.400000,-0.494141,-1206.145508,-0.022114,-0.245794,-6.243157,-2.198047,-0.111974,-62.431576,-1206.145508,-6.231780,0.000000
2.500000,-0.516479,-1206.234375,-0.022131,-0.242461,-6.158508,-2.297415,-0.117036,-61.585083,-1206.234375,-6.147095,0.000000
2.600000,-0.513504,-1206.145508,-0.022114,-0.239125,-6.073780,-2.284180,-0.116362,-60.737801,-1206.145508,-6.062411,0.000000
2.700000,-0.466583,-1206.189941,-0.022088,-0.235791,-5.989087,-2.075466,-0.105729,-59.890869,-1206.189941,-5.977726,0.000000
2.800000,-0.523193,-1206.189941,-0.022114,-0.232456,-5.904376,-2.327280,-0.118557,-59.043762,-1206.189941,-5.892859,0.000000
2.900000,-0.464722,-1206.234375,-0.022118,-0.229119,-5.819622,-2.067185,-0.105307,-58.196224,-1206.234375,-5.808175,0.000000
3.000000,-0.491531,-1206.100952,-0.022097,-0.225788,-5.735007,-2.186441,-0.111383,-57.350067,-1206.100952,-5.723490,0.000000
3.100000,-0.509033,-1206.234375,-0.022101,-0.222450,-5.650227,-2.264293,-0.115349,-56.502270,-1206.234375,-5.638806,0.000000
3.200000,-0.458389,-1206.189941,-0.022092,-0.219115,-5.565516,-2.039017,-0.103872,-55.655167,-1206.189941,-5.554121,0.000000
3.300000,-0.497498,-1206.145508,-0.022109,-0.215782,-5.480858,-2.212980,-0.112735,-54.808578,-1206.145508,-5.469437,0.000000
3.400000,-0.474411,-1206.145508,-0.022109,-0.212445,-5.396112,-2.110286,-0.107503,-53.961124,-1206.145508,-5.384752,0.000000
3.500000,-0.458389,-1206.145508,-0.022127,-0.209111,-5.311419,-2.039017,-0.103872,-53.114193,-1206.145508,-5.300067,0.000000
3.600000,-0.505692,-1206.189941,-0.022088,-0.205776,-5.226708,-2.249428,-0.114591,-52.267086,-1206.189941,-5.215383,0.000000
3.700000,-0.439026,-1206.189941,-0.022109,-0.202440,-5.141972,-1.952885,-0.099485,-51.419720,-1206.189941,-5.130516,0.000000
3.800000,-0.482605,-1206.145508,-0.022105,-0.199106,-5.057287,-2.146734,-0.109360,-50.572872,-1206.145508,-5.045832,0.000000
3.900000,-0.468826,-1206.100952,-0.022105,-0.195770,-4.972550,-2.085443,-0.106238,-49.725506,-1206.100952,-4.961147,0.000000
4.000000,-0.420410,-1206.145508,-0.022135,-0.192436,-4.887866,-1.870078,-0.095266,-48.878662,-1206.145508,-4.876462,0.000000
4.100000,-0.491165,-1206.189941,-0.022118,-0.189101,-4.803164,-2.184812,-0.111300,-48.031643,-1206.189941,-4.791778,0.000000
4.200000,-0.450195,-1206.189941,-0.022114,-0.185766,-4.718445,-2.002569,-0.102016,-47.184448,-1206.189941,-4.707093,0.000000
4.300000,-0.463974,-1206.189941,-0.022122,-0.182432,-4.633769,-2.063859,-0.105138,-46.337692,-1206.189941,-4.622408,0.000000
4.400000,-0.470688,-1206.145508,-0.022105,-0.179097,-4.549058,-2.093724,-0.106659,-45.490585,-1206.145508,-4.537724,0.000000
4.500000,-0.419662,-1206.145508,-0.022118,-0.175761,-4.464339,-1.866752,-0.095097,-44.643391,-1206.145508,-4.452857,0.000000
4.600000,-0.473663,-1206.145508,-0.022101,-0.172428,-4.379672,-2.106960,-0.107334,-43.796719,-1206.145508,-4.368173,0.000000
4.700000,-0.440521,-1206.145508,-0.022084,-0.169093,-4.294952,-1.959536,-0.099824,-42.949528,-1206.145508,-4.283488,0.000000
4.800000,-0.433441,-1206.145508,-0.022109,-0.165757,-4.210233,-1.928043,-0.098219,-42.102337,-1206.145508,-4.198803,0.000000
4.900000,-0.477753,-1206.145508,-0.022109,-0.162422,-4.125523,-2.125150,-0.108260,-41.255226,-1206.145508,-4.114119,0.000000
5.000000,-0.423767,-1206.189941,-0.022105,-0.159087,-4.040803,-1.885010,-0.096027,-40.408035,-1206.189941,-4.029434,0.000000
5.100000,-0.445740,-1206.145508,-0.022114,-0.155752,-3.956110,-1.982749,-0.101006,-39.561104,-1206.145508,-3.944750,0.000000
5.200000,-0.452057,-1206.189941,-0.022101,-0.152417,-3.871399,-2.010849,-0.102438,-38.713993,-1206.189941,-3.860065,0.000000
5.300000,-0.410355,-1206.145508,-0.022105,-0.149082,-3.786689,-1.825348,-0.092988,-37.866890,-1206.145508,-3.775380,0.000000
5.400000,-0.467331,-1206.145508,-0.022135,-0.145748,-3.701987,-2.078792,-0.105899,-37.019871,-1206.145508,-3.690514,0.000000
5.500000,-0.423019,-1206.234375,-0.022105,-0.142412,-3.617276,-1.881684,-0.095858,-36.172764,-1206.234375,-3.605829,0.000000
5.600000,-0.447220,-1206.145508,-0.022101,-0.139079,-3.532601,-1.989333,-0.101341,-35.326008,-1206.145508,-3.521144,0.000000
5.700000,-0.460632,-1206.234375,-0.022114,-0.135742,-3.447838,-2.048995,-0.104381,-34.478378,-1206.234375,-3.436460,0.000000
5.800000,-0.405518,-1206.145508,-0.022127,-0.132408,-3.363153,-1.803832,-0.091892,-33.631531,-1206.145508,-3.351775,0.000000
5.900000,-0.448334,-1206.189941,-0.022122,-0.129073,-3.278443,-1.994288,-0.101594,-32.784428,-1206.189941,-3.267091,0.000000
6.000000,-0.431961,-1206.145508,-0.022109,-0.125737,-3.193715,-1.921459,-0.097884,-31.937147,-1206.145508,-3.182406,0.000000
6.100000,-0.409241,-1206.234375,-0.022109,-0.122404,-3.109065,-1.820394,-0.092735,-31.090649,-1206.234375,-3.097722,0.000000
6.200000,-0.457275,-1206.234375,-0.022114,-0.119070,-3.024372,-2.034063,-0.103620,-30.243715,-1206.234375,-3.013037,0.000000
6.300000,-0.396576,-1206.189941,-0.022122,-0.115736,-2.939687,-1.764058,-0.089865,-29.396870,-1206.189941,-2.928170,0.000000
6.400000,-0.441269,-1206.145508,-0.022109,-0.112399,-2.854942,-1.962862,-0.099993,-28.549417,-1206.145508,-2.843486,0.000000
6.500000,-0.448715,-1206.234375,-0.022088,-0.109065,-2.770240,-1.995985,-0.101680,-27.702398,-1206.234375,-2.758801,0.000000
6.600000,-0.399933,-1206.145508,-0.022122,-0.105729,-2.685529,-1.778990,-0.090626,-26.855293,-1206.145508,-2.674116,0.000000
6.700000,-0.460251,-1206.234375,-0.022105,-0.102394,-2.600801,-2.047298,-0.104294,-26.008013,-1206.234375,-2.589432,0.000000
6.800000,-0.425247,-1206.189941,-0.022079,-0.099059,-2.516099,-1.891594,-0.096362,-25.160994,-1206.189941,-2.504747,0.000000
6.900000,-0.434189,-1206.189941,-0.022114,-0.095724,-2.431397,-1.931368,-0.098389,-24.313974,-1206.189941,-2.420063,0.000000
7.000000,-0.456909,-1206.189941,-0.022101,-0.092389,-2.346678,-2.032434,-0.103537,-23.466782,-1206.189941,-2.335378,0.000000
7.100000,-0.401794,-1206.189941,-0.022097,-0.089053,-2.261959,-1.787271,-0.091048,-22.619589,-1206.189941,-2.250511,0.000000
7.200000,-0.460632,-1206.234375,-0.022114,-0.085718,-2.177240,-2.048995,-0.104381,-21.772396,-1206.234375,-2.165827,0.000000
7.300000,-0.423019,-1206.189941,-0.022109,-0.082383,-2.092538,-1.881684,-0.095858,-20.925377,-1206.189941,-2.081142,0.000000
7.400001,-0.422272,-1206.189941,-0.022135,-0.079047,-2.007801,-1.878358,-0.095688,-20.078011,-1206.189941,-1.996458,0.000000
7.500000,-0.461380,-1206.189941,-0.022101,-0.075714,-1.923134,-2.052321,-0.104550,-19.231337,-1206.189941,-1.911773,0.000000
7.600000,-0.405518,-1206.189941,-0.022114,-0.072378,-1.838406,-1.803832,-0.091892,-18.384058,-1206.189941,-1.827088,0.000000
7.700000,-0.437164,-1206.145508,-0.022114,-0.069048,-1.753817,-1.944604,-0.099063,-17.538166,-1206.145508,-1.742404,0.000000
