Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.100000,-0.399185,-777.660461,-0.008304,-0.314963,-8.000052,-1.775664,-0.090457,-80.000526,-777.660461,-8.000131,0.000000
0.200000,-0.398437,-777.749451,-0.008252,-0.314963,-8.000052,-1.772339,-0.090287,-80.000526,-777.749451,-8.000131,0.000000
0.300000,-0.401047,-777.793884,-0.008252,-0.314963,-8.000052,-1.783945,-0.090878,-80.000526,-777.793884,-8.000131,0.000000
0.400000,-0.439774,-777.749451,-0.008511,-0.314773,-7.995231,-1.956210,-0.099654,-79.952309,-777.749451,-7.981008,0.000000
0.500000,-0.388000,-777.704956,-0.008295,-0.311339,-7.908014,-1.725912,-0.087922,-79.080139,-777.704956,-7.896324,0.000000
0.600000,-0.379822,-777.749451,-0.008347,-0.307996,-7.823095,-1.689532,-0.086069,-78.230957,-777.749451,-7.811639,0.000000
0.700000,-0.326187,-777.749451,-0.008239,-0.304659,-7.738333,-1.450953,-0.073915,-77.383331,-777.749451,-7.726954,0.000000
0.800000,-0.316513,-777.749451,-0.008261,-0.301323,-7.653613,-1.407920,-0.071723,-76.536133,-777.749451,-7.642270,0.000000
0.900000,-0.331406,-777.749451,-0.008201,-0.297988,-7.568894,-1.474166,-0.075098,-75.688942,-777.749451,-7.557403,0.000000
1.000000,-0.266983,-777.749451,-0.008390,-0.294653,-7.484183,-1.187600,-0.060499,-74.841835,-777.749451,-7.472719,0.000000
1.100000,-0.296783,-777.749451,-0.008313,-0.291318,-7.399473,-1.320159,-0.067252,-73.994728,-777.749451,-7.388034,0.000000
1.200000,-0.271088,-777.749451,-0.008282,-0.287982,-7.314754,-1.205858,-0.061429,-73.147537,-777.749451,-7.303350,0.000000
1.300000,-0.244278,-777.749451,-0.008244,-0.284648,-7.230060,-1.086603,-0.055354,-72.300598,-777.749451,-7.218665,0.000000
1.400000,-0.266983,-777.793884,-0.008239,-0.281314,-7.145384,-1.187600,-0.060499,-71.453842,-777.793884,-7.133980,0.000000
1.500000,-0.225647,-777.793884,-0.008334,-0.277978,-7.060639,-1.003728,-0.051132,-70.606392,-777.793884,-7.049295,0.000000
1.600000,-0.243896,-777.749451,-0.008326,-0.274642,-6.975911,-1.084906,-0.055268,-69.759109,-777.749451,-6.964611,0.000000
1.700000,-0.230118,-777.749451,-0.008347,-0.271307,-6.891209,-1.023615,-0.052145,-68.912086,-777.749451,-6.879745,0.000000
1.800000,-0.201828,-777.793884,-0.008334,-0.267971,-6.806473,-0.897776,-0.045735,-68.064728,-777.793884,-6.795060,0.000000
1.900000,-0.233093,-777.704956,-0.008231,-0.264637,-6.721788,-1.036851,-0.052820,-67.217880,-777.704956,-6.710375,0.000000
2.000000,-0.193634,-777.749451,-0.008291,-0.261302,-6.637068,-0.861327,-0.043878,-66.370682,-777.749451,-6.625691,0.000000
2.100000,-0.201447,-777.660461,-0.008261,-0.257965,-6.552315,-0.896079,-0.045648,-65.523148,-777.660461,-6.541006,0.000000
2.200000,-0.207031,-777.749451,-0.008235,-0.254631,-6.467639,-0.920921,-0.046914,-64.676392,-777.749451,-6.456321,0.000000
2.300000,-0.158630,-777.749451,-0.008244,-0.251296,-6.382919,-0.705623,-0.035946,-63.829197,-777.749451,-6.371637,0.000000
2.400000,-0.198105,-777.749451,-0.008326,-0.247961,-6.298209,-0.881214,-0.044891,-62.982090,-777.749451,-6.286952,0.000000
2.500000,-0.171661,-777.793884,-0.008231,-0.244627,-6.213524,-0.763588,-0.038899,-62.135242,-777.793884,-6.202268,0.000000
2.600000,-0.160858,-777.749451,-0.008282,-0.241291,-6.128779,-0.715533,-0.036451,-61.287788,-777.749451,-6.117401,0.000000
2.700000,-0.199219,-777.793884,-0.008330,-0.237956,-6.044094,-0.886169,-0.045144,-60.440941,-777.793884,-6.032716,0.000000
