Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.431213,-1285.543945,-0.008558,-0.314964,-8.000078,-1.918133,-0.097714,-80.000786,-1285.543945,-8.000140,0.000000
0.300000,-0.414825,-1285.543945,-0.008567,-0.314964,-8.000078,-1.845236,-0.094001,-80.000786,-1285.543945,-8.000140,0.000000
0.400000,-0.413712,-1285.588501,-0.008580,-0.314964,-8.000078,-1.840281,-0.093748,-80.000786,-1285.588501,-8.000140,0.000000
0.500000,-0.395081,-1285.543945,-0.008619,-0.312409,-7.935184,-1.757406,-0.089527,-79.351845,-1285.543945,-7.925107,0.000000
0.600000,-0.376465,-1285.499512,-0.008623,-0.309112,-7.851436,-1.674599,-0.085308,-78.514359,-1285.499512,-7.840423,0.000000
0.700000,-0.346313,-1285.588501,-0.008610,-0.305777,-7.766743,-1.540479,-0.078476,-77.667427,-1285.588501,-7.755738,0.000000
0.800000,-0.348175,-1285.410522,-0.008610,-0.302443,-7.682042,-1.548760,-0.078898,-76.820419,-1285.410522,-7.670871,0.000000
0.900000,-0.287094,-1285.499512,-0.008627,-0.299107,-7.597322,-1.277058,-0.065056,-75.973221,-1285.499512,-7.586187,0.000000
1.000000,-0.305344,-1285.543945,-0.008640,-0.295771,-7.512585,-1.358236,-0.069192,-75.125847,-1285.543945,-7.501502,0.000000
1.100000,-0.263275,-1285.543945,-0.008601,-0.292438,-7.427918,-1.171106,-0.059659,-74.279182,-1285.543945,-7.416817,0.000000
1.200000,-0.252090,-1285.543945,-0.008632,-0.289101,-7.343155,-1.121354,-0.057125,-73.431557,-1285.543945,-7.332133,0.000000
1.300000,-0.261780,-1285.543945,-0.008662,-0.285767,-7.258471,-1.164455,-0.059320,-72.584709,-1285.543945,-7.247448,0.000000
1.400000,-0.233109,-1285.543945,-0.008640,-0.282432,-7.173778,-1.036919,-0.052823,-71.737778,-1285.543945,-7.162764,0.000000
1.500000,-0.267731,-1285.499512,-0.008632,-0.279095,-7.089023,-1.190926,-0.060669,-70.890236,-1285.499512,-7.078079,0.000000
1.600000,-0.238312,-1285.543945,-0.008619,-0.275761,-7.004322,-1.060064,-0.054002,-70.043221,-1285.543945,-6.993394,0.000000
1.700000,-0.204437,-1285.588501,-0.008649,-0.272426,-6.919611,-0.909382,-0.046326,-69.196106,-1285.588501,-6.908528,0.000000
1.800000,-0.222687,-1285.588501,-0.008627,-0.269091,-6.834909,-0.990560,-0.050462,-68.349091,-1285.588501,-6.823843,0.000000
1.900000,-0.194748,-1285.543945,-0.008619,-0.265758,-6.750242,-0.866282,-0.044131,-67.502419,-1285.543945,-6.739159,0.000000
2.000000,-0.211884,-1285.499512,-0.008614,-0.262421,-6.665488,-0.942505,-0.048013,-66.654877,-1285.499512,-6.654474,0.000000
2.100000,-0.195129,-1285.499512,-0.008584,-0.259086,-6.580794,-0.867979,-0.044217,-65.807945,-1285.499512,-6.569789,0.000000
2.200000,-0.163467,-1285.499512,-0.008610,-0.255751,-6.496084,-0.727139,-0.037042,-64.960838,-1285.499512,-6.485105,0.000000
2.300000,-0.192520,-1285.543945,-0.008614,-0.252416,-6.411356,-0.856372,-0.043626,-64.113564,-1285.543945,-6.400420,0.000000
2.400000,-0.157516,-1285.543945,-0.008593,-0.249082,-6.326689,-0.700668,-0.035694,-63.266888,-1285.543945,-6.315736,0.000000
2.500000,-0.158264,-1285.543945,-0.008632,-0.245745,-6.241935,-0.703994,-0.035863,-62.419350,-1285.543945,-6.231051,0.000000
2.600000,-0.165329,-1285.499512,-0.008632,-0.242411,-6.157250,-0.735420,-0.037464,-61.572506,-1285.499512,-6.146184,0.000000
2.700000,-0.122513,-1285.543945,-0.008576,-0.239076,-6.072539,-0.544964,-0.027762,-60.725395,-1285.543945,-6.061500,0.000000
2.800000,-0.148209,-1285.588501,-0.008597,-0.235741,-5.987829,-0.659265,-0.033585,-59.878292,-1285.588501,-5.976815,0.000000
2.900000,-0.139267,-1285.499512,-0.008632,-0.232407,-5.903145,-0.619490,-0.031558,-59.031448,-1285.499512,-5.892130,0.000000
3.000000,-0.107986,-1285.499512,-0.008571,-0.229072,-5.818425,-0.480348,-0.024470,-58.184250,-1285.499512,-5.807446,0.000000
3.100000,-0.142990,-1285.543945,-0.008623,-0.225737,-5.733715,-0.636052,-0.032402,-57.337147,-1285.543945,-5.722762,0.000000
3.200000,-0.099792,-1285.632935,-0.008645,-0.222402,-5.649022,-0.443899,-0.022613,-56.490215,-1285.632935,-5.638077,0.000000
3.300000,-0.122147,-1285.543945,-0.008580,-0.219067,-5.564311,-0.543335,-0.027679,-55.643108,-1285.543945,-5.553392,0.000000
3.400000,-0.122513,-1285.499512,-0.008589,-0.215733,-5.479618,-0.544964,-0.027762,-54.796177,-1285.499512,-5.468525,0.000000
3.500000,-0.102036,-1285.543945,-0.008601,-0.212399,-5.394933,-0.453877,-0.023122,-53.949329,-1285.543945,-5.383841,0.000000
3.600000,-0.119537,-1285.499512,-0.008597,-0.209063,-5.310196,-0.531729,-0.027088,-53.101963,-1285.499512,-5.299156,0.000000
3.700000,-0.104645,-1285.499512,-0.008606,-0.205729,-5.225521,-0.465483,-0.023713,-52.255207,-1285.499512,-5.214472,0.000000
3.800000,-0.105011,-1285.543945,-0.008614,-0.202393,-5.140792,-0.467112,-0.023796,-51.407928,-1285.543945,-5.129787,0.000000
3.900000,-0.124008,-1285.454956,-0.008640,-0.199059,-5.056099,-0.551616,-0.028101,-50.560993,-1285.454956,-5.045103,0.000000
4.000000,-0.086014,-1285.588501,-0.008610,-0.195724,-4.971380,-0.382608,-0.019491,-49.713802,-1285.588501,-4.960418,0.000000
4.100000,-0.113953,-1285.543945,-0.008645,-0.192388,-4.886661,-0.506887,-0.025822,-48.866604,-1285.543945,-4.875733,0.000000
4.200000,-0.102402,-1285.588501,-0.008619,-0.189053,-4.801950,-0.455506,-0.023205,-48.019501,-1285.588501,-4.791049,0.000000
4.300000,-0.083786,-1285.543945,-0.008584,-0.185719,-4.717257,-0.372699,-0.018986,-47.172569,-1285.543945,-4.706182,0.000000
4.400000,-0.113953,-1285.543945,-0.008662,-0.182384,-4.632555,-0.506887,-0.025822,-46.325546,-1285.543945,-4.621498,0.000000
4.500000,-0.080811,-1285.499512,-0.008606,-0.179050,-4.547879,-0.359463,-0.018312,-45.478790,-1285.499512,-4.536813,0.000000
4.600000,-0.097183,-1285.588501,-0.008614,-0.175714,-4.463134,-0.432293,-0.022022,-44.631336,-1285.588501,-4.452129,0.000000
4.700000,-0.109848,-1285.499512,-0.008619,-0.172380,-4.378449,-0.488628,-0.024892,-43.784489,-1285.499512,-4.367444,0.000000
4.800000,-0.055481,-1285.499512,-0.008597,-0.169045,-4.293738,-0.246792,-0.012572,-42.937386,-1285.499512,-4.282759,0.000000
4.900000,-0.092346,-1285.543945,-0.008610,-0.165709,-4.209011,-0.410776,-0.020926,-42.090107,-1285.543945,-4.198074,0.000000
5.000000,-0.066284,-1285.499512,-0.008632,-0.162376,-4.124361,-0.294847,-0.015020,-41.243607,-1285.499512,-4.113390,0.000000
5.100000,-0.078568,-1285.543945,-0.008619,-0.159040,-4.039624,-0.349486,-0.017804,-40.396236,-1285.543945,-4.028523,0.000000
5.200000,-0.094589,-1285.543945,-0.008576,-0.155706,-3.954922,-0.420754,-0.021434,-39.549221,-1285.543945,-3.943839,0.000000
5.300000,-0.065536,-1285.499512,-0.008610,-0.152372,-3.870246,-0.291521,-0.014851,-38.702457,-1285.499512,-3.859154,0.000000
5.400000,-0.091232,-1285.499512,-0.008645,-0.149036,-3.785510,-0.405822,-0.020674,-37.855095,-1285.499512,-3.774470,0.000000
5.500000,-0.080811,-1285.543945,-0.008619,-0.145702,-3.700842,-0.359463,-0.018312,-37.008423,-1285.543945,-3.689785,0.000000
5.600000,-0.083420,-1285.499512,-0.008632,-0.142366,-3.616088,-0.371070,-0.018903,-36.160881,-1285.499512,-3.605100,0.000000
5.700000,-0.109848,-1285.543945,-0.008623,-0.139031,-3.531378,-0.488628,-0.024892,-35.313778,-1285.543945,-3.520416,0.000000
