Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-1.173706,-710.850098,-0.046810,-0.314965,-8.000122,-5.220905,-0.265966,-80.001228,-710.850098,-8.000140,0.000000
0.300000,-1.178528,-710.850098,-0.046814,-0.314965,-8.000122,-5.242353,-0.267058,-80.001228,-710.850098,-8.000140,0.000000
0.400000,-1.230713,-710.850098,-0.046935,-0.314233,-7.981521,-5.474484,-0.278884,-79.815208,-710.850098,-7.967541,0.000000
0.500000,-1.222473,-710.850098,-0.046840,-0.310792,-7.894121,-5.437832,-0.277016,-78.941216,-710.850098,-7.882674,0.000000
0.600000,-1.253052,-710.850098,-0.046845,-0.307449,-7.809211,-5.573853,-0.283946,-78.092110,-710.850098,-7.797989,0.000000
0.700000,-1.230286,-710.894531,-0.046832,-0.304113,-7.724474,-5.472584,-0.278787,-77.244751,-710.894531,-7.713305,0.000000
0.800000,-1.230286,-710.894531,-0.046871,-0.300778,-7.639755,-5.472584,-0.278787,-76.397552,-710.894531,-7.628620,0.000000
0.900000,-1.250427,-710.894531,-0.046845,-0.297442,-7.555019,-5.562178,-0.283351,-75.550186,-710.894531,-7.543936,0.000000
1.000000,-1.216553,-710.850098,-0.046849,-0.294108,-7.470343,-5.411497,-0.275675,-74.703423,-710.850098,-7.459251,0.000000
1.100000,-1.260498,-710.850098,-0.046871,-0.290772,-7.385597,-5.606976,-0.285633,-73.855972,-710.850098,-7.374567,0.000000
1.200000,-1.249329,-710.894531,-0.046832,-0.287439,-7.300939,-5.557291,-0.283102,-73.009392,-710.894531,-7.289882,0.000000
1.300000,-1.216553,-710.894531,-0.046840,-0.284103,-7.216211,-5.411497,-0.275675,-72.162109,-710.894531,-7.205197,0.000000
1.400000,-1.252686,-710.850098,-0.046862,-0.280768,-7.131500,-5.572224,-0.283863,-71.315002,-710.850098,-7.120330,0.000000
1.500000,-1.231812,-710.894531,-0.046845,-0.277435,-7.046842,-5.479372,-0.279132,-70.468414,-710.894531,-7.035646,0.000000
1.600000,-1.230713,-710.939026,-0.046853,-0.274098,-6.962088,-5.474484,-0.278884,-69.620880,-710.939026,-6.950961,0.000000
