Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.100000,-1.153992,-773.657166,-0.046802,-0.314962,-8.000027,-5.133212,-0.261498,-80.000275,-773.657166,-8.000105,0.000000
0.200000,-1.160278,-773.657166,-0.046823,-0.314962,-8.000027,-5.161176,-0.262923,-80.000275,-773.657166,-8.000105,0.000000
0.300000,-1.153992,-773.657166,-0.046819,-0.314962,-8.000027,-5.133212,-0.261498,-80.000275,-773.657166,-8.000105,0.000000
0.400000,-1.213562,-773.612671,-0.046883,-0.314114,-7.978502,-5.398193,-0.274997,-79.785027,-773.612671,-7.964774,0.000000
0.500000,-1.197571,-773.612671,-0.046866,-0.310698,-7.891719,-5.327061,-0.271373,-78.917198,-773.612671,-7.880090,0.000000
0.600000,-1.243347,-773.612671,-0.046853,-0.307350,-7.806696,-5.530684,-0.281747,-78.066963,-773.612671,-7.795405,0.000000
0.700000,-1.208740,-773.701660,-0.046840,-0.304013,-7.721942,-5.376745,-0.273904,-77.219429,-773.701660,-7.710721,0.000000
0.800000,-1.209473,-773.657166,-0.046853,-0.300677,-7.637197,-5.380003,-0.274070,-76.371971,-773.657166,-7.626036,0.000000
0.900000,-1.244812,-773.657166,-0.046845,-0.297341,-7.552469,-5.537200,-0.282078,-75.524696,-773.657166,-7.541352,0.000000
1.000000,-1.190857,-773.657166,-0.046858,-0.294005,-7.467724,-5.297196,-0.269852,-74.677238,-773.657166,-7.456667,0.000000
1.100000,-1.240723,-773.657166,-0.046849,-0.290671,-7.383048,-5.519010,-0.281152,-73.830475,-773.657166,-7.371799,0.000000
1.200000,-1.222839,-773.657166,-0.046871,-0.287338,-7.298389,-5.439461,-0.277099,-72.983894,-773.657166,-7.287116,0.000000
1.300000,-1.202759,-773.701660,-0.046836,-0.284001,-7.213626,-5.350138,-0.272549,-72.136269,-773.701660,-7.202431,0.000000
1.400000,-1.245239,-773.657166,-0.046836,-0.280666,-7.128916,-5.539101,-0.282175,-71.289162,-773.657166,-7.117746,0.000000
1.500000,-1.198669,-773.657166,-0.046845,-0.277332,-7.044223,-5.331948,-0.271622,-70.442230,-773.657166,-7.033062,0.000000
1.600000,-1.232910,-773.701660,-0.046849,-0.273996,-6.959495,-5.484258,-0.279381,-69.594955,-773.701660,-6.948377,0.000000
1.700000,-1.223633,-773.701660,-0.046845,-0.270663,-6.874836,-5.442991,-0.277279,-68.748360,-773.701660,-6.863693,0.000000
1.800000,-1.210571,-773.657166,-0.046862,-0.267327,-6.790108,-5.384890,-0.274319,-67.901085,-773.657166,-6.779008,0.000000
1.900000,-1.243347,-773.657166,-0.046853,-0.263992,-6.705406,-5.530684,-0.281747,-67.054062,-773.657166,-6.694323,0.000000
2.000000,-1.209839,-773.701660,-0.046858,-0.260661,-6.620783,-5.381632,-0.274153,-66.207825,-773.701660,-6.609457,0.000000
2.100000,-1.215027,-773.657166,-0.046845,-0.257324,-6.536020,-5.404709,-0.275329,-65.360199,-773.657166,-6.524772,0.000000
2.200000,-1.223633,-773.701660,-0.046853,-0.253988,-6.451300,-5.442991,-0.277279,-64.513008,-773.701660,-6.440087,0.000000
2.300000,-1.197571,-773.701660,-0.046840,-0.250656,-6.366660,-5.327061,-0.271373,-63.666595,-773.701660,-6.355402,0.000000
2.400000,-1.230286,-773.612671,-0.046849,-0.247318,-6.281888,-5.472584,-0.278787,-62.818882,-773.612671,-6.270718,0.000000
2.500000,-1.230286,-773.701660,-0.046840,-0.243985,-6.197212,-5.472584,-0.278787,-61.972122,-773.701660,-6.186034,0.000000
2.600000,-1.207947,-773.701660,-0.046858,-0.240647,-6.112432,-5.373216,-0.273725,-61.124321,-773.701660,-6.101349,0.000000
2.700000,-1.233276,-773.701660,-0.046858,-0.237312,-6.027730,-5.485887,-0.279464,-60.277302,-773.701660,-6.016664,0.000000
2.800000,-1.196045,-773.657166,-0.046879,-0.233980,-5.943098,-5.320273,-0.271028,-59.430977,-773.657166,-5.931798,0.000000
2.900000,-1.231079,-773.701660,-0.046853,-0.230645,-5.858378,-5.476113,-0.278967,-58.583786,-773.701660,-5.847113,0.000000
3.000000,-1.228821,-773.746155,-0.046853,-0.227308,-5.773633,-5.466068,-0.278455,-57.736332,-773.746155,-5.762428,0.000000
3.100000,-1.190125,-773.746155,-0.046845,-0.223972,-5.688888,-5.293938,-0.269686,-56.888878,-773.746155,-5.677744,0.000000
3.200000,-1.237732,-773.746155,-0.046832,-0.220638,-5.604203,-5.505707,-0.280474,-56.042030,-773.746155,-5.593060,0.000000
3.300000,-1.198669,-773.746155,-0.046840,-0.217304,-5.519510,-5.331948,-0.271622,-55.195099,-773.746155,-5.508375,0.000000
3.400000,-1.208374,-773.657166,-0.046845,-0.213968,-5.434800,-5.375116,-0.273821,-54.347996,-773.657166,-5.423690,0.000000
3.500000,-1.236633,-773.746155,-0.046866,-0.210634,-5.350115,-5.500820,-0.280225,-53.501148,-773.746155,-5.339005,0.000000
3.600000,-1.183777,-773.746155,-0.046832,-0.207300,-5.265412,-5.265702,-0.268248,-52.654125,-773.746155,-5.254321,0.000000
3.700000,-1.235168,-773.701660,-0.046840,-0.203964,-5.180676,-5.494304,-0.279893,-51.806763,-773.701660,-5.169454,0.000000
3.800000,-1.232910,-773.701660,-0.046871,-0.200632,-5.096052,-5.484258,-0.279381,-50.960522,-773.701660,-5.084770,0.000000
3.900000,-1.215820,-773.746155,-0.046823,-0.197296,-5.011307,-5.408239,-0.275509,-50.113068,-773.746155,-5.000085,0.000000
4.000000,-1.233643,-773.701660,-0.046836,-0.193960,-4.926588,-5.487516,-0.279547,-49.265881,-773.701660,-4.915401,0.000000
4.100000,-1.204224,-773.790649,-0.046853,-0.190625,-4.841886,-5.356654,-0.272881,-48.418858,-773.790649,-4.830716,0.000000
4.200000,-1.226196,-773.746155,-0.046836,-0.187290,-4.757166,-5.454393,-0.277860,-47.571663,-773.746155,-4.746031,0.000000
4.300000,-1.207947,-773.746155,-0.046866,-0.183955,-4.672447,-5.373216,-0.273725,-46.724476,-773.746155,-4.661347,0.000000
4.400000,-1.200500,-773.746155,-0.046883,-0.180620,-4.587754,-5.340093,-0.272037,-45.877541,-773.746155,-4.576663,0.000000
4.500000,-1.237366,-773.746155,-0.046849,-0.177284,-4.503009,-5.504077,-0.280391,-45.030087,-773.746155,-4.491796,0.000000
4.600000,-1.208740,-773.746155,-0.046853,-0.173951,-4.418359,-5.376745,-0.273904,-44.183590,-773.746155,-4.407111,0.000000
4.700000,-1.213196,-773.790649,-0.046866,-0.170617,-4.333666,-5.396564,-0.274914,-43.336658,-773.790649,-4.322426,0.000000
4.800000,-1.232544,-773.746155,-0.046853,-0.167281,-4.248946,-5.482629,-0.279298,-42.489460,-773.746155,-4.237741,0.000000
4.900000,-1.191589,-773.835083,-0.046832,-0.163947,-4.164244,-5.300454,-0.270018,-41.642445,-773.835083,-4.153057,0.000000
5.000000,-1.224365,-773.790649,-0.046849,-0.160609,-4.079464,-5.446249,-0.277445,-40.794643,-773.790649,-4.068373,0.000000
5.100000,-1.212830,-773.746155,-0.046862,-0.157276,-3.994806,-5.394936,-0.274831,-39.948059,-773.746155,-3.983688,0.000000
5.200000,-1.202759,-773.790649,-0.046849,-0.153939,-3.910052,-5.350138,-0.272549,-39.100521,-773.790649,-3.899004,0.000000
5.300000,-1.221741,-773.790649,-0.046853,-0.150604,-3.825350,-5.434574,-0.276850,-38.253498,-773.790649,-3.814319,0.000000
5.400000,-1.191223,-773.746155,-0.046858,-0.147272,-3.740709,-5.298825,-0.269935,-37.407085,-773.746155,-3.729452,0.000000
5.500000,-1.218018,-773.746155,-0.046849,-0.143935,-3.655946,-5.418013,-0.276007,-36.559464,-773.746155,-3.644768,0.000000
5.600000,-1.214661,-773.746155,-0.046866,-0.140602,-3.571279,-5.403080,-0.275246,-35.712788,-773.746155,-3.560083,0.000000
5.700000,-1.200134,-773.746155,-0.046858,-0.137266,-3.486551,-5.338464,-0.271954,-34.865509,-773.746155,-3.475398,0.000000
5.800000,-1.226196,-773.790649,-0.046853,-0.133931,-3.401857,-5.454393,-0.277860,-34.018574,-773.790649,-3.390714,0.000000
5.900000,-1.212463,-773.746155,-0.046875,-0.130596,-3.317138,-5.393306,-0.274748,-33.171383,-773.746155,-3.306029,0.000000
6.000000,-1.203125,-773.790649,-0.046845,-0.127261,-3.232428,-5.351767,-0.272632,-32.324280,-773.790649,-3.221344,0.000000
