Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.872498,-1290.303467,-0.053575,-0.314960,-7.999975,-3.881063,-0.197711,-79.999748,-1290.303467,-8.000018,0.000000
0.300000,-0.861694,-1290.303467,-0.053687,-0.314960,-7.999975,-3.833008,-0.195263,-79.999748,-1290.303467,-8.000018,0.000000
0.400000,-0.952515,-1290.258911,-0.053859,-0.314540,-7.989316,-4.236997,-0.215843,-79.893166,-1290.258911,-7.973793,0.000000
0.500000,-0.908997,-1290.258911,-0.053700,-0.311068,-7.901129,-4.043419,-0.205982,-79.011284,-1290.258911,-7.889109,0.000000
0.600000,-0.931702,-1290.303467,-0.053678,-0.307713,-7.815907,-4.144416,-0.211127,-78.159065,-1290.303467,-7.804242,0.000000
0.700000,-0.935425,-1290.214478,-0.053627,-0.304379,-7.731230,-4.160977,-0.211970,-77.312302,-1290.214478,-7.719557,0.000000
0.800000,-0.881775,-1290.258911,-0.053657,-0.301041,-7.646441,-3.922331,-0.199813,-76.464417,-1290.258911,-7.634872,0.000000
0.900000,-0.913452,-1290.303467,-0.053670,-0.297705,-7.561696,-4.063238,-0.206991,-75.616966,-1290.303467,-7.550188,0.000000
1.000000,-0.880310,-1290.347900,-0.053661,-0.294373,-7.477064,-3.915815,-0.199481,-74.770638,-1290.347900,-7.465504,0.000000
1.100000,-0.901550,-1290.347900,-0.053622,-0.291034,-7.392258,-4.010296,-0.204294,-73.922577,-1290.347900,-7.380819,0.000000
1.200000,-0.887390,-1290.347900,-0.053674,-0.287703,-7.307651,-3.947309,-0.201085,-73.076508,-1290.347900,-7.296134,0.000000
1.300000,-0.850891,-1290.303467,-0.053609,-0.284365,-7.222871,-3.784953,-0.192815,-72.228706,-1290.303467,-7.211450,0.000000
1.400000,-0.878418,-1290.303467,-0.053678,-0.281028,-7.138108,-3.907398,-0.199052,-71.381081,-1290.303467,-7.126765,0.000000
1.500000,-0.858704,-1290.303467,-0.053678,-0.277698,-7.053520,-3.819705,-0.194585,-70.535194,-1290.303467,-7.041898,0.000000
1.600000,-0.857239,-1290.303467,-0.053596,-0.274358,-6.968687,-3.813189,-0.194253,-69.686874,-1290.303467,-6.957213,0.000000
1.700000,-0.871704,-1290.258911,-0.053670,-0.271025,-6.884029,-3.877533,-0.197531,-68.840294,-1290.258911,-6.872529,0.000000
1.800000,-0.843445,-1290.303467,-0.053622,-0.267690,-6.799318,-3.751830,-0.191127,-67.993187,-1290.303467,-6.787845,0.000000
1.900000,-0.860535,-1290.303467,-0.053691,-0.264351,-6.714512,-3.827849,-0.195000,-67.145119,-1290.303467,-6.703160,0.000000
2.000000,-0.853882,-1290.347900,-0.053722,-0.261021,-6.629940,-3.798256,-0.193492,-66.299400,-1290.347900,-6.618475,0.000000
2.100000,-0.826294,-1290.303467,-0.053665,-0.257682,-6.545134,-3.675539,-0.187241,-65.451340,-1290.303467,-6.533791,0.000000
2.200000,-0.856812,-1290.258911,-0.053596,-0.254349,-6.460476,-3.811288,-0.194156,-64.604759,-1290.258911,-6.449107,0.000000
2.300000,-0.817017,-1290.303467,-0.053627,-0.251015,-6.375773,-3.634271,-0.185139,-63.757736,-1290.303467,-6.364422,0.000000
2.400000,-0.844177,-1290.347900,-0.053691,-0.247675,-6.290950,-3.755088,-0.191293,-62.909504,-1290.347900,-6.279555,0.000000
2.500000,-0.843811,-1290.303467,-0.053635,-0.244345,-6.206353,-3.753459,-0.191210,-62.063526,-1290.303467,-6.194870,0.000000
2.600000,-0.799500,-1290.347900,-0.053627,-0.241007,-6.121581,-3.556351,-0.181169,-61.215813,-1290.347900,-6.110186,0.000000
2.700000,-0.846802,-1290.347900,-0.053709,-0.237671,-6.036853,-3.766762,-0.191888,-60.368534,-1290.347900,-6.025501,0.000000
2.800000,-0.803955,-1290.303467,-0.053657,-0.234340,-5.952247,-3.576171,-0.182179,-59.522469,-1290.303467,-5.940816,0.000000
2.900000,-0.811401,-1290.303467,-0.053622,-0.231001,-5.867414,-3.609293,-0.183866,-58.674145,-1290.303467,-5.856132,0.000000
3.000000,-0.830017,-1290.303467,-0.053696,-0.227670,-5.782817,-3.692101,-0.188085,-57.828167,-1290.303467,-5.771448,0.000000
3.100000,-0.803589,-1290.347900,-0.053678,-0.224333,-5.698054,-3.574542,-0.182096,-56.980541,-1290.347900,-5.686763,0.000000
3.200000,-0.832642,-1290.347900,-0.053631,-0.220996,-5.613291,-3.703775,-0.188679,-56.132915,-1290.347900,-5.601896,0.000000
3.300000,-0.812500,-1290.258911,-0.053700,-0.217665,-5.528685,-3.614181,-0.184115,-55.286850,-1290.258911,-5.517212,0.000000
3.400000,-0.810303,-1290.303467,-0.053713,-0.214326,-5.443888,-3.604407,-0.183617,-54.438877,-1290.303467,-5.432527,0.000000
3.500000,-0.825195,-1290.347900,-0.053609,-0.210994,-5.359246,-3.670652,-0.186992,-53.592461,-1290.347900,-5.347842,0.000000
3.600000,-0.786804,-1290.258911,-0.053640,-0.207663,-5.274640,-3.499880,-0.178292,-52.746403,-1290.258911,-5.263158,0.000000
3.700000,-0.816223,-1290.303467,-0.053609,-0.204322,-5.189790,-3.630742,-0.184959,-51.897903,-1290.303467,-5.178473,0.000000
3.800000,-0.818848,-1290.347900,-0.053661,-0.200991,-5.105175,-3.642416,-0.185554,-51.051754,-1290.347900,-5.093789,0.000000
3.900000,-0.773804,-1290.303467,-0.053635,-0.197655,-5.020439,-3.442051,-0.175346,-50.204388,-1290.303467,-5.009104,0.000000
4.000000,-0.831909,-1290.303467,-0.053678,-0.194318,-4.935676,-3.700517,-0.188513,-49.356758,-1290.303467,-4.924419,0.000000
4.100000,-0.789062,-1290.303467,-0.053648,-0.190987,-4.851069,-3.509925,-0.178804,-48.510696,-1290.303467,-4.839553,0.000000
4.200000,-0.795410,-1290.303467,-0.053648,-0.187648,-4.766255,-3.538161,-0.180243,-47.662552,-1290.303467,-4.754868,0.000000
4.300000,-0.812134,-1290.347900,-0.053691,-0.184316,-4.681614,-3.612551,-0.184032,-46.816139,-1290.347900,-4.670184,0.000000
4.400000,-0.787231,-1290.347900,-0.053653,-0.180980,-4.596894,-3.501780,-0.178389,-45.968941,-1290.347900,-4.585499,0.000000
4.500000,-0.806213,-1290.303467,-0.053644,-0.177643,-4.512132,-3.586216,-0.182691,-45.121319,-1290.303467,-4.500814,0.000000
4.600000,-0.801331,-1290.258911,-0.053648,-0.174312,-4.427534,-3.564496,-0.181584,-44.275337,-1290.258911,-4.416130,0.000000
4.700000,-0.770813,-1290.303467,-0.053704,-0.170975,-4.342762,-3.428747,-0.174669,-43.427628,-1290.303467,-4.331445,0.000000
4.800000,-0.823669,-1290.303467,-0.053713,-0.167642,-4.258104,-3.663865,-0.186646,-42.581039,-1290.303467,-4.246761,0.000000
4.900000,-0.777161,-1290.436890,-0.053700,-0.164310,-4.173463,-3.456983,-0.176107,-41.734631,-1290.436890,-4.161894,0.000000
5.000000,-0.791321,-1290.347900,-0.053635,-0.160969,-4.088622,-3.519971,-0.179316,-40.886223,-1290.347900,-4.077209,0.000000
