Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.741394,-1286.967407,-0.053631,-0.314957,-7.999905,-3.297885,-0.168002,-79.999054,-1286.967407,-8.000027,0.000000
0.300000,-0.753296,-1287.056274,-0.053588,-0.314957,-7.999905,-3.350827,-0.170699,-79.999054,-1287.056274,-8.000027,0.000000
0.400000,-0.745483,-1286.967407,-0.053683,-0.314957,-7.999905,-3.316076,-0.168929,-79.999054,-1286.967407,-8.000027,0.000000
0.500000,-0.764099,-1287.011841,-0.053609,-0.312862,-7.946692,-3.398883,-0.173147,-79.466927,-1287.011841,-7.936650,0.000000
0.600000,-0.774536,-1286.967407,-0.053653,-0.309579,-7.863308,-3.445309,-0.175512,-78.633087,-1286.967407,-7.851965,0.000000
0.700000,-0.809570,-1286.967407,-0.053678,-0.306245,-7.778615,-3.601149,-0.183451,-77.786156,-1286.967407,-7.767098,0.000000
0.800000,-0.784973,-1287.011841,-0.053696,-0.302914,-7.694017,-3.491735,-0.177877,-76.940178,-1287.011841,-7.682414,0.000000
0.900000,-0.780884,-1286.967407,-0.053700,-0.299574,-7.609177,-3.473545,-0.176951,-76.091774,-1286.967407,-7.597729,0.000000
1.000000,-0.782349,-1287.011841,-0.053635,-0.296241,-7.524518,-3.480061,-0.177283,-75.245178,-1287.011841,-7.513045,0.000000
1.100000,-0.745850,-1287.011841,-0.053657,-0.292909,-7.439885,-3.317705,-0.169012,-74.398857,-1287.011841,-7.428360,0.000000
1.200000,-0.757385,-1287.011841,-0.053653,-0.289569,-7.355054,-3.369018,-0.171626,-73.550537,-1287.011841,-7.343676,0.000000
1.300000,-0.773804,-1287.056274,-0.053653,-0.286238,-7.270439,-3.442051,-0.175346,-72.704391,-1287.056274,-7.258991,0.000000
1.400000,-0.730225,-1286.967407,-0.053678,-0.282900,-7.185667,-3.248201,-0.165471,-71.856667,-1286.967407,-7.174306,0.000000
1.500000,-0.763367,-1287.011841,-0.053631,-0.279564,-7.100931,-3.395625,-0.172981,-71.009308,-1287.011841,-7.089440,0.000000
1.600000,-0.714600,-1287.011841,-0.053734,-0.276233,-7.016324,-3.178698,-0.161931,-70.163239,-1287.011841,-7.004755,0.000000
1.700000,-0.732483,-1286.967407,-0.053665,-0.272894,-6.931500,-3.258247,-0.165983,-69.315010,-1286.967407,-6.920070,0.000000
1.800000,-0.744019,-1287.011841,-0.053661,-0.269563,-6.846894,-3.309560,-0.168597,-68.468941,-1287.011841,-6.835386,0.000000
1.900000,-0.703064,-1286.967407,-0.053704,-0.266226,-6.762148,-3.127385,-0.159317,-67.621483,-1286.967407,-6.750701,0.000000
2.000000,-0.741028,-1286.967407,-0.053700,-0.262888,-6.677351,-3.296257,-0.167919,-66.773521,-1286.967407,-6.666017,0.000000
2.100000,-0.713501,-1286.967407,-0.053696,-0.259559,-6.592788,-3.173811,-0.161682,-65.927879,-1286.967407,-6.581332,0.000000
2.200000,-0.716064,-1286.967407,-0.053648,-0.256218,-6.507947,-3.185214,-0.162263,-65.079475,-1286.967407,-6.496648,0.000000
2.300000,-0.738770,-1286.967407,-0.053691,-0.252886,-6.423306,-3.286211,-0.167408,-64.233063,-1286.967407,-6.411963,0.000000
2.400000,-0.689270,-1287.011841,-0.053722,-0.249552,-6.338622,-3.066026,-0.156191,-63.386219,-1287.011841,-6.327096,0.000000
2.500000,-0.704895,-1287.011841,-0.053739,-0.246212,-6.253781,-3.135530,-0.159731,-62.537811,-1287.011841,-6.242412,0.000000
2.600000,-0.716797,-1287.011841,-0.053665,-0.242883,-6.169227,-3.188472,-0.162428,-61.692265,-1287.011841,-6.157727,0.000000
2.700000,-0.683655,-1286.967407,-0.053653,-0.239545,-6.084446,-3.041048,-0.154918,-60.844463,-1286.967407,-6.073042,0.000000
2.800000,-0.729126,-1287.011841,-0.053713,-0.236209,-5.999710,-3.243314,-0.165222,-59.997101,-1287.011841,-5.988358,0.000000
2.900000,-0.691162,-1286.922852,-0.053601,-0.232878,-5.915103,-3.074443,-0.156620,-59.151035,-1286.922852,-5.903673,0.000000
3.000000,-0.693359,-1287.011841,-0.053648,-0.229537,-5.830245,-3.084217,-0.157117,-58.302452,-1287.011841,-5.818989,0.000000
3.100000,-0.706787,-1287.011841,-0.053704,-0.226207,-5.745656,-3.143946,-0.160160,-57.456558,-1287.011841,-5.734304,0.000000
3.200000,-0.671387,-1286.967407,-0.053622,-0.222871,-5.660928,-2.986477,-0.152138,-56.609280,-1286.967407,-5.649620,0.000000
3.300000,-0.707153,-1287.011841,-0.053657,-0.219533,-5.576139,-3.145575,-0.160243,-55.761398,-1287.011841,-5.564753,0.000000
3.400000,-0.685181,-1287.011841,-0.053687,-0.216203,-5.491568,-3.047836,-0.155264,-54.915676,-1287.011841,-5.480068,0.000000
3.500000,-0.691528,-1287.011841,-0.053709,-0.212864,-5.406744,-3.076072,-0.156703,-54.067444,-1287.011841,-5.395383,0.000000
3.600000,-0.700806,-1287.011841,-0.053674,-0.209532,-5.322112,-3.117339,-0.158805,-53.221119,-1287.011841,-5.310699,0.000000
3.700000,-0.668396,-1286.967407,-0.053691,-0.206197,-5.237410,-2.973174,-0.151461,-52.374096,-1286.967407,-5.226015,0.000000
3.800000,-0.698608,-1286.967407,-0.053704,-0.202859,-5.152613,-3.107565,-0.158307,-51.526127,-1286.967407,-5.141330,0.000000
3.900000,-0.695984,-1286.967407,-0.053622,-0.199529,-5.068032,-3.095891,-0.157712,-50.680317,-1286.967407,-5.056645,0.000000
4.000000,-0.672913,-1286.967407,-0.053713,-0.196190,-4.983226,-2.993265,-0.152484,-49.832260,-1286.967407,-4.971961,0.000000
4.100000,-0.703064,-1287.056274,-0.053661,-0.192855,-4.898524,-3.127385,-0.159317,-48.985241,-1287.056274,-4.887094,0.000000
4.200000,-0.655396,-1286.967407,-0.053691,-0.189523,-4.813891,-2.915345,-0.148515,-48.138916,-1286.967407,-4.802409,0.000000
