Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.886612,-1272.733398,-0.020402,-0.314961,-8.000018,-3.943847,-0.200909,-80.000183,-1272.733398,-8.000044,0.000000
0.300000,-0.874329,-1272.688965,-0.020419,-0.314961,-8.000018,-3.889208,-0.198126,-80.000183,-1272.688965,-8.000044,0.000000
0.400000,-0.904861,-1272.733398,-0.020376,-0.313319,-7.958305,-4.025025,-0.205045,-79.583046,-1272.733398,-7.947777,0.000000
0.500000,-0.857193,-1272.733398,-0.020467,-0.309998,-7.873958,-3.812985,-0.194243,-78.739586,-1272.733398,-7.863092,0.000000
0.600000,-0.834854,-1272.644531,-0.020428,-0.306669,-7.789386,-3.713617,-0.189181,-77.893867,-1272.644531,-7.778407,0.000000
0.700000,-0.764481,-1272.777954,-0.020458,-0.303330,-7.704589,-3.400579,-0.173234,-77.045891,-1272.777954,-7.693722,0.000000
0.800000,-0.796127,-1272.688965,-0.020406,-0.299995,-7.619869,-3.541351,-0.180405,-76.198692,-1272.688965,-7.609037,0.000000
0.900000,-0.757019,-1272.688965,-0.020406,-0.296663,-7.535228,-3.367389,-0.171543,-75.352287,-1272.688965,-7.524354,0.000000
1.000000,-0.747711,-1272.688965,-0.020450,-0.293327,-7.450509,-3.325985,-0.169434,-74.505089,-1272.688965,-7.439487,0.000000
1.100000,-0.757767,-1272.777954,-0.020450,-0.289994,-7.365859,-3.370715,-0.171712,-73.658592,-1272.777954,-7.354802,0.000000
1.200000,-0.707504,-1272.733398,-0.020398,-0.286657,-7.281096,-3.147136,-0.160323,-72.810966,-1272.733398,-7.270118,0.000000
1.300000,-0.712341,-1272.688965,-0.020406,-0.283322,-7.196386,-3.168652,-0.161419,-71.963860,-1272.688965,-7.185433,0.000000
1.400000,-0.693344,-1272.733398,-0.020454,-0.279989,-7.111718,-3.084149,-0.157114,-71.117187,-1272.733398,-7.100748,0.000000
1.500000,-0.665802,-1272.822388,-0.020432,-0.276652,-7.026965,-2.961635,-0.150873,-70.269646,-1272.822388,-7.016063,0.000000
1.600000,-0.694092,-1272.688965,-0.020415,-0.273317,-6.942254,-3.087475,-0.157283,-69.422546,-1272.688965,-6.931379,0.000000
1.700000,-0.662079,-1272.777954,-0.020432,-0.269983,-6.857561,-2.945074,-0.150029,-68.575615,-1272.777954,-6.846694,0.000000
1.800000,-0.648666,-1272.688965,-0.020389,-0.266646,-6.772807,-2.885412,-0.146990,-67.728065,-1272.688965,-6.761827,0.000000
1.900000,-0.654999,-1272.733398,-0.020411,-0.263312,-6.688131,-2.913580,-0.148425,-66.881310,-1272.733398,-6.677144,0.000000
2.000000,-0.612549,-1272.777954,-0.020454,-0.259977,-6.603412,-2.724753,-0.138806,-66.034119,-1272.777954,-6.592459,0.000000
2.100000,-0.649780,-1272.733398,-0.020432,-0.256642,-6.518701,-2.890367,-0.147242,-65.187012,-1272.733398,-6.507774,0.000000
2.200000,-0.629669,-1272.777954,-0.020450,-0.253308,-6.434034,-2.800908,-0.142685,-64.340340,-1272.777954,-6.423089,0.000000
2.300000,-0.604355,-1272.733398,-0.020415,-0.249971,-6.349263,-2.688305,-0.136949,-63.492626,-1272.733398,-6.338405,0.000000
