Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.100000,-0.534714,-1279.494507,-0.002225,-0.314964,-8.000088,-2.378525,-0.121168,-80.000877,-1279.494507,-8.000122,0.000000
0.200000,-0.539566,-1279.494507,-0.002220,-0.314964,-8.000088,-2.400110,-0.122267,-80.000877,-1279.494507,-8.000122,0.000000
0.300000,-0.529877,-1279.494507,-0.002160,-0.314964,-8.000088,-2.357009,-0.120072,-80.000877,-1279.494507,-8.000122,0.000000
0.400000,-0.506042,-1279.494507,-0.002169,-0.312861,-7.946667,-2.250989,-0.114671,-79.466667,-1279.494507,-7.936928,0.000000
0.500000,-0.481476,-1279.494507,-0.002190,-0.309567,-7.863006,-2.141711,-0.109104,-78.630058,-1279.494507,-7.852243,0.000000
0.600000,-0.471039,-1279.494507,-0.002264,-0.306235,-7.778381,-2.095285,-0.106739,-77.783813,-1279.494507,-7.767376,0.000000
0.700000,-0.416672,-1279.494507,-0.002216,-0.302902,-7.693723,-1.853449,-0.094419,-76.937233,-1279.494507,-7.682692,0.000000
0.800000,-0.393585,-1279.450073,-0.002255,-0.299566,-7.608978,-1.750754,-0.089188,-76.089783,-1279.450073,-7.598007,0.000000
0.900000,-0.392105,-1279.539062,-0.002190,-0.296233,-7.524311,-1.744171,-0.088852,-75.243103,-1279.539062,-7.513322,0.000000
1.000000,-0.349655,-1279.539062,-0.002229,-0.292897,-7.439573,-1.555344,-0.079233,-74.395737,-1279.539062,-7.428638,0.000000
1.100000,-0.372742,-1279.494507,-0.002255,-0.289562,-7.354863,-1.658038,-0.084464,-73.548630,-1279.494507,-7.343954,0.000000
1.200000,-0.328430,-1279.494507,-0.002195,-0.286229,-7.270222,-1.460930,-0.074423,-72.702225,-1279.494507,-7.259269,0.000000
1.300000,-0.326935,-1279.405640,-0.002242,-0.282892,-7.185460,-1.454279,-0.074084,-71.854599,-1279.405640,-7.174584,0.000000
1.400000,-0.326935,-1279.494507,-0.002233,-0.279559,-7.100792,-1.454279,-0.074084,-71.007919,-1279.494507,-7.089900,0.000000
1.500000,-0.292679,-1279.494507,-0.002208,-0.276223,-7.016064,-1.301901,-0.066322,-70.160645,-1279.494507,-7.005033,0.000000
1.600000,-0.293427,-1279.494507,-0.002190,-0.272887,-6.931319,-1.305226,-0.066491,-69.313187,-1279.494507,-6.920348,0.000000
1.700000,-0.289703,-1279.494507,-0.002238,-0.269553,-6.846652,-1.288665,-0.065648,-68.466515,-1279.494507,-6.835664,0.000000
1.800000,-0.286346,-1279.494507,-0.002173,-0.266217,-6.761924,-1.273733,-0.064887,-67.619240,-1279.494507,-6.750979,0.000000
1.900000,-0.296768,-1279.494507,-0.002186,-0.262882,-6.677213,-1.320091,-0.067249,-66.772133,-1279.494507,-6.666295,0.000000
2.000000,-0.260284,-1279.494507,-0.002212,-0.259548,-6.592528,-1.157803,-0.058981,-65.925285,-1279.494507,-6.581610,0.000000
