Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.770065,-927.783691,-0.009347,-0.314960,-7.999975,-3.425421,-0.174499,-79.999748,-927.783691,-8.000052,0.000000
0.300000,-0.772675,-927.739197,-0.009339,-0.314960,-7.999975,-3.437028,-0.175091,-79.999748,-927.739197,-8.000052,0.000000
0.400000,-0.768951,-927.783691,-0.009343,-0.314959,-7.999966,-3.420467,-0.174247,-79.999657,-927.783691,-7.997503,0.000000
0.500000,-0.735443,-927.828186,-0.009343,-0.311940,-7.923278,-3.271414,-0.166654,-79.232780,-927.828186,-7.912818,0.000000
0.600000,-0.729477,-927.783691,-0.009360,-0.308642,-7.839512,-3.244875,-0.165302,-78.395119,-927.783691,-7.828134,0.000000
0.700000,-0.703781,-927.694702,-0.009386,-0.305314,-7.754967,-3.130575,-0.159479,-77.549667,-927.694702,-7.743450,0.000000
0.800000,-0.637878,-927.739197,-0.009373,-0.301979,-7.670264,-2.837425,-0.144545,-76.702644,-927.739197,-7.658765,0.000000
0.900000,-0.654999,-927.694702,-0.009365,-0.298643,-7.585527,-2.913580,-0.148425,-75.855278,-927.694702,-7.574080,0.000000
1.000000,-0.615540,-927.739197,-0.009378,-0.295307,-7.500809,-2.738057,-0.139483,-75.008087,-927.739197,-7.489396,0.000000
1.100000,-0.584625,-927.739197,-0.009334,-0.291972,-7.416098,-2.600543,-0.132478,-74.160980,-927.739197,-7.404529,0.000000
1.200000,-0.608078,-927.739197,-0.009390,-0.288638,-7.331396,-2.704866,-0.137792,-73.313957,-927.739197,-7.319844,0.000000
1.300000,-0.520950,-927.739197,-0.009382,-0.285303,-7.246694,-2.317303,-0.118049,-72.466942,-927.739197,-7.235160,0.000000
1.400000,-0.548126,-927.739197,-0.009365,-0.281969,-7.162001,-2.438187,-0.124207,-71.620010,-927.739197,-7.150475,0.000000
1.500000,-0.529144,-927.828186,-0.009382,-0.278634,-7.077308,-2.353751,-0.119906,-70.773079,-927.828186,-7.065791,0.000000
