Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.100000,-0.948074,-1134.531128,-0.015978,-0.314955,-7.999862,-4.217245,-0.214837,-79.998619,-1134.531128,-8.000010,0.000000
0.200000,-0.942108,-1134.486694,-0.015970,-0.314955,-7.999862,-4.190706,-0.213485,-79.998619,-1134.486694,-8.000010,0.000000
0.300000,-0.943604,-1134.531128,-0.015948,-0.314955,-7.999862,-4.197358,-0.213824,-79.998619,-1134.531128,-8.000010,0.000000
0.400000,-0.958862,-1134.486694,-0.016065,-0.314051,-7.976889,-4.265233,-0.217281,-79.768898,-1134.486694,-7.962857,0.000000
0.500000,-0.922379,-1134.486694,-0.016043,-0.310626,-7.889906,-4.102945,-0.209014,-78.899063,-1134.486694,-7.878172,0.000000
0.600000,-0.885132,-1134.531128,-0.015978,-0.307278,-7.804867,-3.937263,-0.200574,-78.048668,-1134.531128,-7.793489,0.000000
0.700000,-0.802841,-1134.531128,-0.016026,-0.303940,-7.720087,-3.571216,-0.181926,-77.200867,-1134.531128,-7.708804,0.000000
0.800000,-0.851257,-1134.531128,-0.016013,-0.300605,-7.635376,-3.786582,-0.192898,-76.353760,-1134.531128,-7.624119,0.000000
0.900000,-0.793167,-1134.531128,-0.015987,-0.297269,-7.550639,-3.528183,-0.179734,-75.506393,-1134.531128,-7.539434,0.000000
1.000000,-0.779755,-1134.486694,-0.016009,-0.293935,-7.465954,-3.468522,-0.176695,-74.659546,-1134.486694,-7.454750,0.000000
1.100000,-0.789810,-1134.442139,-0.016017,-0.290601,-7.381261,-3.513251,-0.178974,-73.812614,-1134.442139,-7.370065,0.000000
1.200000,-0.725021,-1134.531128,-0.016026,-0.287264,-7.296516,-3.225056,-0.164292,-72.965157,-1134.531128,-7.285198,0.000000
1.300000,-0.739166,-1134.486694,-0.015983,-0.283929,-7.211805,-3.287976,-0.167497,-72.118057,-1134.486694,-7.200514,0.000000
1.400000,-0.732086,-1134.486694,-0.016004,-0.280594,-7.127095,-3.256482,-0.165893,-71.270950,-1134.486694,-7.115829,0.000000
1.500000,-0.689636,-1134.531128,-0.016004,-0.277260,-7.042393,-3.067655,-0.156274,-70.423927,-1134.531128,-7.031145,0.000000
1.600000,-0.714218,-1134.486694,-0.015996,-0.273924,-6.957665,-3.177001,-0.161844,-69.576653,-1134.486694,-6.946460,0.000000
1.700000,-0.669525,-1134.442139,-0.016009,-0.270590,-6.872980,-2.978197,-0.151717,-68.729805,-1134.442139,-6.861775,0.000000
1.800000,-0.682938,-1134.531128,-0.016013,-0.267254,-6.788244,-3.037858,-0.154756,-67.882439,-1134.531128,-6.777091,0.000000
1.900000,-0.694107,-1134.486694,-0.016039,-0.263919,-6.703550,-3.087542,-0.157287,-67.035500,-1134.486694,-6.692407,0.000000
