Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.787933,-1286.744995,-0.015120,-0.314961,-8.000010,-3.504903,-0.178548,-80.000099,-1286.744995,-8.000131,0.000000
0.300000,-0.771927,-1286.833862,-0.015146,-0.314961,-8.000010,-3.433702,-0.174921,-80.000099,-1286.833862,-8.000131,0.000000
0.400000,-0.770798,-1286.789429,-0.015315,-0.314895,-7.998336,-3.428679,-0.174665,-79.983360,-1286.789429,-7.987019,0.000000
0.500000,-0.762619,-1286.833862,-0.015168,-0.311568,-7.913825,-3.392299,-0.172812,-79.138245,-1286.833862,-7.902334,0.000000
0.600000,-0.749573,-1286.833862,-0.015172,-0.308231,-7.829071,-3.334266,-0.169856,-78.290710,-1286.833862,-7.817649,0.000000
0.700000,-0.659836,-1286.878418,-0.015172,-0.304892,-7.744264,-2.935096,-0.149521,-77.442642,-1286.878418,-7.732965,0.000000
0.800000,-0.668396,-1286.833862,-0.015164,-0.301558,-7.659563,-2.973174,-0.151461,-76.595634,-1286.833862,-7.648098,0.000000
0.900000,-0.647552,-1286.833862,-0.015185,-0.298223,-7.574852,-2.880457,-0.146737,-75.748528,-1286.833862,-7.563413,0.000000
1.000000,-0.664673,-1286.878418,-0.015189,-0.294884,-7.490063,-2.956613,-0.150617,-74.900635,-1286.878418,-7.478729,0.000000
1.100000,-0.681442,-1286.833862,-0.015181,-0.291551,-7.405405,-3.031207,-0.154417,-74.054054,-1286.833862,-7.394044,0.000000
1.200000,-0.628937,-1286.833862,-0.015164,-0.288215,-7.320660,-2.797651,-0.142519,-73.206596,-1286.833862,-7.309360,0.000000
1.300000,-0.630051,-1286.878418,-0.015168,-0.284878,-7.235906,-2.802605,-0.142772,-72.359062,-1286.878418,-7.224675,0.000000
1.400000,-0.634521,-1286.833862,-0.015181,-0.281545,-7.151247,-2.822493,-0.143785,-71.512474,-1286.833862,-7.139991,0.000000
1.500000,-0.589828,-1286.833862,-0.015177,-0.278207,-7.066467,-2.623688,-0.133657,-70.664673,-1286.833862,-7.055306,0.000000
1.600000,-0.619614,-1286.833862,-0.015164,-0.274875,-6.981826,-2.756179,-0.140406,-69.818260,-1286.833862,-6.970439,0.000000
1.700000,-0.585358,-1286.833862,-0.015155,-0.271541,-6.897132,-2.603801,-0.132644,-68.971321,-1286.833862,-6.885755,0.000000
1.800000,-0.567856,-1286.833862,-0.015181,-0.268202,-6.812326,-2.525949,-0.128678,-68.123268,-1286.833862,-6.801070,0.000000
1.900000,-0.596161,-1286.922852,-0.015164,-0.264871,-6.727729,-2.651856,-0.135092,-67.277290,-1286.922852,-6.716385,0.000000
2.000000,-0.549988,-1286.789429,-0.015185,-0.261533,-6.642949,-2.446468,-0.124629,-66.429489,-1286.789429,-6.631701,0.000000
2.100000,-0.570847,-1286.922852,-0.015189,-0.258198,-6.558238,-2.539252,-0.129356,-65.582382,-1286.922852,-6.547016,0.000000
2.200000,-0.559662,-1286.789429,-0.015164,-0.254866,-6.473606,-2.489500,-0.126821,-64.736053,-1286.789429,-6.462332,0.000000
2.300000,-0.529877,-1286.922852,-0.015159,-0.251529,-6.388843,-2.357009,-0.120072,-63.888428,-1286.922852,-6.377647,0.000000
2.400000,-0.552216,-1286.833862,-0.015181,-0.248197,-6.304193,-2.456378,-0.125134,-63.041931,-1286.833862,-6.292962,0.000000
2.500000,-0.516098,-1286.833862,-0.015168,-0.244862,-6.219482,-2.295719,-0.116949,-62.194824,-1286.833862,-6.208096,0.000000
2.600000,-0.532120,-1286.833862,-0.015164,-0.241525,-6.134737,-2.366987,-0.120580,-61.347370,-1286.833862,-6.123411,0.000000
2.700000,-0.537323,-1286.922852,-0.015181,-0.238193,-6.050096,-2.390132,-0.121759,-60.500957,-1286.922852,-6.038726,0.000000
2.800000,-0.483704,-1286.833862,-0.015177,-0.234857,-5.965359,-2.151621,-0.109609,-59.653595,-1286.833862,-5.954042,0.000000
2.900000,-0.519073,-1286.878418,-0.015164,-0.231523,-5.880674,-2.308954,-0.117624,-58.806747,-1286.878418,-5.869358,0.000000
3.000000,-0.512375,-1286.833862,-0.015159,-0.228187,-5.795956,-2.279157,-0.116106,-57.959557,-1286.833862,-5.784673,0.000000
3.100000,-0.497482,-1286.789429,-0.015151,-0.224851,-5.711210,-2.212912,-0.112731,-57.112103,-1286.789429,-5.699988,0.000000
3.200000,-0.516846,-1286.833862,-0.015181,-0.221518,-5.626569,-2.299045,-0.117119,-56.265690,-1286.833862,-5.615304,0.000000
3.300000,-0.478867,-1286.878418,-0.015159,-0.218181,-5.541806,-2.130105,-0.108513,-55.418060,-1286.878418,-5.530437,0.000000
3.400000,-0.495621,-1286.744995,-0.015194,-0.214848,-5.457139,-2.204631,-0.112309,-54.571392,-1286.744995,-5.445752,0.000000
3.500000,-0.510147,-1286.878418,-0.015189,-0.211513,-5.372420,-2.269248,-0.115601,-53.724201,-1286.878418,-5.361068,0.000000
3.600000,-0.484818,-1286.878418,-0.015181,-0.208175,-5.287657,-2.156576,-0.109861,-52.876572,-1286.878418,-5.276383,0.000000
3.700000,-0.538071,-1286.833862,-0.015177,-0.204845,-5.203051,-2.393458,-0.121929,-52.030510,-1286.833862,-5.191699,0.000000
3.800000,-0.490402,-1286.833862,-0.015181,-0.201507,-5.118270,-2.181418,-0.111127,-51.182705,-1286.833862,-5.107014,0.000000
3.900000,-0.498978,-1286.922852,-0.015185,-0.198172,-5.033560,-2.219563,-0.113070,-50.335602,-1286.922852,-5.022329,0.000000
4.000000,-0.519455,-1286.833862,-0.015155,-0.194838,-4.948884,-2.310651,-0.117710,-49.488842,-1286.833862,-4.937645,0.000000
4.100000,-0.471039,-1286.789429,-0.015172,-0.191501,-4.864121,-2.095285,-0.106739,-48.641212,-1286.789429,-4.852960,0.000000
4.200000,-0.530991,-1286.878418,-0.015172,-0.188169,-4.779489,-2.361964,-0.120324,-47.794888,-1286.878418,-4.768094,0.000000
4.300000,-0.496368,-1286.833862,-0.015168,-0.184833,-4.694761,-2.207957,-0.112479,-46.947609,-1286.833862,-4.683409,0.000000
4.400000,-0.493393,-1286.878418,-0.015151,-0.181496,-4.610007,-2.194721,-0.111804,-46.100071,-1286.878418,-4.598724,0.000000
4.500000,-0.520203,-1286.833862,-0.015172,-0.178165,-4.525383,-2.313977,-0.117880,-45.253830,-1286.833862,-4.514040,0.000000
4.600000,-0.474030,-1286.878418,-0.015159,-0.174827,-4.440612,-2.108589,-0.107417,-44.406116,-1286.878418,-4.429355,0.000000
