Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.829651,-1091.607056,-0.015905,-0.314958,-7.999923,-3.690471,-0.188002,-79.999229,-1091.607056,-8.000018,0.000000
0.300000,-0.837097,-1091.518066,-0.015927,-0.314958,-7.999923,-3.723594,-0.189689,-79.999229,-1091.518066,-8.000018,0.000000
0.400000,-0.828171,-1091.607056,-0.015948,-0.314956,-7.999879,-3.683887,-0.187666,-79.998795,-1091.607056,-7.995283,0.000000
0.500000,-0.802094,-1091.607056,-0.015957,-0.311855,-7.921126,-3.567890,-0.181757,-79.211266,-1091.607056,-7.910598,0.000000
0.600000,-0.783478,-1091.607056,-0.015970,-0.308551,-7.837188,-3.485083,-0.177539,-78.371880,-1091.607056,-7.825913,0.000000
0.700000,-0.725388,-1091.651489,-0.015974,-0.305217,-7.752503,-3.226685,-0.164375,-77.525032,-1091.651489,-7.741229,0.000000
0.800000,-0.754440,-1091.607056,-0.015974,-0.301881,-7.667766,-3.355918,-0.170959,-76.677666,-1091.607056,-7.656363,0.000000
0.900000,-0.688156,-1091.651489,-0.015978,-0.298548,-7.583108,-3.061071,-0.155938,-75.831085,-1091.651489,-7.571678,0.000000
1.000000,-0.682938,-1091.607056,-0.015961,-0.295209,-7.498302,-3.037858,-0.154756,-74.983025,-1091.607056,-7.486993,0.000000
1.100000,-0.687775,-1091.518066,-0.015966,-0.291877,-7.413670,-3.059375,-0.155852,-74.136696,-1091.518066,-7.402309,0.000000
1.200000,-0.614792,-1091.562500,-0.015953,-0.288541,-7.328942,-2.734731,-0.139314,-73.289421,-1091.562500,-7.317624,0.000000
1.300000,-0.644577,-1091.607056,-0.015957,-0.285204,-7.244170,-2.867222,-0.146063,-72.441704,-1091.607056,-7.232939,0.000000
1.400000,-0.605850,-1091.562500,-0.015953,-0.281872,-7.159537,-2.694956,-0.137288,-71.595375,-1091.562500,-7.148255,0.000000
1.500000,-0.598785,-1091.607056,-0.015953,-0.278533,-7.074740,-2.663531,-0.135687,-70.747398,-1091.607056,-7.063570,0.000000
