Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.446854,-1282.608276,-0.009403,-0.314962,-8.000027,-1.987704,-0.101258,-80.000267,-1282.608276,-8.000009,0.000000
0.300000,-0.460251,-1282.563721,-0.009416,-0.314962,-8.000027,-2.047298,-0.104294,-80.000267,-1282.563721,-8.000009,0.000000
0.400000,-0.445724,-1282.519287,-0.009403,-0.312944,-7.948773,-1.982682,-0.101003,-79.487740,-1282.519287,-7.938635,0.000000
0.500000,-0.407379,-1282.563721,-0.009429,-0.309649,-7.865095,-1.812113,-0.092313,-78.650948,-1282.563721,-7.853951,0.000000
0.600000,-0.396210,-1282.563721,-0.009438,-0.306317,-7.780454,-1.762429,-0.089782,-77.804543,-1282.563721,-7.769267,0.000000
0.700000,-0.339981,-1282.608276,-0.009442,-0.302982,-7.695752,-1.512311,-0.077041,-76.957520,-1282.608276,-7.684582,0.000000
0.800000,-0.320236,-1282.608276,-0.009434,-0.299646,-7.610997,-1.424482,-0.072567,-76.109978,-1282.608276,-7.599897,0.000000
0.900000,-0.320618,-1282.519287,-0.009408,-0.296311,-7.526296,-1.426179,-0.072653,-75.262962,-1282.519287,-7.515213,0.000000
1.000000,-0.278534,-1282.563721,-0.009434,-0.292976,-7.441602,-1.238981,-0.063117,-74.416023,-1282.563721,-7.430528,0.000000
1.100000,-0.295288,-1282.608276,-0.009438,-0.289640,-7.356857,-1.313507,-0.066913,-73.568573,-1282.608276,-7.345661,0.000000
1.200000,-0.267365,-1282.563721,-0.009429,-0.286306,-7.272181,-1.189297,-0.060586,-72.721817,-1282.563721,-7.260976,0.000000
1.300000,-0.248001,-1282.563721,-0.009425,-0.282970,-7.187445,-1.103164,-0.056198,-71.874451,-1282.563721,-7.176292,0.000000
1.400000,-0.245026,-1282.652710,-0.009442,-0.279635,-7.102734,-1.089929,-0.055524,-71.027336,-1282.652710,-7.091608,0.000000
1.500000,-0.212997,-1282.519287,-0.009438,-0.276301,-7.018050,-0.947460,-0.048266,-70.180496,-1282.519287,-7.006923,0.000000
1.600000,-0.227142,-1282.519287,-0.009416,-0.272965,-6.933304,-1.010380,-0.051471,-69.333046,-1282.519287,-6.922238,0.000000
1.700000,-0.225662,-1282.563721,-0.009434,-0.269631,-6.848619,-1.003796,-0.051136,-68.486198,-1282.563721,-6.837554,0.000000
1.800000,-0.206665,-1282.608276,-0.009429,-0.266296,-6.763917,-0.919292,-0.046831,-67.639175,-1282.608276,-6.752870,0.000000
