Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.547012,-1282.964111,-0.009451,-0.314966,-8.000131,-2.433232,-0.123955,-80.001312,-1282.964111,-8.000052,0.000000
0.300000,-0.549255,-1282.964111,-0.009438,-0.314966,-8.000131,-2.443210,-0.124463,-80.001312,-1282.964111,-8.000052,0.000000
0.400000,-0.579041,-1282.919556,-0.009606,-0.314942,-7.999515,-2.575701,-0.131212,-79.995148,-1282.919556,-7.990218,0.000000
0.500000,-0.550735,-1282.875122,-0.009516,-0.311690,-7.916937,-2.449794,-0.124798,-79.169373,-1282.875122,-7.905533,0.000000
0.600000,-0.472549,-1282.875122,-0.009451,-0.308342,-7.831898,-2.102005,-0.107081,-78.318977,-1282.875122,-7.820848,0.000000
0.700000,-0.463226,-1282.964111,-0.009472,-0.305006,-7.747143,-2.060534,-0.104969,-77.471436,-1282.964111,-7.736165,0.000000
0.800000,-0.417435,-1282.919556,-0.009503,-0.301672,-7.662477,-1.856842,-0.094592,-76.624763,-1282.919556,-7.651480,0.000000
0.900000,-0.399551,-1282.919556,-0.009447,-0.298333,-7.577670,-1.777293,-0.090540,-75.776703,-1282.919556,-7.566614,0.000000
1.000000,-0.417435,-1282.919556,-0.009477,-0.294999,-7.492986,-1.856842,-0.094592,-74.929863,-1282.919556,-7.481929,0.000000
1.100000,-0.369019,-1282.919556,-0.009447,-0.291665,-7.408292,-1.641477,-0.083621,-74.082924,-1282.919556,-7.397244,0.000000
1.200000,-0.376465,-1282.964111,-0.009498,-0.288329,-7.323556,-1.674599,-0.085308,-73.235558,-1282.964111,-7.312559,0.000000
1.300000,-0.354126,-1282.875122,-0.009468,-0.284996,-7.238897,-1.575231,-0.080246,-72.388969,-1282.875122,-7.227874,0.000000
1.400000,-0.330673,-1282.964111,-0.009477,-0.281660,-7.154160,-1.470908,-0.074932,-71.541611,-1282.964111,-7.143190,0.000000
1.500000,-0.354126,-1282.875122,-0.009481,-0.278325,-7.069450,-1.575231,-0.080246,-70.694504,-1282.875122,-7.058506,0.000000
1.600000,-0.306458,-1282.919556,-0.009472,-0.274991,-6.984774,-1.363191,-0.069444,-69.847740,-1282.919556,-6.973821,0.000000
1.700000,-0.312424,-1282.919556,-0.009477,-0.271654,-6.900002,-1.389730,-0.070796,-69.000031,-1282.919556,-6.888955,0.000000
1.800000,-0.327316,-1282.919556,-0.009459,-0.268320,-6.815335,-1.455976,-0.074171,-68.153351,-1282.919556,-6.804270,0.000000
1.900000,-0.285614,-1282.875122,-0.009455,-0.264985,-6.730608,-1.270475,-0.064721,-67.306076,-1282.875122,-6.719585,0.000000
2.000000,-0.318756,-1282.875122,-0.009485,-0.261650,-6.645906,-1.417898,-0.072231,-66.459061,-1282.875122,-6.634900,0.000000
2.100000,-0.280396,-1282.919556,-0.009447,-0.258317,-6.561256,-1.247262,-0.063539,-65.612564,-1282.919556,-6.550216,0.000000
2.200000,-0.290817,-1282.964111,-0.009451,-0.254980,-6.476493,-1.293620,-0.065900,-64.764938,-1282.964111,-6.465531,0.000000
2.300000,-0.293808,-1282.875122,-0.009459,-0.251646,-6.391799,-1.306923,-0.066578,-63.917995,-1282.875122,-6.380847,0.000000
2.400000,-0.260284,-1282.875122,-0.009442,-0.248312,-6.307115,-1.157803,-0.058981,-63.071152,-1282.875122,-6.296162,0.000000
2.500000,-0.298279,-1282.830688,-0.009472,-0.244975,-6.222361,-1.326810,-0.067591,-62.223614,-1282.830688,-6.211478,0.000000
2.600000,-0.279282,-1282.919556,-0.009455,-0.241643,-6.137729,-1.242307,-0.063286,-61.377289,-1282.919556,-6.126611,0.000000
2.700000,-0.262527,-1282.830688,-0.009468,-0.238305,-6.052940,-1.167781,-0.059490,-60.529404,-1282.830688,-6.041926,0.000000
2.800000,-0.279648,-1282.964111,-0.009481,-0.234970,-5.968247,-1.243936,-0.063369,-59.682468,-1282.964111,-5.957242,0.000000
2.900000,-0.251724,-1282.919556,-0.009490,-0.231636,-5.883563,-1.119725,-0.057042,-58.835625,-1282.919556,-5.872557,0.000000
3.000000,-0.266998,-1282.875122,-0.009477,-0.228300,-5.798817,-1.187668,-0.060503,-57.988171,-1282.875122,-5.787873,0.000000
3.100000,-0.257309,-1282.919556,-0.009464,-0.224967,-5.714159,-1.144567,-0.058307,-57.141586,-1282.919556,-5.703188,0.000000
3.200000,-0.233109,-1282.964111,-0.009503,-0.221631,-5.629422,-1.036919,-0.052823,-56.294220,-1282.964111,-5.618504,0.000000
3.300000,-0.256943,-1282.919556,-0.009503,-0.218296,-5.544711,-1.142938,-0.058224,-55.447113,-1282.919556,-5.533819,0.000000
3.400000,-0.239059,-1282.919556,-0.009464,-0.214962,-5.460044,-1.063390,-0.054172,-54.600441,-1282.919556,-5.449134,0.000000
3.500000,-0.235718,-1282.830688,-0.009472,-0.211625,-5.375281,-1.048525,-0.053414,-53.752811,-1282.830688,-5.364267,0.000000
3.600000,-0.249115,-1282.875122,-0.009455,-0.208292,-5.290623,-1.108119,-0.056450,-52.906227,-1282.875122,-5.279583,0.000000
3.700000,-0.230133,-1282.875122,-0.009464,-0.204957,-5.205912,-1.023683,-0.052149,-52.059120,-1282.875122,-5.194899,0.000000
3.800000,-0.239807,-1282.919556,-0.009455,-0.201621,-5.121167,-1.066715,-0.054341,-51.211670,-1282.919556,-5.110214,0.000000
3.900000,-0.227142,-1282.964111,-0.009434,-0.198288,-5.036526,-1.010380,-0.051471,-50.365257,-1282.964111,-5.025529,0.000000
4.000000,-0.214111,-1282.919556,-0.009459,-0.194953,-4.951806,-0.952415,-0.048518,-49.518063,-1282.919556,-4.940845,0.000000
4.100000,-0.239441,-1282.875122,-0.009494,-0.191618,-4.867105,-1.065086,-0.054258,-48.671047,-1282.875122,-4.856160,0.000000
4.200000,-0.215607,-1282.875122,-0.009447,-0.188285,-4.782437,-0.959066,-0.048857,-47.824375,-1282.875122,-4.771475,0.000000
4.300000,-0.222305,-1282.919556,-0.009425,-0.184946,-4.697639,-0.988863,-0.050375,-46.976398,-1282.919556,-4.686609,0.000000
4.400000,-0.224915,-1282.875122,-0.009507,-0.181615,-4.613016,-1.000470,-0.050966,-46.130161,-1282.875122,-4.601924,0.000000
4.500000,-0.196609,-1282.919556,-0.009477,-0.178279,-4.528279,-0.874563,-0.044552,-45.282795,-1282.919556,-4.517240,0.000000
4.600000,-0.265137,-1282.875122,-0.009490,-0.174943,-4.443552,-1.179387,-0.060081,-44.435516,-1282.875122,-4.432555,0.000000
4.700000,-0.230499,-1282.875122,-0.009459,-0.171611,-4.358910,-1.025312,-0.052232,-43.589104,-1282.875122,-4.347870,0.000000
4.800000,-0.234222,-1282.919556,-0.009468,-0.168274,-4.274148,-1.041873,-0.053076,-42.741474,-1282.919556,-4.263186,0.000000
4.900000,-0.253586,-1282.875122,-0.009477,-0.164939,-4.189463,-1.128006,-0.057463,-41.894630,-1282.875122,-4.178501,0.000000
5.000000,-0.208908,-1282.830688,-0.009472,-0.161605,-4.104770,-0.929270,-0.047339,-41.047695,-1282.830688,-4.093816,0.000000
5.100000,-0.245392,-1282.919556,-0.009481,-0.158268,-4.020007,-1.091558,-0.055607,-40.200069,-1282.919556,-4.009132,0.000000
5.200000,-0.239059,-1282.875122,-0.009481,-0.154936,-3.935366,-1.063390,-0.054172,-39.353657,-1282.875122,-3.924265,0.000000
5.300000,-0.226028,-1282.919556,-0.009451,-0.151599,-3.850612,-1.005425,-0.051219,-38.506119,-1282.919556,-3.839581,0.000000
5.400000,-0.239059,-1282.875122,-0.009455,-0.148265,-3.765918,-1.063390,-0.054172,-37.659187,-1282.875122,-3.754896,0.000000
5.500000,-0.215240,-1282.919556,-0.009468,-0.144930,-3.681234,-0.957437,-0.048774,-36.812340,-1282.919556,-3.670212,0.000000
5.600000,-0.245773,-1282.830688,-0.009459,-0.141594,-3.596480,-1.093254,-0.055693,-35.964798,-1282.830688,-3.585527,0.000000
5.700000,-0.243912,-1282.830688,-0.009498,-0.138261,-3.511830,-1.084974,-0.055271,-35.118301,-1282.830688,-3.500842,0.000000
5.800000,-0.215607,-1282.919556,-0.009472,-0.134926,-3.427111,-0.959066,-0.048857,-34.271107,-1282.919556,-3.416157,0.000000
5.900000,-0.232361,-1282.919556,-0.009477,-0.131590,-3.342374,-1.033593,-0.052654,-33.423740,-1282.919556,-3.331473,0.000000
6.000000,-0.223419,-1282.919556,-0.009459,-0.128256,-3.257698,-0.993818,-0.050628,-32.576984,-1282.919556,-3.246606,0.000000
6.100000,-0.220078,-1282.875122,-0.009442,-0.124919,-3.172953,-0.978954,-0.049870,-31.729532,-1282.875122,-3.161922,0.000000
6.200000,-0.239441,-1282.919556,-0.009447,-0.121586,-3.088277,-1.065086,-0.054258,-30.882771,-1282.919556,-3.077237,0.000000
