Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.439758,-1286.122192,-0.002246,-0.314961,-8.000010,-1.956143,-0.099651,-80.000099,-1286.122192,-8.000018,0.000000
0.300000,-0.452423,-1286.077759,-0.002156,-0.314961,-8.000010,-2.012478,-0.102521,-80.000099,-1286.077759,-8.000018,0.000000
0.400000,-0.442001,-1286.077759,-0.002177,-0.312877,-7.947083,-1.966120,-0.100159,-79.470825,-1286.077759,-7.937188,0.000000
0.500000,-0.414810,-1286.077759,-0.002251,-0.309583,-7.863395,-1.845168,-0.093997,-78.633957,-1286.077759,-7.852503,0.000000
0.600000,-0.402893,-1286.077759,-0.002276,-0.306253,-7.778815,-1.792158,-0.091297,-77.788155,-1286.077759,-7.767637,0.000000
0.700000,-0.337357,-1286.122192,-0.002212,-0.302915,-7.694052,-1.500637,-0.076446,-76.940529,-1286.122192,-7.682952,0.000000
0.800000,-0.324326,-1286.122192,-0.002246,-0.299580,-7.609342,-1.442672,-0.073493,-76.093422,-1286.122192,-7.598268,0.000000
0.900000,-0.320602,-1286.033203,-0.002195,-0.296246,-7.524657,-1.426111,-0.072650,-75.246574,-1286.033203,-7.513583,0.000000
1.000000,-0.282623,-1286.077759,-0.002182,-0.292909,-7.439877,-1.257171,-0.064043,-74.398773,-1286.077759,-7.428898,0.000000
1.100000,-0.286713,-1286.077759,-0.002233,-0.289576,-7.355227,-1.275362,-0.064970,-73.552269,-1286.077759,-7.344214,0.000000
1.200000,-0.265121,-1286.077759,-0.002268,-0.286241,-7.270526,-1.179319,-0.060077,-72.705261,-1286.077759,-7.259529,0.000000
1.300000,-0.253952,-1286.077759,-0.002246,-0.282906,-7.185806,-1.129635,-0.057546,-71.858063,-1286.077759,-7.174844,0.000000
1.400000,-0.267731,-1285.988770,-0.002190,-0.279574,-7.101182,-1.190926,-0.060669,-71.011818,-1285.988770,-7.090159,0.000000
1.500000,-0.230484,-1286.077759,-0.002208,-0.276236,-7.016394,-1.025244,-0.052228,-70.163933,-1286.077759,-7.005293,0.000000
1.600000,-0.234955,-1286.033203,-0.002182,-0.272902,-6.931709,-1.045131,-0.053242,-69.317085,-1286.033203,-6.920609,0.000000
1.700000,-0.228256,-1286.077759,-0.002169,-0.269568,-6.847024,-1.015334,-0.051724,-68.470238,-1286.077759,-6.835924,0.000000
1.800000,-0.190277,-1286.033203,-0.002259,-0.266230,-6.762245,-0.846395,-0.043117,-67.622444,-1286.033203,-6.751240,0.000000
1.900000,-0.219315,-1286.077759,-0.002225,-0.262897,-6.677586,-0.975560,-0.049697,-66.775856,-1286.077759,-6.666555,0.000000
2.000000,-0.180222,-1286.077759,-0.002259,-0.259560,-6.592832,-0.801666,-0.040839,-65.928322,-1286.077759,-6.581870,0.000000
2.100000,-0.187302,-1286.077759,-0.002208,-0.256225,-6.508104,-0.833159,-0.042443,-65.081039,-1286.077759,-6.497185,0.000000
2.200000,-0.190277,-1286.122192,-0.002220,-0.252893,-6.423471,-0.846395,-0.043117,-64.234718,-1286.122192,-6.412501,0.000000
2.300000,-0.151550,-1286.122192,-0.002264,-0.249556,-6.338717,-0.674129,-0.034342,-63.387177,-1286.122192,-6.327816,0.000000
2.400000,-0.177612,-1286.077759,-0.002251,-0.246221,-6.254024,-0.790059,-0.040248,-62.540241,-1286.077759,-6.242949,0.000000
2.500000,-0.170166,-1286.033203,-0.002164,-0.242886,-6.169313,-0.756936,-0.038560,-61.693138,-1286.033203,-6.158265,0.000000
2.600000,-0.154160,-1286.077759,-0.002186,-0.239551,-6.084586,-0.685736,-0.034933,-60.845860,-1286.077759,-6.073580,0.000000
2.700000,-0.161972,-1286.122192,-0.002203,-0.236220,-5.999988,-0.720488,-0.036703,-59.999878,-1286.122192,-5.988896,0.000000
2.800000,-0.144470,-1286.033203,-0.002233,-0.232883,-5.915225,-0.642636,-0.032737,-59.152252,-1286.033203,-5.904211,0.000000
2.900000,-0.143356,-1286.077759,-0.002264,-0.229550,-5.830558,-0.637681,-0.032485,-58.305580,-1286.077759,-5.819527,0.000000
3.000000,-0.148193,-1286.077759,-0.002225,-0.226214,-5.745847,-0.659197,-0.033581,-57.458477,-1286.077759,-5.734842,0.000000
3.100000,-0.121765,-1286.033203,-0.002259,-0.222877,-5.661067,-0.541638,-0.027592,-56.610672,-1286.033203,-5.650158,0.000000
3.200000,-0.149307,-1286.122192,-0.002238,-0.219547,-5.576487,-0.664152,-0.033834,-55.764866,-1286.122192,-5.565291,0.000000
3.300000,-0.108719,-1286.077759,-0.002182,-0.216211,-5.491750,-0.483606,-0.024636,-54.917500,-1286.077759,-5.480606,0.000000
3.400000,-0.116180,-1286.077759,-0.002302,-0.212875,-5.407013,-0.516796,-0.026327,-54.070133,-1286.077759,-5.395922,0.000000
3.500000,-0.131805,-1286.033203,-0.002216,-0.209542,-5.322363,-0.586300,-0.029868,-53.223637,-1286.033203,-5.311237,0.000000
3.600000,-0.100159,-1286.033203,-0.002203,-0.206204,-5.237584,-0.445528,-0.022696,-52.375839,-1286.033203,-5.226552,0.000000
3.700000,-0.120270,-1286.122192,-0.002251,-0.202870,-5.152908,-0.534987,-0.027254,-51.529079,-1286.122192,-5.141868,0.000000
3.800000,-0.106857,-1286.033203,-0.002259,-0.199537,-5.068240,-0.475325,-0.024214,-50.682404,-1286.033203,-5.057184,0.000000
3.900000,-0.095688,-1286.077759,-0.002220,-0.196201,-4.983495,-0.425641,-0.021683,-49.834949,-1286.077759,-4.972499,0.000000
4.000000,-0.121384,-1286.122192,-0.002255,-0.192868,-4.898837,-0.539941,-0.027506,-48.988365,-1286.122192,-4.887814,0.000000
4.100000,-0.081543,-1286.077759,-0.002186,-0.189530,-4.814074,-0.362721,-0.018478,-48.140739,-1286.077759,-4.802948,0.000000
4.200000,-0.091217,-1286.033203,-0.002208,-0.186195,-4.729363,-0.405754,-0.020670,-47.293633,-1286.033203,-4.718263,0.000000
4.300000,-0.095688,-1286.033203,-0.002259,-0.182862,-4.644705,-0.425641,-0.021683,-46.447048,-1286.033203,-4.633578,0.000000
4.400000,-0.077454,-1286.077759,-0.002246,-0.179526,-4.559959,-0.344531,-0.017551,-45.599598,-1286.077759,-4.548894,0.000000
4.500000,-0.099792,-1286.077759,-0.002259,-0.176194,-4.475318,-0.443899,-0.022613,-44.753181,-1286.077759,-4.464209,0.000000
4.600000,-0.103516,-1286.077759,-0.002268,-0.172858,-4.390590,-0.460460,-0.023457,-43.905903,-1286.077759,-4.379525,0.000000
4.700000,-0.114685,-1286.077759,-0.002216,-0.169521,-4.305837,-0.510145,-0.025988,-43.058365,-1286.077759,-4.294840,0.000000
4.800000,-0.115051,-1286.033203,-0.002186,-0.166189,-4.221195,-0.511774,-0.026071,-42.211948,-1286.033203,-4.210155,0.000000
4.900000,-0.080795,-1286.033203,-0.002229,-0.162852,-4.136449,-0.359395,-0.018308,-41.364498,-1286.033203,-4.125288,0.000000
5.000000,-0.112442,-1286.033203,-0.002264,-0.159518,-4.051765,-0.500167,-0.025480,-40.517654,-1286.033203,-4.040604,0.000000
5.100000,-0.082657,-1286.122192,-0.002233,-0.156183,-3.967054,-0.367676,-0.018730,-39.670544,-1286.122192,-3.955919,0.000000
5.200000,-0.092712,-1286.033203,-0.002164,-0.152847,-3.882309,-0.412405,-0.021009,-38.823090,-1286.033203,-3.871235,0.000000
5.300000,-0.102020,-1286.122192,-0.002225,-0.149514,-3.797659,-0.453809,-0.023118,-37.976597,-1286.122192,-3.786550,0.000000
5.400000,-0.075958,-1286.077759,-0.002246,-0.146178,-3.712931,-0.337879,-0.017212,-37.129311,-1286.077759,-3.701866,0.000000
5.500000,-0.098297,-1286.033203,-0.002216,-0.142844,-3.628229,-0.437247,-0.022274,-36.282295,-1286.033203,-3.617181,0.000000
5.600000,-0.087128,-1286.033203,-0.002281,-0.139510,-3.543545,-0.387563,-0.019743,-35.435452,-1286.033203,-3.532496,0.000000
5.700000,-0.068512,-1286.077759,-0.002264,-0.136173,-3.458791,-0.304756,-0.015525,-34.587910,-1286.077759,-3.447812,0.000000
5.800000,-0.109467,-1286.033203,-0.002195,-0.132839,-3.374106,-0.486932,-0.024805,-33.741062,-1286.033203,-3.362945,0.000000
5.900000,-0.068130,-1286.077759,-0.002177,-0.129504,-3.289413,-0.303060,-0.015439,-32.894131,-1286.077759,-3.278261,0.000000
6.000000,-0.082291,-1286.077759,-0.002173,-0.126170,-3.204720,-0.366047,-0.018647,-32.047199,-1286.077759,-3.193576,0.000000
6.100000,-0.090851,-1286.077759,-0.002259,-0.122836,-3.120035,-0.404125,-0.020587,-31.200354,-1286.077759,-3.108891,0.000000
6.200000,-0.059204,-1285.988770,-0.002272,-0.119499,-3.035281,-0.263353,-0.013416,-30.352814,-1285.988770,-3.024207,0.000000
6.300000,-0.083405,-1286.077759,-0.002216,-0.116164,-2.950571,-0.371002,-0.018900,-29.505709,-1286.077759,-2.939522,0.000000
6.400000,-0.074097,-1286.077759,-0.002246,-0.112831,-2.865903,-0.329598,-0.016791,-28.659035,-1286.077759,-2.854838,0.000000
6.500000,-0.081177,-1286.077759,-0.002246,-0.109495,-2.781167,-0.361092,-0.018395,-27.811668,-1286.077759,-2.770153,0.000000
6.600000,-0.100159,-1285.988770,-0.002268,-0.106162,-2.696517,-0.445528,-0.022696,-26.965170,-1285.988770,-2.685468,0.000000
6.700000,-0.065536,-1286.033203,-0.002225,-0.102825,-2.611746,-0.291521,-0.014851,-26.117456,-1286.033203,-2.600602,0.000000
6.800000,-0.089355,-1286.077759,-0.002251,-0.099489,-2.527026,-0.397473,-0.020248,-25.270264,-1286.077759,-2.515917,0.000000
6.900000,-0.072601,-1286.077759,-0.002251,-0.096156,-2.442368,-0.322947,-0.016452,-24.423677,-1286.077759,-2.431232,0.000000
7.000000,-0.063293,-1286.077759,-0.002238,-0.092821,-2.357649,-0.281543,-0.014343,-23.576485,-1286.077759,-2.346548,0.000000
7.100000,-0.077820,-1286.033203,-0.002281,-0.089488,-2.272990,-0.346160,-0.017634,-22.729898,-1286.033203,-2.261863,0.000000
7.200000,-0.045792,-1286.033203,-0.002259,-0.086151,-2.188236,-0.203691,-0.010377,-21.882359,-1286.033203,-2.177179,0.000000
7.300000,-0.061432,-1286.033203,-0.002186,-0.082814,-2.103473,-0.273263,-0.013921,-21.034731,-1286.033203,-2.092494,0.000000
7.400001,-0.076324,-1286.033203,-0.002182,-0.079482,-2.018841,-0.339508,-0.017295,-20.188406,-1286.033203,-2.007810,0.000000
7.500000,-0.046906,-1285.988770,-0.002212,-0.076145,-1.934087,-0.208646,-0.010629,-19.340870,-1285.988770,-1.922943,0.000000
7.600000,-0.076324,-1286.122192,-0.002272,-0.072811,-1.849411,-0.339508,-0.017295,-18.494110,-1286.122192,-1.838258,0.000000
7.700000,-0.068878,-1286.033203,-0.002208,-0.069476,-1.764700,-0.306385,-0.015608,-17.647005,-1286.033203,-1.753574,0.000000
7.800000,-0.057709,-1285.988770,-0.002229,-0.066141,-1.679972,-0.256701,-0.013077,-16.799723,-1285.988770,-1.668889,0.000000
7.900001,-0.089355,-1286.033203,-0.002177,-0.062807,-1.595297,-0.397473,-0.020248,-15.952965,-1286.033203,-1.584204,0.000000
