Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-1.107788,-1292.527466,-0.053558,-0.314963,-8.000071,-4.927688,-0.251028,-80.000702,-1292.527466,-8.000131,0.000000
0.300000,-1.097412,-1292.438477,-0.053631,-0.314963,-8.000071,-4.881533,-0.248677,-80.000702,-1292.438477,-8.000131,0.000000
0.400000,-1.181946,-1292.527466,-0.053834,-0.314718,-7.993844,-5.257557,-0.267833,-79.938438,-1292.527466,-7.979187,0.000000
0.500000,-1.152527,-1292.438477,-0.053614,-0.311279,-7.906497,-5.126696,-0.261166,-79.064964,-1292.438477,-7.894503,0.000000
0.600000,-1.136475,-1292.438477,-0.053575,-0.307923,-7.821257,-5.055292,-0.257529,-78.212570,-1292.438477,-7.809818,0.000000
0.700000,-1.140564,-1292.438477,-0.053648,-0.304587,-7.736520,-5.073482,-0.258456,-77.365204,-1292.438477,-7.725133,0.000000
0.800000,-1.094788,-1292.483032,-0.053601,-0.301253,-7.651836,-4.869858,-0.248082,-76.518356,-1292.483032,-7.640449,0.000000
0.900000,-1.125305,-1292.438477,-0.053657,-0.297913,-7.566986,-5.005608,-0.254998,-75.669861,-1292.438477,-7.555765,0.000000
1.000000,-1.095154,-1292.483032,-0.053566,-0.294584,-7.482423,-4.871488,-0.248165,-74.824234,-1292.483032,-7.471080,0.000000
1.100000,-1.069458,-1292.483032,-0.053644,-0.291245,-7.397625,-4.757187,-0.242343,-73.976257,-1292.483032,-7.386213,0.000000
1.200000,-1.099243,-1292.438477,-0.053653,-0.287909,-7.312898,-4.889678,-0.249092,-73.128975,-1292.438477,-7.301528,0.000000
1.300000,-1.054565,-1292.438477,-0.053609,-0.284576,-7.228240,-4.690941,-0.238968,-72.282394,-1292.438477,-7.216844,0.000000
1.400000,-1.051941,-1292.438477,-0.053609,-0.281236,-7.143407,-4.679267,-0.238373,-71.434074,-1292.438477,-7.132159,0.000000
1.500000,-1.058289,-1292.483032,-0.053618,-0.277908,-7.058862,-4.707503,-0.239812,-70.588615,-1292.483032,-7.047474,0.000000
1.600000,-1.016968,-1292.394043,-0.053657,-0.274571,-6.974099,-4.523699,-0.230448,-69.740990,-1292.394043,-6.962790,0.000000
1.700000,-1.067993,-1292.438477,-0.053579,-0.271233,-6.889318,-4.750671,-0.242011,-68.893188,-1292.438477,-6.878106,0.000000
1.800000,-1.031494,-1292.438477,-0.053674,-0.267902,-6.804721,-4.588315,-0.233740,-68.047211,-1292.438477,-6.793421,0.000000
1.900000,-1.021790,-1292.438477,-0.053627,-0.264561,-6.719845,-4.545147,-0.231541,-67.198456,-1292.438477,-6.708554,0.000000
2.000000,-1.048218,-1292.438477,-0.053601,-0.261230,-6.635248,-4.662705,-0.237530,-66.352478,-1292.438477,-6.623869,0.000000
2.100000,-1.000916,-1292.483032,-0.053622,-0.257896,-6.550563,-4.452295,-0.226811,-65.505630,-1292.483032,-6.539185,0.000000
2.200000,-1.042664,-1292.438477,-0.053588,-0.254556,-6.465713,-4.637999,-0.236271,-64.657135,-1292.438477,-6.454501,0.000000
2.300000,-1.018066,-1292.438477,-0.053618,-0.251227,-6.381159,-4.528585,-0.230697,-63.811588,-1292.438477,-6.369816,0.000000
2.400000,-1.005432,-1292.438477,-0.053609,-0.247887,-6.296336,-4.472385,-0.227834,-62.963360,-1292.438477,-6.285131,0.000000
2.500000,-1.034851,-1292.483032,-0.053618,-0.244554,-6.211677,-4.603248,-0.234501,-62.116772,-1292.483032,-6.200447,0.000000
2.600000,-0.999817,-1292.438477,-0.053653,-0.241223,-6.127053,-4.447408,-0.226562,-61.270535,-1292.438477,-6.115762,0.000000
2.700000,-1.022156,-1292.394043,-0.053640,-0.237882,-6.042195,-4.546776,-0.231624,-60.421955,-1292.394043,-6.031077,0.000000
2.800000,-1.022156,-1292.438477,-0.053622,-0.234556,-5.957719,-4.546776,-0.231624,-59.577190,-1292.438477,-5.946211,0.000000
2.900000,-0.985657,-1292.438477,-0.053661,-0.231216,-5.872887,-4.384420,-0.223353,-58.728867,-1292.438477,-5.861526,0.000000
3.000000,-1.029968,-1292.394043,-0.053614,-0.227880,-5.788159,-4.581528,-0.233394,-57.881588,-1292.394043,-5.776842,0.000000
3.100000,-1.002808,-1292.438477,-0.053609,-0.224550,-5.703578,-4.460711,-0.227239,-57.035786,-1292.438477,-5.692157,0.000000
3.200000,-0.999451,-1292.438477,-0.053622,-0.221208,-5.618694,-4.445779,-0.226479,-56.186943,-1292.438477,-5.607472,0.000000
3.300000,-1.009888,-1292.394043,-0.053601,-0.217878,-5.534113,-4.492205,-0.228844,-55.341137,-1292.394043,-5.522788,0.000000
3.400000,-0.980103,-1292.438477,-0.053644,-0.214542,-5.449360,-4.359714,-0.222094,-54.493599,-1292.438477,-5.438103,0.000000
3.500000,-1.021423,-1292.349609,-0.053631,-0.211202,-5.364537,-4.543518,-0.231458,-53.645367,-1292.349609,-5.353419,0.000000
3.600000,-0.996460,-1292.483032,-0.053618,-0.207875,-5.280034,-4.432475,-0.225801,-52.800339,-1292.483032,-5.268734,0.000000
3.700000,-0.987183,-1292.438477,-0.053622,-0.204535,-5.195193,-4.391208,-0.223699,-51.951935,-1292.438477,-5.183867,0.000000
3.800000,-1.025879,-1292.483032,-0.053622,-0.201201,-5.110500,-4.563337,-0.232467,-51.105000,-1292.483032,-5.099183,0.000000
3.900000,-0.984558,-1292.394043,-0.053609,-0.197870,-5.025902,-4.379533,-0.223104,-50.259022,-1292.394043,-5.014498,0.000000
4.000000,-0.999084,-1292.483032,-0.053575,-0.194530,-4.941053,-4.444149,-0.226396,-49.410526,-1292.483032,-4.929813,0.000000
4.100000,-1.008423,-1292.438477,-0.053640,-0.191200,-4.856490,-4.485689,-0.228512,-48.564896,-1292.438477,-4.845129,0.000000
4.200000,-0.982727,-1292.438477,-0.053648,-0.187864,-4.771753,-4.371388,-0.222689,-47.717529,-1292.438477,-4.760444,0.000000
4.300000,-1.017334,-1292.349609,-0.053596,-0.184525,-4.686947,-4.525328,-0.230531,-46.869473,-1292.349609,-4.675760,0.000000
4.400000,-0.995361,-1292.349609,-0.053678,-0.181197,-4.602401,-4.427588,-0.225552,-46.024014,-1292.349609,-4.591075,0.000000
4.500000,-0.997192,-1292.438477,-0.053592,-0.177857,-4.517569,-4.435733,-0.225967,-45.175694,-1292.438477,-4.506208,0.000000
4.600000,-1.017334,-1292.394043,-0.053683,-0.174524,-4.432919,-4.525328,-0.230531,-44.329193,-1292.394043,-4.421524,0.000000
4.700000,-0.974121,-1292.438477,-0.053609,-0.171191,-4.348243,-4.333107,-0.220739,-43.482433,-1292.438477,-4.336839,0.000000
