Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.100000,-0.384644,-807.284790,-0.033134,-0.314963,-8.000052,-1.710980,-0.087161,-80.000526,-807.284790,-8.000052,0.000000
0.200000,-0.374573,-807.195801,-0.033121,-0.314963,-8.000052,-1.666183,-0.084879,-80.000526,-807.195801,-8.000052,0.000000
0.300000,-0.372009,-807.240295,-0.033121,-0.314963,-8.000052,-1.654780,-0.084299,-80.000526,-807.240295,-8.000052,0.000000
0.400000,-0.415955,-807.284790,-0.033186,-0.313982,-7.975155,-1.850258,-0.094257,-79.751549,-807.284790,-7.961808,0.000000
0.500000,-0.456543,-807.240295,-0.033186,-0.310579,-7.888710,-2.030805,-0.103454,-78.887100,-807.240295,-7.877123,0.000000
0.600000,-0.406250,-807.240295,-0.033147,-0.307237,-7.803817,-1.807090,-0.092058,-78.038170,-807.240295,-7.792439,0.000000
0.700000,-0.443848,-807.284790,-0.033164,-0.303901,-7.719089,-1.974333,-0.100577,-77.190887,-807.284790,-7.707755,0.000000
0.800000,-0.437500,-807.284790,-0.033164,-0.300564,-7.634318,-1.946097,-0.099139,-76.343178,-807.284790,-7.623070,0.000000
0.900000,-0.420776,-807.329285,-0.033160,-0.297229,-7.549624,-1.871707,-0.095349,-75.496246,-807.329285,-7.538203,0.000000
1.000000,-0.458008,-807.284790,-0.033151,-0.293894,-7.464914,-2.037321,-0.103786,-74.649139,-807.284790,-7.453518,0.000000
1.100000,-0.442017,-807.284790,-0.033147,-0.290561,-7.380247,-1.966188,-0.100162,-73.802467,-807.284790,-7.368834,0.000000
1.200000,-0.431580,-807.284790,-0.033156,-0.287227,-7.295570,-1.919762,-0.097797,-72.955704,-807.284790,-7.284149,0.000000
1.300000,-0.454651,-807.284790,-0.033190,-0.283892,-7.210852,-2.022388,-0.103025,-72.108521,-807.284790,-7.199465,0.000000
1.400000,-0.413696,-807.329285,-0.033160,-0.280556,-7.126123,-1.840213,-0.093745,-71.261238,-807.329285,-7.114780,0.000000
1.500000,-0.442383,-807.284790,-0.033177,-0.277220,-7.041396,-1.967817,-0.100245,-70.413956,-807.284790,-7.030096,0.000000
1.600000,-0.451294,-807.284790,-0.033160,-0.273885,-6.956685,-2.007456,-0.102265,-69.566856,-807.284790,-6.945411,0.000000
