Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.1,0.012750271915071628,-779.9524607973896,-0.033000527003387674,-0.033000527003387674,-0.8382133858860469,0.05671601453805992,0.002888516146578045,0.0,-779.9524607973896,-8.00443464643185,0.0
0.2,-0.035255570193071434,-779.9295753199684,-0.03299686164879364,-0.03299686164879364,-0.8381202858793584,-0.1568245324442242,-0.007986989174648546,0.0,-779.9295753199684,-7.0938396586714525,0.0
0.3,-0.02785812370286722,-780.0238504817943,-0.03298110828191021,-0.03298110828191021,-0.8377201503605194,-0.12391906301756803,-0.006311131297049555,0.0,-780.0238504817943,-6.196552556808981,0.0
0.4,-0.1646591703629669,-779.9746667990153,-0.03299795603636592,-0.03299795603636592,-0.8381480833236943,-0.7324402147919566,-0.03730278659495577,0.0,-779.9746667990153,-5.301160035307655,0.0
0.5,0.12137713845454375,-780.0224078141067,-0.03301413264952313,-0.03301413264952313,-0.8385589692978875,0.5399122148162706,0.02749743900261118,0.0,-780.0224078141067,-4.409231037394784,0.0
0.6,0.07716564414780937,-780.0738452468338,-0.032998692535034076,-0.032998692535034076,-0.8381667903898655,0.3432497616111686,0.017481525928758266,0.0,-780.0738452468338,-3.504566397246366,0.0
0.7,-0.021947397174678255,-780.0242938430517,-0.03300595725843345,-0.03300595725843345,-0.8383513143642096,-0.09762685106034731,-0.00497208306902711,0.0,-780.0242938430517,-2.599436454186125,0.0
0.8,0.05218761122837864,-780.0811293872905,-0.03299600614521106,-0.03299600614521106,-0.8380985560883609,0.23214197601829842,0.011822866107374505,0.0,-780.0811293872905,-1.6974071431545301,0.0
0.9,0.01896560892655821,-780.0304621146644,-0.03300685527777487,-0.03300685527777487,-0.8383741240554816,0.08436320093929477,0.00429657249499846,0.0,-780.0304621146644,-0.8028352773627434,0.0
1.0,-0.03735131151948773,-779.9914867462495,-0.03300708406784954,-0.03300708406784954,-0.8383799353233782,-0.1661468509272157,-0.00846176984605122,0.0,-779.9914867462495,0.10201451098004628,0.0
1.1,0.065929795589654,-779.9657687621763,-0.03300511263770318,-0.03300511263770318,-0.8383298609976607,0.2932702353378107,0.014936095509947069,0.0,-779.9657687621763,-0.0033857971949212353,0.0
1.2,0.21242099530582534,-779.9373332186019,-0.03298584132981409,-0.03298584132981409,-0.8378403697772778,0.9448953197392784,0.04812301093655606,0.0,-779.9373332186019,0.0028646820381524776,0.0
1.3,0.4445547648849786,-780.018803007047,-0.03297737921607342,-0.03297737921607342,-0.8376254320882648,1.9774773962566594,0.10071186128121513,0.0,-780.018803007047,0.012861525670403946,0.0
1.4,0.6466727870032065,-779.9903860019263,-0.03294537982623837,-0.03294537982623837,-0.8368126475864547,2.8765428246034035,0.14650078047381732,0.0,-779.9903860019263,0.014001500630953343,0.0
1.5,0.9641466825652404,-779.9811362311103,-0.032918402923249955,-0.032918402923249955,-0.8361274342505488,4.288736556320353,0.21842304845023444,0.0,-779.9811362311103,0.021254716598638704,0.0
1.6,1.1601386629190786,-779.9744372802346,-0.032885823627841294,-0.032885823627841294,-0.8352999201471688,5.160552003169904,0.2628241407267585,0.0,-779.9744372802346,0.030143074666002342,0.0
1.7,1.4369703649126055,-780.1448136670433,-0.032880325998638195,-0.032880325998638195,-0.8351602803654101,6.39196031661155,0.3255391044874739,0.0,-780.1448136670433,0.03660953391819539,0.0
1.8,1.592610139830759,-780.0412024700655,-0.032860677345081475,-0.032860677345081475,-0.8346612045650694,7.084280276197979,0.3607985880416592,0.0,-780.0412024700655,0.03314202637059401,0.0
1.9,1.8754797703417894,-779.96251467528,-0.03283072724047376,-0.03283072724047376,-0.8339004719080335,8.342546624029755,0.42488141706288535,0.0,-779.96251467528,0.040021598055526325,0.0
2.0,2.0401145493263106,-780.0583477102235,-0.03281069730251446,-0.03281069730251446,-0.8333917114838671,9.07487834060428,0.46217867790192413,0.0,-780.0583477102235,0.03981296384569283,0.0
2.1,2.3904083721311635,-779.9900263787101,-0.03277966177796816,-0.03277966177796816,-0.8326034091603911,10.633062329081284,0.5415361512137145,0.0,-779.9900263787101,0.04509991443442461,0.0
2.2,2.5797050611708667,-779.9607439073299,-0.03276937161833225,-0.03276937161833225,-0.8323420391056392,11.475095647201472,0.5844204556761635,0.0,-779.9607439073299,0.058349618732162586,0.0
2.3,2.8226838392176843,-780.0973078080307,-0.03275498293977487,-0.03275498293977487,-0.8319765666702816,12.555918707284889,0.639466193393679,0.0,-780.0973078080307,0.059416080930978686,0.0
2.4,3.06144050035124,-780.0120457618082,-0.032720970850075796,-0.032720970850075796,-0.8311126595919252,13.617960862472394,0.6935554297159354,0.0,-780.0120457618082,0.05789814127961,0.0
2.5,3.198952552318082,-779.990688559716,-0.03269862502381042,-0.03269862502381042,-0.8305450756047846,14.22964472227234,0.7247081600342419,0.0,-779.990688559716,0.07506910422018412,0.0
2.6,3.5533063910729656,-780.0020407323993,-0.032698239330247784,-0.032698239330247784,-0.8305352789882937,15.805888554898587,0.8049854115048936,0.0,-780.0020407323993,0.0733740484025002,0.0
2.7,3.8725619203400683,-780.0791324398035,-0.03267146985041195,-0.03267146985041195,-0.8298553342004635,17.226007385295098,0.877311300498859,0.0,-780.0791324398035,0.08120923899565252,0.0
2.8,3.8567170851618755,-779.9853250961112,-0.032669423358356445,-0.032669423358356445,-0.8298033533022536,17.155526072558757,0.8737217251112175,0.0,-779.9853250961112,0.09006533009343849,0.0
2.9,4.083947661563522,-780.0307612712104,-0.03263582393009497,-0.03263582393009497,-0.8289499278244121,18.16629766712009,0.9251997793287542,0.0,-780.0307612712104,0.09515522819854995,0.0
3.0,4.3324597180094875,-779.9616200377832,-0.032620585874042145,-0.032620585874042145,-0.8285628812006705,19.271733966844163,0.9814990561163311,0.0,-779.9616200377832,0.09805872587434977,0.0
3.1,4.724065658347987,-779.9812860896302,-0.03259345478617973,-0.03259345478617973,-0.8278737515689651,21.013683342776684,1.0702156018730167,0.0,-779.9812860896302,0.09352896046053004,0.0
3.2,4.909362094437714,-780.0303592690484,-0.03257569611006353,-0.03257569611006353,-0.8274226811956136,21.83792265571973,1.1121936672126167,0.0,-780.0303592690484,0.11156498395813068,0.0
3.3,5.20677326535925,-779.9941297867522,-0.03255210596632133,-0.03255210596632133,-0.8268234915445618,23.160872974436323,1.1795708161159317,0.0,-779.9941297867522,0.11092770998731193,0.0
3.4,5.416135395201633,-780.037518656224,-0.032531041516059137,-0.032531041516059137,-0.826288454507902,24.092161787643807,1.2270008549856788,0.0,-780.037518656224,0.1119911950127007,0.0
3.5,5.614980004001863,-780.0380754182559,-0.03250464219266469,-0.03250464219266469,-0.825617911693683,24.976666353401168,1.2720481972702402,0.0,-780.0380754182559,0.1132112602552924,0.0
3.6,5.85330054201472,-780.0821329431046,-0.032486833192089976,-0.032486833192089976,-0.8251655630790853,26.036768537000718,1.3260386318818802,0.0,-780.0821329431046,0.13611216513990756,0.0
3.7,6.056060902528581,-780.015145922622,-0.03247432632317948,-0.03247432632317948,-0.8248478886087588,26.938691227845688,1.371973069918293,0.0,-780.015145922622,0.13538812985085866,0.0
3.8,6.359447087658233,-779.9630762970049,-0.03246116561332798,-0.03246116561332798,-0.8245136065785306,28.288219724263104,1.4407038311313014,0.0,-779.9630762970049,0.1404292004622232,0.0
3.9,6.458050446268946,-779.9977398221388,-0.03241549116847047,-0.03241549116847047,-0.82335347567915,28.726829156102454,1.463041973827474,0.0,-779.9977398221388,0.14811640319101219,0.0
4.0,6.739156017580112,-780.0047060165067,-0.03239323236500079,-0.03239323236500079,-0.8227881020710199,29.977248580520207,1.5267251632554217,0.0,-780.0047060165067,0.14985750002371526,0.0
4.1,7.017357542576659,-780.0352839120718,-0.03239151554211608,-0.03239151554211608,-0.8227444947697483,31.214750168040347,1.589750454191003,0.0,-780.0352839120718,0.14802861289740937,0.0
4.2,7.355831558102466,-780.0301862054113,-0.03236092265216817,-0.03236092265216817,-0.8219674353650714,32.72035705338255,1.6664302038901222,0.0,-780.0301862054113,0.16404304896560615,0.0
4.3,7.41614709813558,-779.9668690298266,-0.03236136354751817,-0.03236136354751817,-0.8219786341069614,32.98865384486865,1.6800944153230786,0.0,-779.9668690298266,0.1708483863078477,0.0
4.4,7.628295638610662,-780.0788766945053,-0.032341290351117255,-0.032341290351117255,-0.8214687749183782,33.93233722558072,1.7281557028561607,0.0,-780.0788766945053,0.17361164970536724,0.0
4.5,7.896446553342149,-779.9011015914891,-0.03230793274978959,-0.03230793274978959,-0.8206214918446555,35.125131487507616,1.788904073720785,0.0,-779.9011015914891,0.18392240588637612,0.0
4.6,8.233172278155598,-780.0075275111122,-0.03227008279064677,-0.03227008279064677,-0.8196601028824279,36.6229615911373,1.8651877561057955,0.0,-780.0075275111122,0.19096018895818848,0.0
4.7,8.385318298659985,-779.8957819290217,-0.03227483082567018,-0.03227483082567018,-0.8197807029720225,37.299740562465324,1.899655745478244,0.0,-779.8957819290217,0.1825985631430887,0.0
4.8,8.723851024463938,-779.9457578446705,-0.03225227225674193,-0.03225227225674193,-0.819207715321245,38.805608604040984,1.9763487957240122,0.0,-779.9457578446705,0.18956449670990788,0.0
4.9,8.741610785151163,-780.0254927635909,-0.03220742076935132,-0.03220742076935132,-0.8180684875415235,38.88460792672511,1.980372188781518,0.0,-780.0254927635909,0.20142715132224137,0.0
5.0,9.177375671237954,-779.9679621534852,-0.03222199689909139,-0.03222199689909139,-0.8184387212369212,40.82298600831409,2.079092742974998,0.0,-779.9679621534852,0.20306016950792113,0.0
5.1,9.404424965819997,-779.991955026472,-0.03217616590057149,-0.03217616590057149,-0.8172746138745158,41.83295122145983,2.130529728620312,0.0,-779.991955026472,0.20842556162319098,0.0
5.2,9.472317899356945,-779.9817716099041,-0.032157315686944854,-0.032157315686944854,-0.8167958184483992,42.13495392627755,2.145910564108864,0.0,-779.9817716099041,0.21724403837859155,0.0
5.3,9.811720302259287,-779.9652871490234,-0.03214382223695983,-0.03214382223695983,-0.8164530848187797,43.644690482915806,2.222800635748195,0.0,-779.9652871490234,0.2214627436389427,0.0
