Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-1.061279,-1287.323242,-0.036493,-0.314956,-7.999870,-4.720806,-0.240489,-79.998703,-1287.323242,-8.000018,0.000000
0.300000,-1.065002,-1287.323242,-0.036510,-0.314956,-7.999870,-4.737368,-0.241333,-79.998703,-1287.323242,-8.000018,0.000000
0.400000,-1.149170,-1287.323242,-0.036540,-0.313297,-7.957749,-5.111763,-0.260406,-79.577492,-1287.323242,-7.946293,0.000000
0.500000,-1.124939,-1287.323242,-0.036523,-0.309974,-7.873342,-5.003978,-0.254915,-78.733421,-1287.323242,-7.861608,0.000000
0.600000,-1.166992,-1287.323242,-0.036557,-0.306636,-7.788554,-5.191041,-0.264444,-77.885536,-1287.323242,-7.776742,0.000000
0.700000,-1.115234,-1287.367676,-0.036514,-0.303300,-7.703826,-4.960810,-0.252716,-77.038261,-1287.367676,-7.692057,0.000000
0.800000,-1.145813,-1287.323242,-0.036540,-0.299966,-7.619133,-5.096831,-0.259645,-76.191330,-1287.323242,-7.607372,0.000000
0.900000,-1.137573,-1287.323242,-0.036553,-0.296631,-7.534431,-5.060178,-0.257778,-75.344307,-1287.323242,-7.522688,0.000000
1.000000,-1.111877,-1287.367676,-0.036527,-0.293296,-7.449728,-4.945878,-0.251955,-74.497284,-1287.367676,-7.438004,0.000000
1.100000,-1.151001,-1287.367676,-0.036557,-0.289963,-7.365053,-5.119908,-0.260821,-73.650528,-1287.367676,-7.353320,0.000000
1.200000,-1.117493,-1287.323242,-0.036519,-0.286624,-7.280247,-4.970856,-0.253227,-72.802467,-1287.323242,-7.268635,0.000000
1.300000,-1.117126,-1287.323242,-0.036527,-0.283287,-7.195492,-4.969227,-0.253144,-71.954926,-1287.323242,-7.183950,0.000000
1.400000,-1.136841,-1287.323242,-0.036544,-0.279954,-7.110825,-5.056921,-0.257612,-71.108253,-1287.323242,-7.099265,0.000000
1.500000,-1.093262,-1287.367676,-0.036527,-0.276617,-7.026080,-4.863071,-0.247737,-70.260796,-1287.367676,-7.014399,0.000000
1.600000,-1.135376,-1287.367676,-0.036514,-0.273289,-6.941535,-5.050405,-0.257280,-69.415344,-1287.367676,-6.929714,0.000000
1.700000,-1.111145,-1287.323242,-0.036553,-0.269951,-6.856746,-4.942620,-0.251789,-68.567459,-1287.323242,-6.845029,0.000000
1.800000,-1.093262,-1287.412109,-0.036531,-0.266614,-6.771991,-4.863071,-0.247737,-67.719917,-1287.412109,-6.760345,0.000000
1.900000,-1.123047,-1287.367676,-0.036531,-0.263280,-6.687324,-4.995562,-0.254486,-66.873245,-1287.367676,-6.675660,0.000000
2.000000,-1.092163,-1287.367676,-0.036553,-0.259944,-6.602579,-4.858184,-0.247488,-66.025787,-1287.367676,-6.590976,0.000000
2.100000,-1.114868,-1287.323242,-0.036540,-0.256609,-6.517860,-4.959181,-0.252633,-65.178604,-1287.323242,-6.506291,0.000000
2.200000,-1.109314,-1287.367676,-0.036527,-0.253275,-6.433193,-4.934475,-0.251374,-64.331924,-1287.367676,-6.421607,0.000000
2.300000,-1.077637,-1287.278687,-0.036553,-0.249939,-6.348447,-4.793568,-0.244196,-63.484474,-1287.278687,-6.336740,0.000000
2.400000,-1.115234,-1287.367676,-0.036557,-0.246605,-6.263772,-4.960810,-0.252716,-62.637718,-1287.367676,-6.252055,0.000000
2.500000,-1.095520,-1287.323242,-0.036514,-0.243270,-6.179060,-4.873116,-0.248248,-61.790604,-1287.323242,-6.167370,0.000000
2.600000,-1.098511,-1287.323242,-0.036549,-0.239933,-6.094298,-4.886420,-0.248926,-60.942986,-1287.323242,-6.082685,0.000000
2.700000,-1.118225,-1287.367676,-0.036549,-0.236603,-6.009727,-4.974113,-0.253393,-60.097267,-1287.367676,-5.998002,0.000000
2.800000,-1.078003,-1287.323242,-0.036557,-0.233264,-5.924894,-4.795197,-0.244279,-59.248943,-1287.323242,-5.913317,0.000000
2.900000,-1.122314,-1287.456665,-0.036549,-0.229932,-5.840261,-4.992304,-0.254320,-58.402618,-1287.456665,-5.828632,0.000000
3.000000,-1.091064,-1287.367676,-0.036510,-0.226597,-5.755569,-4.853297,-0.247239,-57.555687,-1287.367676,-5.743948,0.000000
3.100000,-1.092896,-1287.367676,-0.036544,-0.223259,-5.670771,-4.861442,-0.247654,-56.707710,-1287.367676,-5.659263,0.000000
3.200000,-1.116028,-1287.412109,-0.036536,-0.219926,-5.586130,-4.964340,-0.252896,-55.861301,-1287.412109,-5.574396,0.000000
3.300000,-1.078735,-1287.323242,-0.036536,-0.216588,-5.501341,-4.798454,-0.244445,-55.013409,-1287.323242,-5.489711,0.000000
3.400000,-1.116028,-1287.323242,-0.036531,-0.213254,-5.416657,-4.964340,-0.252896,-54.166569,-1287.323242,-5.405027,0.000000
3.500000,-1.116028,-1287.323242,-0.036531,-0.209920,-5.331963,-4.964340,-0.252896,-53.319633,-1287.323242,-5.320343,0.000000
3.600000,-1.080261,-1287.323242,-0.036531,-0.206582,-5.247192,-4.805242,-0.244791,-52.471920,-1287.323242,-5.235658,0.000000
3.700000,-1.121582,-1287.367676,-0.036557,-0.203254,-5.162647,-4.989046,-0.254154,-51.626469,-1287.367676,-5.150973,0.000000
3.800000,-1.072815,-1287.323242,-0.036549,-0.199919,-5.077944,-4.772119,-0.243103,-50.779446,-1287.323242,-5.066288,0.000000
3.900000,-1.093689,-1287.501099,-0.036523,-0.196582,-4.993182,-4.864972,-0.247833,-49.931816,-1287.501099,-4.981605,0.000000
4.000000,-1.104065,-1287.323242,-0.036540,-0.193249,-4.908524,-4.911126,-0.250185,-49.085236,-1287.323242,-4.896920,0.000000
4.100000,-1.072815,-1287.323242,-0.036536,-0.189915,-4.823830,-4.772119,-0.243103,-48.238297,-1287.323242,-4.812053,0.000000
4.200000,-1.107788,-1287.323242,-0.036519,-0.186582,-4.739180,-4.927688,-0.251028,-47.391796,-1287.323242,-4.727368,0.000000
4.300000,-1.109314,-1287.367676,-0.036553,-0.183246,-4.654452,-4.934475,-0.251374,-46.544518,-1287.367676,-4.642684,0.000000
4.400000,-1.082458,-1287.323242,-0.036527,-0.179909,-4.569698,-4.815016,-0.245289,-45.696983,-1287.323242,-4.557999,0.000000
4.500000,-1.117126,-1287.412109,-0.036544,-0.176580,-4.485144,-4.969227,-0.253144,-44.851437,-1287.412109,-4.473314,0.000000
4.600000,-1.062378,-1287.323242,-0.036544,-0.173242,-4.400346,-4.725693,-0.240738,-44.003460,-1287.323242,-4.388630,0.000000
4.700000,-1.088440,-1287.367676,-0.036544,-0.169907,-4.315627,-4.841623,-0.246644,-43.156273,-1287.367676,-4.303946,0.000000
4.800000,-1.089539,-1287.456665,-0.036544,-0.166572,-4.230925,-4.846509,-0.246893,-42.309250,-1287.456665,-4.219261,0.000000
