Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.200000,-0.566345,-1222.781372,-0.031259,-0.314966,-8.000149,-2.519229,-0.128336,-80.001488,-1222.781372,-8.000114,0.000000
0.300000,-0.557800,-1222.692383,-0.031267,-0.314966,-8.000149,-2.481220,-0.126399,-80.001488,-1222.692383,-8.000114,0.000000
0.400000,-0.631897,-1222.736816,-0.031448,-0.314521,-7.988832,-2.810818,-0.143190,-79.888313,-1222.736816,-7.972796,0.000000
0.500000,-0.626709,-1222.736816,-0.031332,-0.311038,-7.900374,-2.787741,-0.142014,-79.003746,-1222.736816,-7.888112,0.000000
0.600000,-0.633423,-1222.781372,-0.031280,-0.307689,-7.815299,-2.817605,-0.143536,-78.152992,-1222.781372,-7.803427,0.000000
0.700000,-0.593933,-1222.692383,-0.031332,-0.304353,-7.730563,-2.641946,-0.134587,-77.305634,-1222.692383,-7.718742,0.000000
0.800000,-0.608826,-1222.736816,-0.031306,-0.301019,-7.645878,-2.708192,-0.137962,-76.458786,-1222.736816,-7.634058,0.000000
0.900000,-0.600281,-1222.736816,-0.031306,-0.297684,-7.561176,-2.670182,-0.136026,-75.611763,-1222.736816,-7.549373,0.000000
1.000000,-0.573059,-1222.736816,-0.031280,-0.294348,-7.476439,-2.549094,-0.129857,-74.764389,-1222.736816,-7.464689,0.000000
1.100000,-0.590942,-1222.692383,-0.031233,-0.291013,-7.391728,-2.628643,-0.133909,-73.917290,-1222.692383,-7.380004,0.000000
1.200000,-0.563049,-1222.736816,-0.031306,-0.287680,-7.307062,-2.504568,-0.127589,-73.070625,-1222.736816,-7.295320,0.000000
1.300000,-0.590942,-1222.736816,-0.031306,-0.284344,-7.222342,-2.628643,-0.133909,-72.223427,-1222.736816,-7.210454,0.000000
1.400000,-0.590576,-1222.781372,-0.031306,-0.281010,-7.137650,-2.627014,-0.133826,-71.376495,-1222.781372,-7.125769,0.000000
1.500000,-0.575317,-1222.736816,-0.031297,-0.277672,-7.052869,-2.559139,-0.130369,-70.528694,-1222.736816,-7.041084,0.000000
1.600000,-0.595764,-1222.692383,-0.031310,-0.274338,-6.968184,-2.650091,-0.135002,-69.681847,-1222.692383,-6.956399,0.000000
1.700000,-0.571960,-1222.692383,-0.031293,-0.271003,-6.883483,-2.544207,-0.129608,-68.834831,-1222.692383,-6.871715,0.000000
1.800000,-0.564880,-1222.692383,-0.031276,-0.267666,-6.798711,-2.512713,-0.128004,-67.987114,-1222.692383,-6.787030,0.000000
1.900000,-0.587219,-1222.692383,-0.031289,-0.264333,-6.714053,-2.612082,-0.133066,-67.140533,-1222.692383,-6.702346,0.000000
2.000000,-0.565247,-1222.736816,-0.031315,-0.260997,-6.629316,-2.514342,-0.128087,-66.293159,-1222.736816,-6.617661,0.000000
2.100000,-0.583862,-1222.692383,-0.031297,-0.257660,-6.544571,-2.597149,-0.132305,-65.445709,-1222.692383,-6.532794,0.000000
2.200000,-0.573792,-1222.736816,-0.031315,-0.254327,-6.459912,-2.552352,-0.130023,-64.599129,-1222.736816,-6.448110,0.000000
2.300000,-0.565247,-1222.736816,-0.031297,-0.250991,-6.375175,-2.514342,-0.128087,-63.751755,-1222.736816,-6.363425,0.000000
2.400000,-0.590576,-1222.692383,-0.031289,-0.247659,-6.290534,-2.627014,-0.133826,-62.905346,-1222.692383,-6.278740,0.000000
2.500000,-0.553711,-1222.692383,-0.031297,-0.244322,-6.205772,-2.463029,-0.125473,-62.057720,-1222.692383,-6.194056,0.000000
2.600000,-0.572327,-1222.736816,-0.031327,-0.240986,-6.121044,-2.545836,-0.129691,-61.210442,-1222.736816,-6.109372,0.000000
2.700000,-0.592834,-1222.736816,-0.031297,-0.237652,-6.036368,-2.637059,-0.134338,-60.363686,-1222.736816,-6.024687,0.000000
2.800000,-0.563416,-1222.692383,-0.031315,-0.234317,-5.951649,-2.506197,-0.127672,-59.516491,-1222.692383,-5.940002,0.000000
2.900000,-0.581665,-1222.647949,-0.031297,-0.230983,-5.866956,-2.587375,-0.131807,-58.669559,-1222.647949,-5.855317,0.000000
3.000000,-0.576416,-1222.736816,-0.031293,-0.227648,-5.782271,-2.564027,-0.130618,-57.822712,-1222.736816,-5.770451,0.000000
3.100000,-0.566345,-1222.692383,-0.031289,-0.224311,-5.697491,-2.519229,-0.128336,-56.974911,-1222.692383,-5.685766,0.000000
3.200000,-0.583862,-1222.692383,-0.031306,-0.220978,-5.612841,-2.597149,-0.132305,-56.128410,-1222.692383,-5.601081,0.000000
3.300000,-0.563416,-1222.692383,-0.031310,-0.217643,-5.528122,-2.506197,-0.127672,-55.281223,-1222.692383,-5.516397,0.000000
3.400000,-0.574219,-1222.692383,-0.031297,-0.214306,-5.443377,-2.554253,-0.130120,-54.433769,-1222.692383,-5.431713,0.000000
3.500000,-0.568237,-1222.736816,-0.031323,-0.210972,-5.358683,-2.527646,-0.128764,-53.586830,-1222.736816,-5.347028,0.000000
3.600000,-0.555176,-1222.692383,-0.031306,-0.207635,-5.273929,-2.469545,-0.125805,-52.739296,-1222.692383,-5.262343,0.000000
3.700000,-0.586121,-1222.781372,-0.031302,-0.204303,-5.189288,-2.607195,-0.132817,-51.892879,-1222.781372,-5.177658,0.000000
3.800000,-0.553345,-1222.736816,-0.031293,-0.200966,-5.104534,-2.461400,-0.125390,-51.045341,-1222.736816,-5.092974,0.000000
3.900000,-0.561523,-1222.692383,-0.031263,-0.197629,-5.019789,-2.497781,-0.127243,-50.197887,-1222.692383,-5.008107,0.000000
4.000000,-0.582397,-1222.736816,-0.031289,-0.194298,-4.935164,-2.590633,-0.131973,-49.351646,-1222.736816,-4.923422,0.000000
4.100000,-0.550354,-1222.692383,-0.031306,-0.190959,-4.850368,-2.448097,-0.124712,-48.503677,-1222.692383,-4.838738,0.000000
