Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.100000,-0.664673,-1289.680664,-0.079983,-0.314967,-8.000156,-2.956613,-0.150617,-80.001564,-1289.680664,-8.000087,0.000000
0.200000,-0.652405,-1289.725220,-0.080005,-0.314967,-8.000156,-2.902041,-0.147837,-80.001564,-1289.725220,-8.000087,0.000000
0.300000,-0.649048,-1289.725220,-0.080009,-0.314967,-8.000156,-2.887109,-0.147076,-80.001564,-1289.725220,-8.000087,0.000000
0.400000,-0.791687,-1289.769653,-0.080207,-0.314863,-7.997512,-3.521600,-0.179399,-79.975121,-1289.769653,-7.984061,0.000000
0.500000,-0.767456,-1289.769653,-0.080043,-0.311469,-7.911309,-3.413815,-0.173908,-79.113091,-1289.769653,-7.899376,0.000000
0.600000,-0.745117,-1289.725220,-0.080017,-0.308128,-7.826460,-3.314447,-0.168846,-78.264603,-1289.725220,-7.814692,0.000000
0.700000,-0.714966,-1289.725220,-0.080026,-0.304790,-7.741672,-3.180327,-0.162014,-77.416718,-1289.725220,-7.730007,0.000000
0.800000,-0.765564,-1289.814087,-0.080030,-0.301453,-7.656917,-3.405399,-0.173479,-76.569176,-1289.814087,-7.645323,0.000000
0.900000,-0.714233,-1289.769653,-0.080039,-0.298118,-7.572189,-3.177069,-0.161848,-75.721893,-1289.769653,-7.560638,0.000000
1.000000,-0.762268,-1289.769653,-0.080026,-0.294780,-7.487418,-3.390738,-0.172732,-74.874184,-1289.769653,-7.475953,0.000000
1.100000,-0.738403,-1289.725220,-0.079996,-0.291448,-7.402769,-3.284582,-0.167325,-74.027687,-1289.725220,-7.391269,0.000000
1.200000,-0.744751,-1289.680664,-0.080052,-0.288112,-7.318040,-3.312818,-0.168763,-73.180405,-1289.680664,-7.306402,0.000000
1.300000,-0.742493,-1289.636230,-0.080017,-0.284777,-7.233346,-3.302772,-0.168251,-72.333466,-1289.636230,-7.221717,0.000000
1.400000,-0.729858,-1289.814087,-0.080022,-0.281441,-7.148611,-3.246572,-0.165388,-71.486107,-1289.814087,-7.137033,0.000000
1.500000,-0.746216,-1289.725220,-0.080030,-0.278107,-7.063926,-3.319334,-0.169095,-70.639259,-1289.725220,-7.052349,0.000000
1.600000,-0.748108,-1289.769653,-0.080061,-0.274775,-6.979285,-3.327750,-0.169524,-69.792847,-1289.769653,-6.967664,0.000000
1.700000,-0.713074,-1289.769653,-0.079996,-0.271440,-6.894565,-3.171910,-0.161585,-68.945656,-1289.769653,-6.882979,0.000000
1.800000,-0.747742,-1289.814087,-0.080035,-0.268102,-6.809803,-3.326121,-0.169441,-68.098030,-1289.814087,-6.798295,0.000000
1.900000,-0.726135,-1289.725220,-0.080065,-0.264769,-6.725135,-3.230011,-0.164545,-67.251350,-1289.725220,-6.713610,0.000000
2.000000,-0.732849,-1289.725220,-0.080056,-0.261433,-6.640390,-3.259876,-0.166066,-66.403900,-1289.725220,-6.628925,0.000000
2.100000,-0.753662,-1289.725220,-0.080056,-0.258098,-6.555697,-3.352457,-0.170782,-65.556969,-1289.725220,-6.544059,0.000000
2.200000,-0.710876,-1289.725220,-0.080056,-0.254766,-6.471047,-3.162137,-0.161087,-64.710472,-1289.725220,-6.459374,0.000000
2.300000,-0.740295,-1289.725220,-0.080022,-0.251430,-6.386327,-3.292999,-0.167753,-63.863274,-1289.725220,-6.374690,0.000000
2.400000,-0.738403,-1289.725220,-0.080026,-0.248096,-6.301634,-3.284582,-0.167325,-63.016342,-1289.725220,-6.290005,0.000000
2.500000,-0.734314,-1289.769653,-0.080030,-0.244758,-6.216855,-3.266392,-0.166398,-62.168545,-1289.769653,-6.205320,0.000000
2.600000,-0.752197,-1289.680664,-0.080026,-0.241425,-6.132196,-3.345941,-0.170450,-61.321960,-1289.680664,-6.120636,0.000000
2.700000,-0.735046,-1289.814087,-0.080048,-0.238091,-6.047511,-3.269650,-0.166564,-60.475113,-1289.814087,-6.035951,0.000000
2.800000,-0.742859,-1289.680664,-0.080026,-0.234754,-5.962740,-3.304401,-0.168334,-59.627403,-1289.680664,-5.951267,0.000000
2.900000,-0.736572,-1289.769653,-0.080039,-0.231422,-5.878116,-3.276437,-0.166910,-58.781158,-1289.769653,-5.866400,0.000000
3.000000,-0.715332,-1289.769653,-0.080026,-0.228084,-5.793345,-3.181956,-0.162097,-57.933449,-1289.769653,-5.781715,0.000000
3.100000,-0.747742,-1289.680664,-0.080026,-0.224750,-5.708652,-3.326121,-0.169441,-57.086517,-1289.680664,-5.697031,0.000000
3.200000,-0.708984,-1289.725220,-0.080061,-0.221417,-5.623993,-3.153720,-0.160658,-56.239929,-1289.725220,-5.612346,0.000000
3.300000,-0.723145,-1289.769653,-0.080048,-0.218079,-5.539213,-3.216707,-0.163867,-55.392132,-1289.769653,-5.527661,0.000000
3.400000,-0.753662,-1289.680664,-0.080052,-0.214746,-5.454537,-3.352457,-0.170782,-54.545372,-1289.680664,-5.442977,0.000000
3.500000,-0.714966,-1289.680664,-0.080026,-0.211411,-5.369835,-3.180327,-0.162014,-53.698353,-1289.680664,-5.358293,0.000000
3.600000,-0.739929,-1289.680664,-0.080056,-0.208075,-5.285116,-3.291369,-0.167670,-52.851162,-1289.680664,-5.273608,0.000000
3.700000,-0.715698,-1289.769653,-0.080030,-0.204743,-5.200466,-3.183585,-0.162180,-52.004662,-1289.769653,-5.188923,0.000000
3.800000,-0.720520,-1289.814087,-0.080065,-0.201405,-5.115695,-3.205033,-0.163272,-51.156948,-1289.814087,-5.104056,0.000000
3.900000,-0.746948,-1289.725220,-0.080026,-0.198072,-5.031028,-3.322592,-0.169261,-50.310276,-1289.725220,-5.019372,0.000000
4.000000,-0.708618,-1289.725220,-0.080022,-0.194737,-4.946308,-3.152091,-0.160575,-49.463081,-1289.725220,-4.934687,0.000000
4.100000,-0.736572,-1289.680664,-0.080026,-0.191400,-4.861571,-3.276437,-0.166910,-48.615715,-1289.680664,-4.850003,0.000000
4.200000,-0.741394,-1289.725220,-0.080043,-0.188067,-4.776904,-3.297885,-0.168002,-47.769043,-1289.725220,-4.765318,0.000000
4.300000,-0.696716,-1289.725220,-0.080056,-0.184731,-4.692159,-3.099149,-0.157878,-46.921589,-1289.725220,-4.680634,0.000000
4.400000,-0.747375,-1289.725220,-0.080039,-0.181397,-4.607492,-3.324492,-0.169358,-46.074921,-1289.725220,-4.595949,0.000000
4.500000,-0.726501,-1289.636230,-0.080017,-0.178065,-4.522842,-3.231640,-0.164628,-45.228420,-1289.636230,-4.511264,0.000000
4.600000,-0.717163,-1289.680664,-0.080022,-0.174727,-4.438070,-3.190101,-0.162511,-44.380707,-1289.680664,-4.426580,0.000000
4.700000,-0.746216,-1289.769653,-0.080043,-0.171393,-4.353395,-3.319334,-0.169095,-43.533943,-1289.769653,-4.341713,0.000000
4.800000,-0.702637,-1289.680664,-0.080035,-0.168060,-4.268736,-3.125484,-0.159220,-42.687363,-1289.680664,-4.257029,0.000000
4.900000,-0.736572,-1289.769653,-0.080030,-0.164723,-4.183956,-3.276437,-0.166910,-41.839561,-1289.769653,-4.172344,0.000000
5.000000,-0.731323,-1289.769653,-0.080048,-0.161389,-4.099288,-3.253088,-0.165720,-40.992889,-1289.769653,-4.087659,0.000000
