name,Trial,Thickness,Elastic Modulus,Yield Strength,Changepoint,Slope Plateau,Slope Densification,Creep Strain,Strain at 50 bar,Strain at 80 bar,Strain at 150 bar,Strain at 500 bar,Good Fit,Average Standard Deviation,mixing_temp,bath_temp,weight_percent,volume,pullcast_speed,nitrogen,coupon_to_bath_wait_time,nips_bath_wait_time
17-13deg-10s-NoN2-40s | rep 1,sample 16,122.47245000000001,170.37940577409495,3.312992732291706,0.6931901897505158,208.37761095110167,1163.7541226672122,0.06532897806812876,0.5460086778834308,0.6240278018658139,0.6937120451384846,,True,60.95273249297729,25,13,17,1000,10,False,10,40
17-13deg-10s-NoN2-40s | rep 2,sample 17,126.9863888256757,65.41161849478473,21.23974754646891,0.6148123540653504,64.73952517105948,1141.7609255797342,0.05696145895995208,0.5604903114864406,0.6377131380314605,0.7077206410576629,,False,60.99124154764453,25,13,17,1000,10,False,10,40
17-13deg-10s-NoN2-40s | rep 3,sample 18,125.29820000000001,67.70900574272054,13.753934644641529,0.5903030704849855,61.64352147355382,1050.7606496934723,0.05807643860397649,0.5357953461456242,0.6168885621327056,0.694720705694693,,True,61.12635132949657,25,13,17,1000,10,False,10,40
17-13deg-120s-NoN2-1800s | rep 1,sample 4,134.2644,154.4930508030979,44.116863085951195,0.49706773913927904,80.87719303489652,817.0663247569825,0.08059023836549384,0.35595098780244405,0.5049586520137734,0.6054133395715935,,False,55.37764259890968,25,13,17,1000,10,False,120,1800
17-13deg-120s-NoN2-1800s | rep 2,sample 5,129.87019999999998,143.92649116646396,49.23785424095723,0.4904737998712485,94.10069542289321,808.1089695975533,0.0825014372503845,0.33841170968687573,0.4867978552592269,0.5971354200925193,,False,53.84944972658823,25,13,17,1000,10,False,120,1800
17-13deg-120s-NoN2-1900s | rep 1,sample 4,17.1958,1.3179373196529693,1.2117866367186598,0.6571985401465433,7.562865587854851,601.3289636429096,0.14032496307237796,0.7556264165571551,0.7829589057876412,,,False,51.34696841512007,25,13,17,1000,10,False,120,1900
17-13deg-120s-NoN2-1900s | rep 2,sample 5,145.1102,426.6012398425963,20.926798786225806,0.5800369491528253,269.05505486004535,748.6240838136359,0.07746547297980255,0.2706067075269575,0.44330941020913794,0.5594547558370812,,True,51.39437127959587,25,13,17,1000,10,False,120,1900
17-13deg-120s-NoN2-1900s | rep 3,sample 6,149.91080000000002,161.73042670482747,46.0666188379975,0.5247219406365309,96.89070211193267,894.8045169641077,0.06306854699204167,0.36711391974552243,0.5110718745364391,0.6192500900000677,,False,54.07868413541773,25,13,17,1000,10,False,120,1900
17-13deg-15s-NoN2-30s | rep 1,sample 4,118.91932820308608,213.7054307395949,17.365079567422796,0.5646104303856935,31.69103902988662,1084.545425961125,0.07103967400843081,0.5235708559666077,0.5980717945125391,0.6703876919459517,,True,59.86672153100582,25,13,17,1000,10,False,15,30
17-13deg-15s-NoN2-30s | rep 2,sample 5,133.60399999999998,127.36262511632692,16.47740892959725,0.5939860587854677,38.64149895382096,1233.100643065846,0.055296686721845956,0.5548109571209644,0.6231344774391403,0.689443380925618,,False,61.47696987010362,25,13,17,1000,10,False,15,30
17-13deg-15s-NoN2-30s | rep 3,sample 6,131.85139999999998,-7.538851799484084,3.051953198611243,0.6230546402228533,42.856302456087896,1176.8755011136586,0.0625439766910002,0.5881568840859468,0.6566309987651802,0.722562945691424,,False,62.127039661034495,25,13,17,1000,10,False,15,30
17-13deg-15s-NoN2-30s_run2 | rep 1,sample 10,136.88060000000002,114.66737634594446,12.556306396455067,0.5613000073412551,60.07811178632829,1121.3127456335205,0.06928765780460033,0.5087688979900923,0.5829080749689524,0.655899301830817,,False,59.58915423366913,25,13,17,1000,10,False,15,30
17-13deg-15s-NoN2-30s_run2 | rep 2,sample 11,155.3972,170.1623493705035,21.379812898576333,0.4943979040266983,44.93912023935813,1061.3733182577023,0.06943848171811018,0.4443704418577244,0.5240074964317426,0.5989619791172938,,True,58.93085045664295,25,13,17,1000,10,False,15,30
17-13deg-15s-NoN2-30s_run2 | rep 3,sample 12,189.66180000000003,105.11048497131455,24.89423589986956,0.5319700359745896,99.41558340007062,807.1073276959089,0.08934537258143405,0.44693770915925213,0.546641480979968,0.6495531011124994,,True,59.04503243453197,25,13,17,1000,10,False,15,30
17-13deg-60s-N2-1800s | rep 1,sample 4,138.32840000000002,244.27520028758505,37.387697470004156,0.6015742298165725,112.49331551023236,886.1954610993482,0.0632607648436373,0.2818257809738963,0.5462431657145798,0.6738715116938089,,False,52.071836724650815,25,13,17,1000,10,True,60,1800
17-13deg-60s-N2-1800s | rep 2,sample 5,138.63320000000002,149.7627290272818,49.774667792458935,0.6139220914222098,40.898042247532636,990.7963437597987,0.053865884939538256,0.4555012946864735,0.6146706135520158,0.7080481335813045,,False,53.823830851262265,25,13,17,1000,10,True,60,1800
17-13deg-60s-N2-1800s | rep 3,sample 6,134.36599999999999,114.58030318913042,39.874643283287476,0.6274006021895773,39.70761736495262,1110.3295957174635,0.053390726594161664,0.5311181668618365,0.6356246547851481,0.7196268708891174,,False,55.685457422841964,25,13,17,1000,10,True,60,1800
